selection_split,stage1_X,train_eligible_flag,eligibility_failure_reasons,nominal_barrier_expectancy_proxy,continuation_positive_capture_rate,chained_survivor_share_of_ground_truth,chained_survivor_share_guard_status,stage1_fast_fail_rate,stage2_selected_n,stage2_selected_continuation_positive_n,frontier_rank_by_proxy,tie_break_rank,tie_break_path,selected_flag,lookahead_selection_guard_status,validation_frontier_rank_for_selected_X,robustness_frontier_rank_for_selected_X
train,0.2,True,,-0.0179414644342554,0.15670650730411687,0.22519163041226434,below_diagnostic_threshold,0.1924219910846954,297,54,1.0,1.0,max_proxy;larger_capture;lower_fast_fail;larger_stage2_selected;smaller_X,True,pass,1.0,1.0
train,0.3,True,,-0.01977594290969996,0.25630810092961487,0.327739796975347,below_diagnostic_threshold,0.2179930795847751,434,84,2.0,2.0,max_proxy;larger_capture;lower_fast_fail;larger_stage2_selected;smaller_X,False,pass,,
train,0.4,True,,-0.02129788044921872,0.3665338645418327,0.4344313238036047,below_diagnostic_threshold,0.24405191059841383,575,129,3.0,3.0,max_proxy;larger_capture;lower_fast_fail;larger_stage2_selected;smaller_X,False,pass,,
train,0.5,True,,-0.023400779627242657,0.4594953519256308,0.5336648021545474,pass,0.27375246687341415,732,165,4.0,4.0,max_proxy;larger_capture;lower_fast_fail;larger_stage2_selected;smaller_X,False,pass,,
train,0.6,True,,-0.023741782433881996,0.5922974767596282,0.6310337683861612,pass,0.2911333488480335,918,223,5.0,5.0,max_proxy;larger_capture;lower_fast_fail;larger_stage2_selected;smaller_X,False,pass,,
train,0.7,True,,-0.024986809679541224,0.7197875166002656,0.7385539672674539,pass,0.3144230769230769,1092,268,6.0,6.0,max_proxy;larger_capture;lower_fast_fail;larger_stage2_selected;smaller_X,False,pass,,
train,0.85,False,stage1_delta_ci_high_not_below_zero,-0.028140832630776023,0.8632138114209827,0.8727988398591258,pass,0.3572845156369184,1309,315,7.0,,,False,pass,,
train,1.0,False,stage1_delta_ci_high_not_below_zero;fast_fail_not_improved_vs_x100,-0.033409610983981694,1.0,1.0,pass,0.418643863663736,1496,351,8.0,,,False,pass,,
