split,stage1_X,pareto_frontier_flag,dominates_x_list,dominated_by_x_list,frontier_rank_by_proxy,frontier_rank_by_capture,frontier_rank_by_fast_fail
all,0.2,True,,,1.0,8.0,1.0
all,0.3,True,,,2.0,7.0,2.0
all,0.4,True,,,3.0,6.0,3.0
all,0.5,True,,,4.0,5.0,4.0
all,0.6,True,,,5.0,4.0,5.0
all,0.7,True,,,6.0,3.0,6.0
all,0.85,True,,,7.0,2.0,7.0
all,1.0,True,,,8.0,1.0,8.0
train,0.2,True,,,1.0,8.0,1.0
train,0.3,True,,,2.0,7.0,2.0
train,0.4,True,,,3.0,6.0,3.0
train,0.5,True,,,4.0,5.0,4.0
train,0.6,True,,,5.0,4.0,5.0
train,0.7,True,,,6.0,3.0,6.0
train,0.85,True,,,7.0,2.0,7.0
train,1.0,True,,,8.0,1.0,8.0
validation,0.2,True,,,1.0,8.0,1.0
validation,0.3,True,,,2.0,7.0,2.0
validation,0.4,True,,,3.0,6.0,3.0
validation,0.5,True,,,4.0,5.0,4.0
validation,0.6,True,,,5.0,4.0,5.0
validation,0.7,True,,,6.0,3.0,6.0
validation,0.85,True,,,7.0,2.0,7.0
validation,1.0,True,,,8.0,1.0,8.0
robustness,0.2,True,,,1.0,8.0,1.0
robustness,0.3,True,,,2.0,7.0,2.0
robustness,0.4,True,,,3.0,6.0,3.0
robustness,0.5,True,,,4.0,5.0,4.0
robustness,0.6,True,,,5.0,4.0,5.0
robustness,0.7,True,,,6.0,3.0,6.0
robustness,0.85,True,,,7.0,2.0,7.0
robustness,1.0,True,,,8.0,1.0,8.0
