stage1_X,split,ground_truth_survivor_n,ground_truth_survivor_continuation_positive_n,ground_truth_survivor_continuation_rate,chained_survivor_n,chained_survivor_positive_n,chained_survivor_share_of_ground_truth,chained_survivor_continuation_rate,continuation_positive_capture_rate,stage2_selected_n,stage2_selected_continuation_positive_n,stage2_selected_continuation_rate,stage2_selected_positive_capture_rate,stage2_selected_budget_rank_evaluable,stage2_random_support_status,stage2_random_valid_seed_n,stage2_random_p50,stage2_delta_vs_random_p50,stage2_delta_vs_random_p50_ci95_low,chained_survivor_share_guard_status
0.2,all,9481,1311,0.13827655310621242,2567,237,0.27075203037654255,0.09232567199065056,0.18077803203661327,680,91,0.1338235294117647,0.006021306160259379,0.27891714520098443,insufficient,1,0.12058823529411765,0.013235294117647053,-0.010294117647058829,below_diagnostic_threshold
0.2,train,4827,753,0.1559975139838409,1087,118,0.22519163041226434,0.10855565777368906,0.15670650730411687,297,54,0.18181818181818182,0.006503673371070697,0.30337078651685395,insufficient,1,0.17845117845117844,0.0033670033670033794,-0.03712121212121212,below_diagnostic_threshold
0.2,validation,1420,123,0.08661971830985915,566,45,0.39859154929577467,0.07950530035335689,0.36585365853658536,137,19,0.1386861313868613,0.008833100883310088,0.24909090909090909,insufficient,1,0.043795620437956206,0.0948905109489051,0.043795620437956206,below_diagnostic_threshold
0.2,robustness,3234,435,0.1345083487940631,914,74,0.2826221397649969,0.08096280087527352,0.17011494252873563,246,18,0.07317073170731707,0.0038634900193174502,0.2706270627062706,insufficient,1,0.09349593495934959,-0.02032520325203252,-0.048780487804878044,below_diagnostic_threshold
0.3,all,9481,1311,0.13827655310621242,3616,373,0.3813943676827339,0.10315265486725664,0.28451563691838294,904,145,0.16039823008849557,0.009594388936677033,0.25902578796561604,insufficient,0,,,,below_diagnostic_threshold
0.3,train,4827,753,0.1559975139838409,1582,193,0.327739796975347,0.12199747155499367,0.25630810092961487,434,84,0.1935483870967742,0.010116825243887751,0.29503738953093134,insufficient,0,,,,below_diagnostic_threshold
0.3,validation,1420,123,0.08661971830985915,769,62,0.5415492957746478,0.08062418725617686,0.5040650406504065,191,25,0.13089005235602094,0.011622501162250116,0.2523117569352708,insufficient,0,,,,pass
0.3,robustness,3234,435,0.1345083487940631,1265,118,0.391156462585034,0.0932806324110672,0.271264367816092,279,36,0.12903225806451613,0.0077269800386349004,0.22107765451664024,insufficient,0,,,,below_diagnostic_threshold
0.4,all,9481,1311,0.13827655310621242,4640,517,0.48939985233625144,0.11142241379310344,0.39435545385202136,1179,212,0.179813401187447,0.014027658307417454,0.2613031914893617,insufficient,5,0.1263782866836302,0.0534351145038168,0.02968617472434268,below_diagnostic_threshold
0.4,train,4827,753,0.1559975139838409,2097,276,0.4344313238036047,0.13161659513590845,0.3665338645418327,575,129,0.22434782608695653,0.015536553053113333,0.28967254408060455,insufficient,5,0.1617391304347826,0.06260869565217392,0.02256521739130435,below_diagnostic_threshold
0.4,validation,1420,123,0.08661971830985915,937,76,0.6598591549295775,0.08110992529348986,0.6178861788617886,235,30,0.1276595744680851,0.01394700139470014,0.25405405405405407,insufficient,5,0.06808510638297872,0.05957446808510637,0.0042553191489361625,pass
0.4,robustness,3234,435,0.1345083487940631,1606,165,0.4965986394557823,0.10273972602739725,0.3793103448275862,369,53,0.14363143631436315,0.011375831723545825,0.2303370786516854,insufficient,5,0.10840108401084012,0.03523035230352303,0.0027100271002709897,below_diagnostic_threshold
0.5,all,9481,1311,0.13827655310621242,5593,653,0.5899166754561755,0.11675308421240836,0.498093058733791,1429,273,0.19104268719384185,0.018063918480778138,0.2616257781032589,insufficient,6,0.1364590622813156,0.054583624912526246,0.0325402379286214,pass
0.5,train,4827,753,0.1559975139838409,2576,346,0.5336648021545474,0.1343167701863354,0.4594953519256308,732,165,0.22540983606557377,0.019872335300493798,0.2969574036511156,insufficient,6,0.17486338797814208,0.050546448087431695,0.018442622950819665,pass
0.5,validation,1420,123,0.08661971830985915,1090,91,0.7676056338028169,0.0834862385321101,0.7398373983739838,258,34,0.13178294573643412,0.01580660158066016,0.24022346368715083,insufficient,6,0.08333333333333334,0.04844961240310078,0.005813953488372103,pass
