reconstruction_scope,split,recomputed_selected_n,upstream_selected_n,recomputed_selected_positive_n,upstream_selected_positive_n,recomputed_selected_budget_rank_evaluable,upstream_selected_budget_rank_evaluable,candidate_reconstruction_status
stage2_chained_x030,all,904,904,145.0,145.0,0.25902578796561604,0.259025787965616,pass
stage2_chained_x030,train,434,434,84.0,84.0,0.29503738953093134,0.2950373895309313,pass
stage2_chained_x030,validation,191,191,25.0,25.0,0.2523117569352708,0.2523117569352708,pass
stage2_chained_x030,robustness,279,279,36.0,36.0,0.22107765451664024,0.2210776545166402,pass
stage1_anchor_x030,all,4456,4456,,,,,pass
stage1_anchor_x030,train,2023,2023,,,,,pass
stage1_anchor_x030,validation,957,957,,,,,pass
stage1_anchor_x030,robustness,1476,1476,,,,,pass
