stage1_X,split,stage1_entry_n,stage1_anchor_role,stage1_rank_evaluable_n,stage1_selected_n,stage1_selected_budget_total,stage1_selected_budget_rank_evaluable,stage1_budget_abs_delta_rank_evaluable_vs_X,stage1_rank_not_evaluable_rate,stage1_fast_fail_positive_n,stage1_fast_fail_rate,stage1_base_fast_fail_rate,stage1_delta_vs_base_fast_fail,stage1_random_p05,stage1_random_p50,stage1_random_p95,stage1_delta_vs_random_p50,stage1_delta_vs_random_p50_ci95_low,stage1_delta_vs_random_p50_ci95_high,stage1_random_valid_seed_n,stage1_random_support_status,ground_truth_survivor_n,ground_truth_survivor_continuation_positive_n,ground_truth_survivor_continuation_rate,chained_survivor_n,chained_survivor_positive_n,chained_survivor_share_of_ground_truth,chained_survivor_continuation_rate,continuation_positive_capture_rate,stage2_selected_n,stage2_selected_continuation_positive_n,stage2_selected_continuation_rate,stage2_selected_positive_capture_rate,stage2_selected_budget_rank_evaluable,stage2_random_support_status,stage2_random_valid_seed_n,stage2_random_p50,stage2_delta_vs_random_p50,stage2_delta_vs_random_p50_ci95_low,nominal_barrier_expectancy_proxy,frontier_dominance_status,frontier_readout_status,chained_survivor_share_guard_status,diagnostic_only_flag,pareto_frontier_flag,dominates_x_list,dominated_by_x_list,frontier_rank_by_proxy,frontier_rank_by_capture,frontier_rank_by_fast_fail
0.2,all,15113,frontier_candidate,14825,3064,0.2027393634619202,0.2066779089376054,0.006677908937605392,0.019056441474227487,497,0.16220626631853785,0.3726592999404486,-0.21045303362191076,0.2718505221932115,0.2868798955613577,0.2990372062663185,-0.12467362924281983,-0.13683093994778067,-0.10964425587467364,100,pass,9481,1311,0.13827655310621242,2567,237,0.27075203037654255,0.09232567199065056,0.18077803203661327,680,91,0.1338235294117647,0.006021306160259379,0.27891714520098443,insufficient,1,0.12058823529411765,0.013235294117647053,-0.010294117647058829,-0.01501636539980191,pareto_efficient,stage2_random_support_insufficient_with_stage1_supported,below_diagnostic_threshold,True,True,,,1.0,8.0,1.0
0.2,train,8303,frontier_candidate,8050,1346,0.16211008069372515,0.1672049689440994,0.03279503105590062,0.030470914127423823,259,0.1924219910846954,0.418643863663736,-0.2262218725790406,0.31047548291233285,0.33469539375928675,0.35438335809806837,-0.14227340267459135,-0.16196136701337296,-0.11805349182763744,100,pass,4827,753,0.1559975139838409,1087,118,0.22519163041226434,0.10855565777368906,0.15670650730411687,297,54,0.18181818181818182,0.006503673371070697,0.30337078651685395,insufficient,1,0.17845117845117844,0.0033670033670033794,-0.03712121212121212,-0.0179414644342554,pareto_efficient,stage2_random_support_insufficient_with_stage1_supported,below_diagnostic_threshold,True,True,,,1.0,8.0,1.0
0.2,validation,2151,frontier_candidate,2133,674,0.31334263133426316,0.31598687294889827,0.11598687294889826,0.008368200836820083,108,0.16023738872403562,0.3398419339841934,-0.17960454526015776,0.27002967359050445,0.29080118694362017,0.3176557863501484,-0.13056379821958455,-0.1574183976261128,-0.10979228486646883,100,pass,1420,123,0.08661971830985915,566,45,0.39859154929577467,0.07950530035335689,0.36585365853658536,137,19,0.1386861313868613,0.008833100883310088,0.24909090909090909,insufficient,1,0.043795620437956206,0.0948905109489051,0.043795620437956206,-0.014257118695741543,pareto_efficient,stage2_random_support_insufficient_with_stage1_supported,below_diagnostic_threshold,True,True,,,1.0,8.0,1.0
0.2,robustness,4659,frontier_candidate,4642,1044,0.2240824211204121,0.22490305902628177,0.02490305902628176,0.003648851684910925,130,0.12452107279693486,0.30585962652929816,-0.1813385537323633,0.20397509578544062,0.22126436781609196,0.23778735632183906,-0.0967432950191571,-0.1132662835249042,-0.07945402298850576,100,pass,3234,435,0.1345083487940631,914,74,0.2826221397649969,0.08096280087527352,0.17011494252873563,246,18,0.07317073170731707,0.0038634900193174502,0.2706270627062706,insufficient,1,0.09349593495934959,-0.02032520325203252,-0.048780487804878044,-0.011679409275829998,pareto_efficient,stage2_random_support_insufficient_with_stage1_supported,below_diagnostic_threshold,True,True,,,1.0,8.0,1.0
0.3,all,15113,x030_reference,14825,4456,0.2948454972540197,0.3005733558178752,0.0005733558178752096,0.019056441474227487,840,0.18850987432675045,0.3726592999404486,-0.18414942561369815,0.2778164272890485,0.28882405745062834,0.29762118491921,-0.10031418312387788,-0.10911131059245957,-0.08930655296229803,100,pass,9481,1311,0.13827655310621242,3616,373,0.3813943676827339,0.10315265486725664,0.28451563691838294,904,145,0.16039823008849557,0.009594388936677033,0.25902578796561604,insufficient,0,,,,-0.01693210964533964,pareto_efficient,stage2_random_support_insufficient_with_stage1_supported,below_diagnostic_threshold,True,True,,,2.0,7.0,2.0
0.3,train,8303,x030_reference,8050,2023,0.24364687462363002,0.25130434782608696,0.04869565217391303,0.030470914127423823,441,0.2179930795847751,0.418643863663736,-0.20065078407896092,0.31631240731586757,0.33440434997528423,0.35254572417202173,-0.11641127039050914,-0.13455264458724664,-0.09831932773109248,100,pass,4827,753,0.1559975139838409,1582,193,0.327739796975347,0.12199747155499367,0.25630810092961487,434,84,0.1935483870967742,0.010116825243887751,0.29503738953093134,insufficient,0,,,,-0.01977594290969996,pareto_efficient,stage2_random_support_insufficient_with_stage1_supported,below_diagnostic_threshold,True,True,,,2.0,7.0,2.0
0.3,validation,2151,x030_reference,2133,957,0.44490934449093444,0.44866385372714485,0.14866385372714486,0.008368200836820083,188,0.19644723092998956,0.3398419339841934,-0.14339470305420382,0.2715778474399164,0.28787878787878785,0.3113897596656217,-0.09143155694879829,-0.11494252873563215,-0.07513061650992686,100,pass,1420,123,0.08661971830985915,769,62,0.5415492957746478,0.08062418725617686,0.5040650406504065,191,25,0.13089005235602094,0.011622501162250116,0.2523117569352708,insufficient,0,,,,-0.017320222860548934,pareto_efficient,stage2_random_support_insufficient_with_stage1_supported,pass,True,True,,,2.0,7.0,2.0
0.3,robustness,4659,x030_reference,4642,1476,0.3168061815840309,0.3179663937957777,0.01796639379577769,0.003648851684910925,211,0.1429539295392954,0.30585962652929816,-0.16290569699000276,0.21124661246612467,0.22493224932249323,0.23983739837398374,-0.08197831978319783,-0.09688346883468835,-0.06829268292682927,100,pass,3234,435,0.1345083487940631,1265,118,0.391156462585034,0.0932806324110672,0.271264367816092,279,36,0.12903225806451613,0.0077269800386349004,0.22107765451664024,insufficient,0,,,,-0.01274999694620256,pareto_efficient,stage2_random_support_insufficient_with_stage1_supported,below_diagnostic_threshold,True,True,,,2.0,7.0,2.0
0.4,all,15113,frontier_candidate,14825,5907,0.39085555482035333,0.3984485666104553,0.0015514333895447208,0.019056441474227487,1267,0.21449128153038768,0.3726592999404486,-0.15816801841006092,0.28422210936177417,0.29380396140172677,0.3015066869815473,-0.07931267987133908,-0.08701540545115963,-0.06973082783138648,100,pass,9481,1311,0.13827655310621242,4640,517,0.48939985233625144,0.11142241379310344,0.39435545385202136,1179,212,0.179813401187447,0.014027658307417454,0.2613031914893617,insufficient,5,0.1263782866836302,0.0534351145038168,0.02968617472434268,-0.01864359649155528,pareto_efficient,stage2_random_support_insufficient_with_stage1_supported,below_diagnostic_threshold,True,True,,,3.0,6.0,3.0
0.4,train,8303,frontier_candidate,8050,2774,0.3340961098398169,0.3445962732919255,0.05540372670807453,0.030470914127423823,677,0.24405191059841383,0.418643863663736,-0.1745919530653222,0.32577505407354,0.33958183129055514,0.3532984859408796,-0.0955299206921413,-0.10924657534246576,-0.08172314347512619,100,pass,4827,753,0.1559975139838409,2097,276,0.4344313238036047,0.13161659513590845,0.3665338645418327,575,129,0.22434782608695653,0.015536553053113333,0.28967254408060455,insufficient,5,0.1617391304347826,0.06260869565217392,0.02256521739130435,-0.02129788044921872,pareto_efficient,stage2_random_support_insufficient_with_stage1_supported,below_diagnostic_threshold,True,True,,,3.0,6.0,3.0
