holding_period,signal_period,signal_month_end,holding_month_end,split,evaluable,active_factor_count,winner_factor_count,loser_factor_count,zero_factor_count,tsfm_gross_return,tsfm_winner_leg_return,tsfm_loser_leg_return,tsfm_buy_turnover,tsfm_sell_turnover,tsfm_after_cost_return,requires_short_exposure,net_abs_exposure,long_gross_exposure,short_gross_exposure
2017-08,2017-07,2017-07-31,2017-08-31,train,False,0,0,0,0,,,,,,,False,0.0,0.0,0.0
2017-09,2017-08,2017-08-31,2017-09-29,train,False,0,0,0,0,,,,,,,False,0.0,0.0,0.0
2017-10,2017-09,2017-09-29,2017-10-31,train,False,0,0,0,0,,,,,,,False,0.0,0.0,0.0
2017-11,2017-10,2017-10-31,2017-11-30,train,False,0,0,0,0,,,,,,,False,0.0,0.0,0.0
2017-12,2017-11,2017-11-30,2017-12-29,train,False,0,0,0,0,,,,,,,False,0.0,0.0,0.0
2018-01,2017-12,2017-12-29,2018-01-31,train,False,0,0,0,0,,,,,,,False,0.0,0.0,0.0
2018-02,2018-01,2018-01-31,2018-02-28,train,False,0,0,0,0,,,,,,,False,0.0,0.0,0.0
2018-03,2018-02,2018-02-28,2018-03-30,train,False,0,0,0,0,,,,,,,False,0.0,0.0,0.0
2018-04,2018-03,2018-03-30,2018-04-27,train,False,0,0,0,0,,,,,,,False,0.0,0.0,0.0
2018-05,2018-04,2018-04-27,2018-05-31,train,False,0,0,0,0,,,,,,,False,0.0,0.0,0.0
2018-06,2018-05,2018-05-31,2018-06-29,train,False,0,0,0,0,,,,,,,False,0.0,0.0,0.0
2018-07,2018-06,2018-06-29,2018-07-31,train,False,0,0,0,0,,,,,,,False,0.0,0.0,0.0
2018-08,2018-07,2018-07-31,2018-08-31,train,True,4,1,3,0,0.02987130775752881,0.048869177161662045,-0.023538684622817736,0.6127645502645503,0.6127645502645503,0.023130897704618757,True,1.2255291005291005,0.6127645502645502,0.6127645502645502
2018-09,2018-08,2018-08-31,2018-09-28,train,True,4,1,3,0,0.018281632839929347,0.029704259334425373,-0.014474090675097336,0.36144078144078146,0.3614407814407814,0.014305784244080752,True,1.2030769230769232,0.6015384615384616,0.6015384615384616
2018-10,2018-09,2018-09-28,2018-10-31,train,True,4,1,3,0,0.03662006088655631,0.04935093491720259,-0.032376436209674224,0.2136609686609687,0.21366096866096868,0.03426979023128566,True,1.2656695156695157,0.6328347578347578,0.6328347578347578
2018-11,2018-10,2018-10-31,2018-11-30,train,False,0,0,0,0,,,,,,,False,0.0,0.0,0.0
2018-12,2018-11,2018-11-30,2018-12-28,train,False,0,0,0,0,,,,,,,False,0.0,0.0,0.0
2019-01,2018-12,2018-12-28,2019-01-31,train,False,0,0,0,0,,,,,,,False,0.0,0.0,0.0
2019-02,2019-01,2019-01-31,2019-02-28,train,False,0,0,0,0,,,,,,,False,0.0,0.0,0.0
2019-03,2019-02,2019-02-28,2019-03-29,train,False,0,0,0,0,,,,,,,False,0.0,0.0,0.0
2019-04,2019-03,2019-03-29,2019-04-30,train,False,0,0,0,0,,,,,,,False,0.0,0.0,0.0
2019-05,2019-04,2019-04-30,2019-05-31,train,False,0,0,0,0,,,,,,,False,0.0,0.0,0.0
2019-06,2019-05,2019-05-31,2019-06-28,train,False,0,0,0,0,,,,,,,False,0.0,0.0,0.0
2019-07,2019-06,2019-06-28,2019-07-31,train,False,0,0,0,0,,,,,,,False,0.0,0.0,0.0
2019-08,2019-07,2019-07-31,2019-08-30,train,False,0,0,0,0,,,,,,,False,0.0,0.0,0.0
