family,primary_score_formed_flag,daily_panel_sample_gate_pass,aggregate_oof_sample_status,fold_coverage_caveat,validation_evaluable_fold_count,robustness_evaluable_fold_count,validation_full_valid_instrument_count,robustness_full_valid_instrument_count,validation_valid_signal_date_count,robustness_valid_signal_date_count,H3_time_transfer_gate_pass,H3_instrument_transfer_gate_pass,H3_fold_stability_gate_pass,H3_anchor_stability_gate_pass,H3_monotonicity_gate_pass,H3_concentration_gate_pass,H3_robustness_non_deterioration_pass,validation_actual_evaluable_year_count_H3,robustness_actual_evaluable_year_count_H3,validation_single_positive_year_caveat,validation_single_positive_year_blocks_support,no_disallowed_caveat_active,unexplained_family_scope_reference_count_changed,retained_factor_set_comparability_pass,bucket_edge_valid_all_folds,H3_train_oof_anchor_controlled_mean_spread,H3_validation_anchor_controlled_mean_spread,H3_validation_anchor_controlled_median_spread,H3_robustness_anchor_controlled_mean_spread,H3_robustness_anchor_controlled_median_spread,H3_validation_anchor_controlled_positive_instrument_share,H3_robustness_anchor_controlled_positive_instrument_share,H3_validation_positive_year_count,H3_robustness_positive_year_count,H3_positive_anchor_offset_count_validation,H3_positive_anchor_offset_count_robustness,H3_fold_monotonicity_median_validation,H3_fold_monotonicity_median_robustness,H3_max_fold_top1_instrument_contribution_share,H3_max_fold_top5_instrument_contribution_share,H3_max_fold_contribution_share_of_total_abs_contribution,H3_max_anchor_abs_contribution_share_of_total,daily_observation_spread_positive_but_cleanliness_failed,H5_diagnostic_horizon_positive,H10_diagnostic_horizon_positive,authorized_strategy_requirement
volume_surge_money_flow,True,True,fail,False,3,3,240,232,455,395,False,True,False,True,False,False,True,2,2,True,True,False,False,True,True,0.00043049487912626524,0.0005546964542148591,0.000686586465836224,0.0003375576697535483,0.00027849022113913164,0.5541666666666667,0.7456896551724138,1,1,2,3,0.18787878787878787,0.7333333333333332,0.26495629811128024,0.43676067357514997,0.23603132344822095,0.16458904533775354,True,True,False,False
volume_price_correlation,True,True,pass,False,5,5,244,234,452,456,False,False,False,False,False,False,True,2,2,False,False,False,False,True,True,-0.0011803405790446655,-0.002296996908798205,-0.0022523328587455388,0.0005376791620570199,0.0001893444072575452,0.48360655737704916,0.5769230769230769,0,1,0,2,-0.5515151515151515,0.28484848484848485,0.17010933877254877,0.39917600645604556,0.43667787622370263,0.1909105337075097,False,False,False,False
rank_ts_rank_structure,True,True,pass,False,5,5,244,234,458,474,False,True,False,False,False,True,True,2,2,False,False,True,False,True,True,0.0003227204162442005,0.0015961070632298747,0.0014015164254760936,-0.00020278834492758264,-0.0007317984407111419,0.5942622950819673,0.6495726495726496,2,1,3,1,0.4545454545454545,0.6121212121212121,0.10982733465742246,0.36602024231359354,0.3037784275913964,0.17251263929089622,False,False,False,False
