family,horizon,validation_mean_spread,validation_median_spread,robustness_mean_spread,robustness_median_spread,validation_positive_instrument_share,robustness_positive_instrument_share,validation_anchor_decile_monotonicity,robustness_anchor_decile_monotonicity,validation_positive_anchor_offset_count,robustness_positive_anchor_offset_count,validation_top1_instrument_contribution_share,robustness_top1_instrument_contribution_share,validation_top5_instrument_contribution_share,robustness_top5_instrument_contribution_share,diagnostic_concentration_denominator_zero_flag,diagnostic_horizon_positive,diagnostic_horizon_validation_positive_robustness_not_collapsed
volume_surge_money_flow,H5,0.0013210461454411023,0.0023204561341130304,0.0011324740720411424,0.0007171639346039407,0.5875,0.7043478260869566,0.5030303030303029,0.6969696969696969,4,4,0.04978844546864342,0.028070016817410327,0.15312711640195567,0.1278448447402017,False,True,False
volume_surge_money_flow,H10,0.002947596727542909,0.002612094495858317,0.0012660760096009055,0.001069010100414526,0.6033755274261603,0.6550218340611353,0.4787878787878787,0.5636363636363636,8,8,0.05255569478683252,0.026938658774400277,0.14787213203291236,0.09960208058394596,False,False,False
volume_price_correlation,H5,-0.004208475524422886,-0.005348741057284563,0.0003189074137920608,0.00018344450332433585,0.45228215767634855,0.6206896551724138,-0.5878787878787878,0.8666666666666665,0,3,0.038923318856789055,0.037648104432863996,0.14029564114311113,0.13334700337005118,False,False,False
volume_price_correlation,H10,-0.0051627201788826665,-0.004582854624042645,-0.0022598052763338045,-0.0010519174494072244,0.4895397489539749,0.6043478260869565,-0.6242424242424242,0.709090909090909,1,3,0.035538859751888585,0.030591103245890722,0.11326442813813728,0.1031543120495049,False,False,False
rank_ts_rank_structure,H5,0.0021744215494627537,0.0020550614408029206,-0.0002642938117860456,-0.0003361389009940815,0.5103734439834025,0.47413793103448276,0.3939393939393939,0.22424242424242422,5,2,0.035580793388071956,0.030679501644630135,0.1217940845380143,0.1055471028777663,False,False,True
rank_ts_rank_structure,H10,0.0042980292949806155,0.004470393001004325,0.002344373110110878,0.0018242475130728238,0.5774058577405857,0.4434782608695652,0.6727272727272726,0.16363636363636364,8,6,0.040166580178914835,0.03626041641400515,0.1547486190725078,0.12604157030848537,False,False,False
