factor_id,split,available_month_count,replication_action,local_formula_id,mean_factor_return,t_stat_factor_return,positive_month_share,mean_past_12m_return,tsfm_long_month_count,tsfm_short_month_count,tsfm_zero_month_count,tsfm_contribution_mean,tsfm_contribution_abs_sum,tsfm_contribution_share_abs
SIZE,train,52,retain,local_SIZE_market_cap_high_minus_low_v0,0.002568868046198831,0.5214330545980859,0.5384615384615384,-0.010835023838915919,7,21,25,0.0005174461494826132,0.1808669886160184,0.1414331529228652
ILL,train,52,retain,local_ILL_amihud_21d_v0,-0.0028019439619107783,-0.5399832802596072,0.4230769230769231,-0.06684537090618274,5,23,25,-0.002773961847712062,0.23967872884992805,0.18742236252828068
TURN,train,52,retain,local_TURN_share_turnover_21d_v0,0.007457031439283426,0.8074673954216731,0.5192307692307693,0.2425998853296927,25,3,25,0.005936130999442688,0.4732108863195694,0.3700382704534774
BAB,train,52,retain,local_BAB_beta_sort_252d_v0,0.0033104977641734605,0.4052757040312478,0.4807692307692308,0.07664715676490731,20,8,25,-0.0010995383395259568,0.38505946499476235,0.30110621409537663
SIZE,validation,24,retain,local_SIZE_market_cap_high_minus_low_v0,0.002760749330272349,0.35436580440599097,0.5,-0.013489238944721224,9,15,0,-0.003676003299337279,0.18077876638492768,0.18672866317664397
ILL,validation,24,retain,local_ILL_amihud_21d_v0,0.011126040272435129,1.9010752850337445,0.75,0.13606701782010774,24,0,0,0.002781510068108782,0.1334571346079039,0.1378495540989433
TURN,validation,24,retain,local_TURN_share_turnover_21d_v0,-0.0269454856146908,-2.3480100482100537,0.25,-0.23176265071522884,2,22,0,0.0027588142865027075,0.32245848945415545,0.333071432391158
BAB,validation,24,retain,local_BAB_beta_sort_252d_v0,-0.02146762578918425,-1.6367201190441594,0.2916666666666667,-0.20784300079750664,0,24,0,0.0053669064472960624,0.33144174521372993,0.34235035033325484
SIZE,robustness,24,retain,local_SIZE_market_cap_high_minus_low_v0,0.00036082408588227296,0.04565479012167682,0.5833333333333334,0.08483601406777037,20,4,0,0.0025277340012125815,0.18115818182864954,0.16397513404443073
ILL,robustness,24,retain,local_ILL_amihud_21d_v0,-0.004823662112839091,-1.0223879497591688,0.5,-0.03846017071513055,7,17,0,0.00018811734475967517,0.10446809043555466,0.09455918004707371
TURN,robustness,24,retain,local_TURN_share_turnover_21d_v0,0.0021678100233638448,0.13225338855444946,0.4166666666666667,-0.15776301761497655,5,19,0,0.004190374038416597,0.39701596151329926,0.3593585718833172
BAB,robustness,24,retain,local_BAB_beta_sort_252d_v0,0.003838085484707337,0.22075865416868684,0.4166666666666667,-0.11856359273316791,6,18,0,0.005611033197534004,0.4221483363559102,0.3821071140251785
