allocator_policy_id,policy_role,allowed_sleeve_ids_json,state_weight_rule_text,secondary_activation_rule_text,gross_exposure_formula_text,cash_excluded_from_gross_exposure_flag,is_selectable,formula_hash,blocking_reason
full_exposure_primary_baseline,baseline_reference,"[""r04e_union_primary_sleeve""]",primary=1.0 for all states; cash=0; secondary=0,not_applicable,primary_weight * primary_gross_before_allocator,True,False,6b6ab1dcf71bb0f96ab6745744c2125e48dafbe98372e4dfdab746e6ec7ae04b,baseline_reference_only
market_state_cash_allocator_v1,allocator_candidate,"[""r04e_union_primary_sleeve"",""cash_sleeve""]","risk_on primary=1; risk_neutral primary=0.5,cash=0.5; risk_off cash=1",not_applicable,primary_weight * primary_gross_before_allocator,True,True,9ad32f8247e768aaa8d43666c281eba77c46d3829b7148251db1714a578e368e,
market_state_cash_plus_basebreakout_secondary_v1,allocator_candidate_with_secondary,"[""r04e_union_primary_sleeve"",""base_breakout_vcp_secondary_sleeve"",""cash_sleeve""]",start with market_state_cash_allocator_v1,"risk_on and primary_active_count<20 and secondary_active_count>0 => secondary=0.20, primary reduced by 0.20",primary_weight*primary_gross_before_allocator + secondary_weight*secondary_gross_before_allocator,True,True,fc64083f041d482ef9a7eea4db221423a436847c7ee67b85e7ab21188925fe38,
