trade_date,split,state_signal_date,exposure_effective_date,market_state,index_close,index_ma20,index_ma60,index_ret20,index_realized_vol20,index_drawdown60,classifier_id
2017-07-04,train,2017-07-03,2017-07-04,risk_on,3650.846,3589.009912109375,3491.5755004882812,0.052495003,0.006771102909731831,-0.00649550782961561,sh000300_train_frozen_vol70_drawdown10_v1
2017-07-05,train,2017-07-04,2017-07-05,risk_on,3619.984,3595.3650024414064,3493.34111328125,0.036388755,0.007098615448029027,-0.014893998544875497,sh000300_train_frozen_vol70_drawdown10_v1
2017-07-06,train,2017-07-05,2017-07-06,risk_on,3659.68,3601.6553955078125,3495.711397298177,0.035600543,0.007046631591663657,-0.004091516182994859,sh000300_train_frozen_vol70_drawdown10_v1
2017-07-07,train,2017-07-06,2017-07-07,risk_on,3660.097,3606.611291503906,3498.2940307617187,0.027834415,0.006921892204488586,-0.003978040123619797,sh000300_train_frozen_vol70_drawdown10_v1
2017-07-10,train,2017-07-07,2017-07-10,risk_on,3655.929,3610.5992431640625,3500.6040486653646,0.022302866,0.006910126468465529,-0.005112269213579657,sh000300_train_frozen_vol70_drawdown10_v1
2017-07-11,train,2017-07-10,2017-07-11,risk_on,3653.687,3614.5641479492188,3503.008182779948,0.022185087,0.006911526955178371,-0.005722369127655447,sh000300_train_frozen_vol70_drawdown10_v1
2017-07-12,train,2017-07-11,2017-07-12,risk_on,3670.809,3618.991247558594,3505.612235514323,0.024716735,0.00695201780201849,-0.0010629411439941894,sh000300_train_frozen_vol70_drawdown10_v1
2017-07-13,train,2017-07-12,2017-07-13,risk_on,3658.824,3625.1674926757814,3508.4842203776043,0.03494048,0.006228917520873673,-0.004324447719393665,sh000300_train_frozen_vol70_drawdown10_v1
2017-07-14,train,2017-07-13,2017-07-14,risk_on,3686.921,3633.0738891601563,3511.933870442708,0.044810772,0.006300597483268186,0.0,sh000300_train_frozen_vol70_drawdown10_v1
2017-07-17,train,2017-07-14,2017-07-17,risk_on,3703.094,3642.2905395507814,3515.9397216796874,0.052385807,0.0062067932911192515,0.0,sh000300_train_frozen_vol70_drawdown10_v1
2017-07-18,train,2017-07-17,2017-07-18,risk_on,3663.558,3647.785192871094,3519.5677571614583,0.030923843,0.006599074771022406,-0.010676447515086673,sh000300_train_frozen_vol70_drawdown10_v1
2017-07-19,train,2017-07-18,2017-07-19,risk_on,3667.181,3653.819543457031,3522.994970703125,0.03402996,0.006550245032153648,-0.00969812972458306,sh000300_train_frozen_vol70_drawdown10_v1
2017-07-20,train,2017-07-19,2017-07-20,risk_on,3729.747,3660.909143066406,3527.37763671875,0.039518833,0.007045793150559619,0.0,sh000300_train_frozen_vol70_drawdown10_v1
