sleeve_id,sleeve_role,source_artifact,source_filter,allocation_status,max_weight,formula_hash,blocking_reason
r04e_union_primary_sleeve,primary,ep4/outputs/r04e_union_pool_portfolio_level_diagnostic_v1/cache/r04e_portfolio_daily_return_panel.parquet,portfolio_id=active_equal_weight_uncapped;policy_id=hold_120d__no_exit__none,allocation eligible,1.0,20394390b759391892b308c2e789e400b79dbe80165dba421177b4a49912b0af,
base_breakout_vcp_secondary_sleeve,conditional secondary,ep4/outputs/r05_preflight_alpha_pool_quick_feasibility_v1/cache/r05_preflight_candidate_event_panel.parquet,candidate_id=base_breakout_vcp_preflight;kept=true;entry_executable=true;path_complete=true,capped secondary only,0.2,b5342c93e21e329e1305e67e0b17a8217de7c5c8ea78c8cff4941b4134f7fe24,
low_vol_uptrend_diagnostic_sleeve,diagnostic,ep4/outputs/r05_preflight_alpha_pool_quick_feasibility_v1/cache/r05_preflight_candidate_event_panel.parquet,candidate_id=low_vol_uptrend_preflight;decomposition_only,no allocation,0.0,529879536e754e40e544077fbde36b1177bef7b4c2e74b0d857895c9c3731e96,
low_beta_low_vol_diagnostic_sleeve,diagnostic,ep4/outputs/r05_preflight_alpha_pool_quick_feasibility_v1/cache/r05_preflight_candidate_event_panel.parquet,candidate_id=cross_sectional_low_beta_low_vol_preflight;decomposition_only,no allocation,0.0,51e253b4377e50d1aad957e648c7f4588a61d51706d71793870af9299af9a388,
cash_sleeve,cash,zero_return_cash,return=0;gross_exposure=0,allocation eligible,1.0,3823f5b85d8ad0068243306306bdce1fea0c80453ae1aa25ab8999ae22026d20,
benchmark_reporting_sleeve,benchmark,data/qlib/cn_data_pit/features/sh000300,SH000300 adjusted close-to-close reporting baseline,no allocation,0.0,dd778c28fca5b2f48f6256c2ab3c5a41fd66350454615c457c3b48468028012a,
