split,risk_on_day_count,risk_on_day_share,full_exposure_primary_period_return,full_exposure_primary_daily_mean,full_exposure_primary_monthly_p10,full_exposure_primary_max_drawdown,risk_on_full_exposure_period_return,risk_on_full_exposure_daily_mean,risk_on_full_exposure_gate_status,blocking_reason
train,403,0.3673655423883318,0.39891362393278484,0.00037883727457219243,-0.05319723892034643,0.31103454498228056,0.1849782717384849,0.00047787832436629933,pass,
validation,104,0.21487603305785125,-0.22805203038543354,-0.0004757859542018987,-0.06264493100443905,0.2209460840969263,-0.07910662144092218,-0.0007419972681611705,fail,risk_on_full_exposure_not_positive
robustness,207,0.4268041237113402,0.37085688383529014,0.0007067473914684312,-0.031044663606162648,0.13480056678996621,0.1787858824829478,0.0008281461386886481,pass,
