sleeve_id,candidate_id,split,source_event_count,kept_event_count,entry_executable_event_count,complete_replay_event_count,complete_replay_event_share,complete_share_min,lookahead_safe_event_count,lookahead_censored_event_count,lookahead_audit_status,replay_censor_status,blocking_reason
base_breakout_vcp_secondary_sleeve,base_breakout_vcp_preflight,train,99,99,99,95,0.9595959595959596,0.95,95,0,pass,pass,
base_breakout_vcp_secondary_sleeve,base_breakout_vcp_preflight,validation,73,73,73,70,0.958904109589041,0.95,70,0,pass,pass,
base_breakout_vcp_secondary_sleeve,base_breakout_vcp_preflight,robustness,123,123,123,120,0.975609756097561,0.95,120,0,pass,pass,
low_vol_uptrend_diagnostic_sleeve,low_vol_uptrend_preflight,train,1116,1116,1114,1088,0.974910394265233,0.95,1088,0,pass,pass,
low_vol_uptrend_diagnostic_sleeve,low_vol_uptrend_preflight,validation,574,574,574,553,0.9634146341463414,0.95,553,0,pass,pass,
low_vol_uptrend_diagnostic_sleeve,low_vol_uptrend_preflight,robustness,976,976,976,949,0.9723360655737705,0.95,949,0,pass,pass,
low_beta_low_vol_diagnostic_sleeve,cross_sectional_low_beta_low_vol_preflight,train,1444,1444,1442,1405,0.9729916897506925,0.95,1405,0,pass,pass,
low_beta_low_vol_diagnostic_sleeve,cross_sectional_low_beta_low_vol_preflight,validation,810,810,809,776,0.9580246913580247,0.95,776,0,pass,pass,
low_beta_low_vol_diagnostic_sleeve,cross_sectional_low_beta_low_vol_preflight,robustness,1238,1238,1234,1193,0.9636510500807755,0.95,1193,0,pass,pass,
