,,risk
excess_return_without_cost,mean,0.0011333003360624481
excess_return_without_cost,std,0.004478799087204878
excess_return_without_cost,annualized_return,0.26972547998286267
excess_return_without_cost,information_ratio,3.903659375149565
excess_return_without_cost,max_drawdown,-0.05270094764485561
excess_return_with_cost,mean,0.0010864870171245873
excess_return_with_cost,std,0.0044757380846805975
excess_return_with_cost,annualized_return,0.2585839100756518
excess_return_with_cost,information_ratio,3.744970107509699
excess_return_with_cost,max_drawdown,-0.053393397525411335
benchmark,mean,0.0006773731551573942
benchmark,std,0.009719353201924266
benchmark,annualized_return,0.16121481092745982
benchmark,information_ratio,1.0751748451146768
benchmark,max_drawdown,-0.10799944400787354
strategy_return_without_cost,mean,0.0018106734912198422
strategy_return_without_cost,std,0.010949113696465835
strategy_return_without_cost,annualized_return,0.43094029091032243
strategy_return_without_cost,information_ratio,2.551230254252348
strategy_return_without_cost,max_drawdown,-0.11941062612995029
strategy_return_with_cost,mean,0.0017638601722819813
strategy_return_with_cost,std,0.01094860178678931
strategy_return_with_cost,annualized_return,0.41979872100311155
strategy_return_with_cost,information_ratio,2.485386713260408
strategy_return_with_cost,max_drawdown,-0.12012901180545121
