datetime,n,ic,rank_ic,split,label_lane,seed
2022-01-04,263,-0.19142343960113795,-0.14696589003366112,validation,paper_proxy,20260723
2022-01-05,251,0.00022672111670023955,-0.10262875459538796,validation,paper_proxy,20260723
2022-01-06,250,-0.050659102076511864,-0.0388132132482757,validation,paper_proxy,20260723
2022-01-07,247,-0.12449842403391945,-0.17718013671153113,validation,paper_proxy,20260723
2022-01-10,248,0.13083543353741728,0.2200111840858766,validation,paper_proxy,20260723
2022-01-11,250,-0.13792670705682847,-0.1873965690564456,validation,paper_proxy,20260723
2022-01-12,243,-0.02507388046047701,0.0016467145056071667,validation,paper_proxy,20260723
2022-01-13,252,-0.009243807703819466,0.046692909225383356,validation,paper_proxy,20260723
2022-01-14,244,0.1547291003249359,0.13500221391043252,validation,paper_proxy,20260723
2022-01-17,246,-0.09856580873595197,-0.0901713447859911,validation,paper_proxy,20260723
2022-01-18,252,0.036350468785372105,0.054859220663795984,validation,paper_proxy,20260723
2022-01-19,252,0.03350681854643612,0.07538200263228595,validation,paper_proxy,20260723
2022-01-20,251,0.2369416588576955,0.2784890015953893,validation,paper_proxy,20260723
2022-01-21,248,0.08355413673783249,0.07289240623802269,validation,paper_proxy,20260723
2022-01-24,242,-0.0033554740157571224,-0.07475364403499643,validation,paper_proxy,20260723
2022-01-25,244,0.0838370569408272,0.0647786951277672,validation,paper_proxy,20260723
2022-01-26,234,-0.1825792456865015,-0.18065130829861403,validation,paper_proxy,20260723
2022-01-27,237,-0.05273405108513553,-0.06421592633893926,validation,paper_proxy,20260723
2022-01-28,226,-0.2757158066355608,-0.277366685336274,validation,paper_proxy,20260723
2022-02-07,230,0.00786646847171434,-0.049074260158554504,validation,paper_proxy,20260723
2022-02-08,238,-0.1802272128446146,-0.12103164272050825,validation,paper_proxy,20260723
2022-02-09,232,-0.1180543142185654,-0.16271774224164126,validation,paper_proxy,20260723
2022-02-10,235,0.08337927799056268,0.07800445883510669,validation,paper_proxy,20260723
2022-02-11,231,0.4064188823577595,0.43894545211398217,validation,paper_proxy,20260723
2022-02-14,230,0.04646512742251568,0.06181565327443527,validation,paper_proxy,20260723
