datetime,gross_return,net_return,universe_equal_weight_return,buy_fraction,sell_fraction,one_way_turnover,cost,holdings,label_lane,seed
2024-01-02,-0.00802135095000267,-0.00852135095000267,-0.009396140463650227,1.0,0.0,0.5,0.0005,50,paper_proxy,20260723
2024-01-03,-0.006062367931008339,-0.006382367931008339,-0.007673677988350391,0.16,0.16,0.16,0.00032,50,paper_proxy,20260723
2024-01-04,-0.013577453792095184,-0.013777453792095185,-0.01446051150560379,0.1,0.1,0.1,0.0002,50,paper_proxy,20260723
2024-01-05,0.0017221308080479503,0.0014821308080479503,0.0022301252465695143,0.12,0.12,0.12,0.00023999999999999998,50,paper_proxy,20260723
2024-01-08,-0.006508663762360811,-0.006748663762360811,-0.004461190197616816,0.12,0.12,0.12,0.00023999999999999998,50,paper_proxy,20260723
2024-01-09,0.0032055354677140713,0.003005535467714071,0.005916890222579241,0.1,0.1,0.1,0.0002,50,paper_proxy,20260723
2024-01-10,-0.002099841833114624,-0.002339841833114624,-0.0038646135944873095,0.12,0.12,0.12,0.00023999999999999998,50,paper_proxy,20260723
2024-01-11,0.0011870444286614656,0.0009070444286614656,-0.0011914946371689439,0.14,0.14,0.14,0.00028000000000000003,50,paper_proxy,20260723
2024-01-12,0.0028467178344726562,0.002646717834472656,0.004273656755685806,0.1,0.1,0.1,0.0002,50,paper_proxy,20260723
2024-01-15,-0.02229485660791397,-0.02253485660791397,-0.022151373326778412,0.12,0.12,0.12,0.00023999999999999998,50,paper_proxy,20260723
2024-01-16,0.010424421168863773,0.010224421168863773,0.010963221080601215,0.1,0.1,0.1,0.0002,50,paper_proxy,20260723
2024-01-17,-0.005263634957373142,-0.005463634957373142,-0.007573820650577545,0.1,0.1,0.1,0.0002,50,paper_proxy,20260723
2024-01-18,-0.02593272179365158,-0.02617272179365158,-0.0253303200006485,0.12,0.12,0.12,0.00023999999999999998,50,paper_proxy,20260723
2024-01-19,0.013940040953457355,0.013740040953457355,0.010607975535094738,0.1,0.1,0.1,0.0002,50,paper_proxy,20260723
2024-01-22,0.020191557705402374,0.019991557705402375,0.01655276119709015,0.1,0.1,0.1,0.0002,50,paper_proxy,20260723
2024-01-23,0.028238655999302864,0.027958655999302865,0.023682134225964546,0.14,0.14,0.14,0.00028000000000000003,50,paper_proxy,20260723
2024-01-24,0.001868275459855795,0.0016682754598557948,-0.003718519350513816,0.1,0.1,0.1,0.0002,50,paper_proxy,20260723
2024-01-25,0.003209914080798626,0.003009914080798626,-0.010858196765184402,0.1,0.1,0.1,0.0002,50,paper_proxy,20260723
2024-01-26,-0.01650252938270569,-0.016702529382705687,-0.018284713849425316,0.1,0.1,0.1,0.0002,50,paper_proxy,20260723
2024-01-29,-0.007692425046116114,-0.007892425046116114,-0.014910140074789524,0.1,0.1,0.1,0.0002,50,paper_proxy,20260723
2024-01-30,-0.0028265034779906273,-0.0030265034779906274,0.0015786336734890938,0.1,0.1,0.1,0.0002,50,paper_proxy,20260723
2024-01-31,-0.011719132773578167,-0.011919132773578167,-0.013462062925100327,0.1,0.1,0.1,0.0002,50,paper_proxy,20260723
2024-02-01,0.005513487849384546,0.005313487849384547,-0.0013926181709393859,0.1,0.1,0.1,0.0002,50,paper_proxy,20260723
2024-02-02,0.04636697843670845,0.04616697843670845,0.04486796259880066,0.1,0.1,0.1,0.0002,50,paper_proxy,20260723
2024-02-05,0.011633702553808689,0.011393702553808688,0.009054849855601788,0.12,0.12,0.12,0.00023999999999999998,50,paper_proxy,20260723
2024-02-06,0.007459376007318497,0.007259376007318497,0.0076632993295788765,0.1,0.1,0.1,0.0002,50,paper_proxy,20260723
2024-02-07,0.02045813761651516,0.02025813761651516,0.018522072583436966,0.1,0.1,0.1,0.0002,50,paper_proxy,20260723
2024-02-08,0.0040920148603618145,0.0038920148603618144,0.003509190399199724,0.1,0.1,0.1,0.0002,50,paper_proxy,20260723
2024-02-19,0.007162237074226141,0.006962237074226141,0.008195414207875729,0.1,0.1,0.1,0.0002,50,paper_proxy,20260723
