,,risk
excess_return_without_cost,mean,0.001739324818922473
excess_return_without_cost,std,0.007534823601703518
excess_return_without_cost,annualized_return,0.4139593069035486
excess_return_without_cost,information_ratio,3.5611976911216305
excess_return_without_cost,max_drawdown,-0.08439415843502363
excess_return_with_cost,mean,0.001347295872380831
excess_return_with_cost,std,0.00753659361999625
excess_return_with_cost,annualized_return,0.32065641762663777
excess_return_with_cost,information_ratio,2.757886312657361
excess_return_with_cost,max_drawdown,-0.08902966654282918
benchmark,mean,0.0006773731551573942
benchmark,std,0.009719353201924266
benchmark,annualized_return,0.16121481092745982
benchmark,information_ratio,1.0751748451146768
benchmark,max_drawdown,-0.10799944400787354
strategy_return_without_cost,mean,0.0024166979740798673
strategy_return_without_cost,std,0.013445064983932664
strategy_return_without_cost,annualized_return,0.5751741178310085
strategy_return_without_cost,information_ratio,2.7729877491439145
strategy_return_without_cost,max_drawdown,-0.14321084124529693
strategy_return_with_cost,mean,0.0020246690275382254
strategy_return_with_cost,std,0.013440725850347519
strategy_return_with_cost,annualized_return,0.48187122855409764
strategy_return_with_cost,information_ratio,2.3239126227200453
strategy_return_with_cost,max_drawdown,-0.14900259250909198
