entry_family,entry_variant_id,entry_event_count,pre_entry_failure_filter_hit_rate,post_entry_invalidation_audit_hit_rate,entry_failure_primary_rate,non_winner_false_positive_drawdown
higher_low_reacceleration_entry,higher_low_money_quality,332,0.23795180722891565,0.2891566265060241,0.35542168674698793,-0.09838598142424648
higher_low_reacceleration_entry,higher_low_reaccel_rank,1250,0.0864,0.3032,0.4424,-0.12688180832908397
higher_low_reacceleration_entry,higher_low_reclaim_ema20,2281,0.11661551950898728,0.33537921964050854,0.4120999561595791,-0.11181298247757476
price_hold_after_launch,hold_10d_close_ge_launch_close,4717,0.35531057875768496,0.37354250582997667,0.3811744753020988,-0.1047453904915363
price_hold_after_launch,hold_10d_low_ge_launch_low,4502,0.3245224344735673,0.400488671701466,0.37538871612616614,-0.10536393410037126
price_hold_after_launch,hold_20d_close_ge_launch_close,4701,0.4509678791746437,0.345458413103595,0.3986385875345671,-0.1088709592136955
price_hold_after_launch,hold_3d_close_above_ema20,6989,0.5212476749177278,0.6428673629989984,0.3790241808556303,-0.10404085925122974
price_hold_after_launch,hold_3d_close_ge_launch_close,4567,0.23538427851981608,0.4490913072038537,0.38077512590321877,-0.10422532127575568
price_hold_after_launch,hold_3d_low_ge_launch_low,6707,0.4793499329059192,0.5263157894736842,0.37677053824362605,-0.10413881933333458
price_hold_after_launch,hold_5d_close_above_median20,6932,0.5559723023658396,0.5670802077322562,0.3757934218118869,-0.10448514964544625
price_hold_after_launch,hold_5d_close_ge_launch_close,4591,0.29666739272489656,0.41712045306033546,0.3711609671095622,-0.10416664153573929
price_hold_after_launch,hold_5d_low_ge_launch_low,5758,0.4392150052101424,0.477943730461966,0.37738798193817297,-0.10502435297572904
pullback_hold_entry,pullback_3_8_contraction_upper_close,1043,0.24352828379674019,0.4314477468839885,0.4055608820709492,-0.11271479875079804
pullback_hold_entry,pullback_3_8_reclaim_ema20,1476,0.15447154471544716,0.36449864498644985,0.47289972899729,-0.128768548648989
pullback_hold_entry,pullback_5_12_low_above_launch_low,661,0.19969742813918306,0.35098335854765506,0.49924357034795763,-0.1365079535678696
sparse_strong_day_followthrough_entry,gap_up_hold_3d,475,0.3705263157894737,0.5431578947368421,0.40842105263157896,-0.11815046867163359
sparse_strong_day_followthrough_entry,second_strong_day,508,0.30708661417322836,0.30118110236220474,0.41338582677165353,-0.1221115440211944
sparse_strong_day_followthrough_entry,sparse_limit_followthrough_3d,1606,0.524906600249066,0.47198007471980075,0.44707347447073476,-0.12409345596679489
sparse_strong_day_followthrough_entry,sparse_limit_followthrough_5d,1461,0.5133470225872689,0.44763860369609854,0.42573579739904177,-0.11978707423563051
sparse_strong_day_followthrough_entry,strong_body_pullback_hold,628,0.12579617834394904,0.32643312101910826,0.46656050955414013,-0.12959396977540827
volume_confirmation_entry,volume_hold_3d,2745,0.16247723132969036,0.37996357012750454,0.42331511839708563,-0.11548118296796694
volume_confirmation_entry,volume_hold_5d,2632,0.19034954407294832,0.34574468085106386,0.40577507598784196,-0.11335290266483755
volume_confirmation_entry,volume_rank_money_jump_followthrough,233,0.6824034334763949,0.3648068669527897,0.31759656652360513,-0.0956789944034182
volume_confirmation_entry,volume_second_money_rank_jump,873,0.2531500572737686,0.2920962199312715,0.3940435280641466,-0.10872062103182856
