baseline_name,baseline_source_scope,baseline_selected_on_validation,baseline_used_for_p1_gate,source_path
p0_7ab_full_window_best_single_formula,full_window_audit_only,False,False,Explore9/outputs/reports/p0_7_launch_stratification_leaderboard.csv
p0_7ab_fold_local_train_selected,fold_local_train_selected,False,True,Explore9/outputs/reports/p0_7_failure_filter_leaderboard.csv
