filter_family,filter_variant,opportunity_row_count,filter_signal_rate,filter_window_truncated_rate,filter_horizon_truncated_rate,non_signal_reference_date_missing_count
break_launch_low_filter,break_launch_low_3d,38980,0.3409184197024115,0.00107747562852745,0.2512057465366855,0
break_launch_low_filter,break_launch_low_5d,38980,0.438737814263725,0.002180605438686506,0.2512057465366855,0
break_median20_or_ema20_filter,break_ema20_after_launch_5d,38980,0.39412519240636223,0.002180605438686506,0.2512057465366855,0
break_median20_or_ema20_filter,break_median20_after_launch_5d,38980,0.36970241149307337,0.002180605438686506,0.2512057465366855,0
destructive_high_vol_filter,destructive_high_vol_3d,38980,0.0590559261159569,0.00107747562852745,0.2512057465366855,0
destructive_high_vol_filter,destructive_high_vol_5d,38980,0.08599281682914316,0.002180605438686506,0.2512057465366855,0
gap_fade_filter,gap_fade_after_launch_5d,38980,0.03668547973319651,0.002180605438686506,0.2512057465366855,0
gap_fade_filter,gap_fade_break_prior_close_5d,38980,0.014340687532067726,0.002180605438686506,0.2512057465366855,0
industry_breadth_evaporation_filter,industry_breadth_evaporation_10d,38980,0.7141867624422781,0.003950743971267316,0.2512057465366855,0
industry_breadth_evaporation_filter,industry_breadth_evaporation_5d,38980,0.5251924063622371,0.002180605438686506,0.2512057465366855,0
money_distribution_filter,money_distribution_10d,38980,0.4035915854284248,0.003950743971267316,0.2512057465366855,0
money_distribution_filter,money_distribution_5d,38980,0.46269881990764494,0.002180605438686506,0.2512057465366855,0
no_followthrough_filter,no_followthrough_10d,38980,0.5109030271934325,0.003950743971267316,0.2512057465366855,0
no_followthrough_filter,no_followthrough_5d,38980,0.5995638789122627,0.002180605438686506,0.2512057465366855,0
rank_evaporation_filter,rank_evaporation_10d,38980,0.24489481785531042,0.003950743971267316,0.2512057465366855,0
rank_evaporation_filter,rank_evaporation_5d,38980,0.12775782452539763,0.002180605438686506,0.2512057465366855,0
upper_shadow_volume_failure_filter,upper_shadow_money_distribution_10d,38980,0.46100564391995896,0.003950743971267316,0.2512057465366855,0
upper_shadow_volume_failure_filter,upper_shadow_volume_failure_5d,38980,0.21875320677270396,0.002180605438686506,0.2512057465366855,0
wide_stop_or_unexecutable_filter,wide_stop_risk_no_add_5d,38980,0.10087224217547461,0.002180605438686506,0.2512057465366855,0
wide_stop_or_unexecutable_filter,wide_stop_risk_no_new_entry_10d,38980,0.17075423293996922,0.003950743971267316,0.2512057465366855,0
