entry_family,entry_variant_id,entry_success_lift_vs_all_launch_direct,entry_success_lift_vs_convertible_direct,entry_success_lift_vs_matched_delay_baseline,drawdown_reduction_vs_all_launch_direct,median_missed_gain
price_hold_after_launch,hold_3d_close_above_ema20,0.8817457765200241,0.7696335078534031,1.1059598609162447,0.07309799089613833,0.01856440305709839
price_hold_after_launch,hold_5d_close_ge_launch_close,1.5205615942028985,0.5,1.4073226544622426,0.4156148278889891,0.013132274150848389
price_hold_after_launch,hold_3d_close_ge_launch_close,1.3304913949275363,0.8076923076923077,1.1670425257731958,0.09555532069936555,0.01628059148788452
volume_confirmation_entry,volume_hold_3d,0.9043148090223474,0.7622950819672131,1.1802516749487009,-0.053021461433238715,0.01979362964630127
higher_low_reacceleration_entry,higher_low_reclaim_ema20,0.869806001310596,0.6296296296296297,1.5864879074658254,0.14161301317272346,0.04853928089141846
price_hold_after_launch,hold_5d_close_above_median20,0.8825972660357518,0.696969696969697,0.7570977917981073,0.04416634704301344,0.019723892211914062
pullback_hold_entry,pullback_3_8_reclaim_ema20,0.9442756932036265,0.4146341463414634,2.4581430745814306,-0.05615075580871301,0.08134329319000244
volume_confirmation_entry,volume_hold_5d,0.9167443814324722,0.6582278481012658,0.8386182848425412,-0.10182851605489926,0.022795796394348145
pullback_hold_entry,pullback_3_8_contraction_upper_close,0.9672073749058193,0.4482758620689655,1.1769676484789955,-0.11412463329616314,0.06826448440551758
price_hold_after_launch,hold_10d_close_ge_launch_close,0.8583218731266969,0.6590909090909091,1.009970898335003,-0.024708197832359596,0.02400517463684082
volume_confirmation_entry,volume_second_money_rank_jump,0.8360476119328651,0.5405405405405406,0.7455817378497791,-0.002993728813928248,0.052208781242370605
pullback_hold_entry,pullback_5_12_low_above_launch_low,1.351610305958132,0.39999999999999997,1.8137254901960782,0.16149142269134983,0.09363663196563721
higher_low_reacceleration_entry,higher_low_reaccel_rank,0.675805152979066,0.2612612612612612,1.0026041666666665,-0.1253483607113405,0.10725641250610352
higher_low_reacceleration_entry,higher_low_money_quality,0.6344293272864702,0.2911392405063291,0.6756338899196042,0.11329177481130447,0.09982788562774658
price_hold_after_launch,hold_20d_close_ge_launch_close,1.013707729468599,0.5333333333333333,0.9918478260869564,-0.2247426220897035,0.043071210384368896
volume_confirmation_entry,volume_rank_money_jump_followthrough,0.368620992534036,0.2,0.4900568181818182,0.13953843060735566,0.08820796012878418
price_hold_after_launch,hold_3d_low_ge_launch_low,0.0,,0.0,,
price_hold_after_launch,hold_5d_low_ge_launch_low,0.0,,0.0,,
price_hold_after_launch,hold_10d_low_ge_launch_low,0.0,,0.0,,
pullback_hold_entry,pullback_5_12_reclaim_median20,0.0,,,,
sparse_strong_day_followthrough_entry,sparse_limit_followthrough_3d,0.0,,0.0,,
sparse_strong_day_followthrough_entry,sparse_limit_followthrough_5d,0.0,,0.0,,
sparse_strong_day_followthrough_entry,gap_up_hold_3d,0.0,,0.0,,
sparse_strong_day_followthrough_entry,strong_body_pullback_hold,0.0,,0.0,,
sparse_strong_day_followthrough_entry,second_strong_day,0.0,,0.0,,
