filter_family,filter_variant,filter_event_count,median_filter_delay_days,false_reject_winner_count,post_target_filter_signal_count,median_drawdown_avoided
break_launch_low_filter,break_launch_low_3d,13289,2.0,1616,0,0.10048515123172685
break_launch_low_filter,break_launch_low_5d,17102,2.0,1936,0,0.09939143776467241
break_median20_or_ema20_filter,break_ema20_after_launch_5d,15363,2.0,1469,0,0.09617267738881152
break_median20_or_ema20_filter,break_median20_after_launch_5d,14411,2.0,1583,0,0.09100525651165303
destructive_high_vol_filter,destructive_high_vol_3d,2302,2.0,376,0,0.12238306639294627
destructive_high_vol_filter,destructive_high_vol_5d,3352,3.0,531,0,0.11807979207408748
gap_fade_filter,gap_fade_after_launch_5d,1430,2.0,232,5,0.12568310363878477
gap_fade_filter,gap_fade_break_prior_close_5d,559,2.0,85,4,0.14506537601984182
industry_breadth_evaporation_filter,industry_breadth_evaporation_10d,27839,3.0,3168,10,0.09736456358438561
industry_breadth_evaporation_filter,industry_breadth_evaporation_5d,20472,2.0,2406,0,0.09740255853073054
money_distribution_filter,money_distribution_10d,15732,3.0,2379,22,0.1034318457407668
money_distribution_filter,money_distribution_5d,18036,2.0,2263,8,0.10422532127575568
no_followthrough_filter,no_followthrough_10d,19915,10.0,1613,0,0.08607858438649652
no_followthrough_filter,no_followthrough_5d,23371,5.0,2269,0,0.09366755214950395
rank_evaporation_filter,rank_evaporation_10d,9546,5.0,936,0,0.10029070432312481
rank_evaporation_filter,rank_evaporation_5d,4980,3.0,547,0,0.10001785030291
upper_shadow_volume_failure_filter,upper_shadow_money_distribution_10d,17970,3.0,2732,31,0.10536783055691834
upper_shadow_volume_failure_filter,upper_shadow_volume_failure_5d,8527,2.0,1315,0,0.10538642849971958
wide_stop_or_unexecutable_filter,wide_stop_risk_no_add_5d,3932,3.0,995,0,0.14988206671659438
wide_stop_or_unexecutable_filter,wide_stop_risk_no_new_entry_10d,6656,4.0,1748,0,0.14712539509055889
