launch_stratum_scope,filter_variant,matched_delay_mode,matched_delay_pseudo_reject_set_mode,matched_delay_exact_real_reject_count_used,matched_delay_approximation_used,matched_delay_random_seed,matched_delay_n_repeats,matched_delay_sample_with_replacement,matched_delay_n_jobs,matched_delay_max_sample_per_variant,matched_delay_max_resample_attempts,matched_delay_pseudo_rejected_count_target,matched_delay_sample_count,matched_delay_valid_sample_count,matched_delay_invalid_due_to_horizon_count,matched_delay_reject_precision_nonwinner,matched_delay_winner_false_reject_rate,matched_delay_median_drawdown_avoided_on_pseudo_rejected_nonwinners,matched_delay_mean_drawdown_avoided_on_pseudo_rejected_nonwinners,matched_delay_bootstrap_mean,matched_delay_bootstrap_std
high_vol_destructive_warning:destructive_high_vol_upper_shadow,break_ema20_after_launch_5d,bootstrap_empirical_delay_distribution,exact_real_reject_count,True,False,20260505,20,False,24,20000,10,200,4000,3071,929,0.76775,1.0,0.15055142737397828,0.16354600123502838,0.14883755402707624,0.009964789263614465
high_vol_destructive_warning:destructive_high_vol_upper_shadow,break_launch_low_3d,bootstrap_empirical_delay_distribution,exact_real_reject_count,True,False,20260505,20,False,24,20000,10,481,9620,7333,2287,0.7622661122661123,1.0,0.1514547150974291,0.16388830923551648,0.15258961699676518,0.0037668329430437172
high_vol_destructive_warning:destructive_high_vol_upper_shadow,break_launch_low_5d,bootstrap_empirical_delay_distribution,exact_real_reject_count,True,False,20260505,20,False,24,20000,10,507,10140,7697,2443,0.7590729783037476,1.0,0.15140260731937757,0.16408239898120852,0.15221258768634005,0.0035299732456926802
high_vol_destructive_warning:destructive_high_vol_upper_shadow,break_median20_after_launch_5d,bootstrap_empirical_delay_distribution,exact_real_reject_count,True,False,20260505,20,False,24,20000,10,265,5300,4048,1252,0.7637735849056603,1.0,0.15200976897366406,0.16294406362741987,0.15157240937620683,0.0068446993249758675
high_vol_destructive_warning:destructive_high_vol_upper_shadow,destructive_high_vol_3d,bootstrap_empirical_delay_distribution,exact_real_reject_count,True,False,20260505,20,False,24,20000,10,145,2900,2220,680,0.7655172413793103,1.0,0.15064825596835546,0.16269695379682156,0.15106793019151932,0.01148450906309128
high_vol_destructive_warning:destructive_high_vol_upper_shadow,destructive_high_vol_5d,bootstrap_empirical_delay_distribution,exact_real_reject_count,True,False,20260505,20,False,24,20000,10,220,4400,3359,1041,0.7634090909090909,1.0,0.1530819060467596,0.16464875335852291,0.1551201692457836,0.0072100433037673535
high_vol_destructive_warning:destructive_high_vol_upper_shadow,gap_fade_after_launch_5d,bootstrap_empirical_delay_distribution,exact_real_reject_count,True,False,20260505,20,False,24,20000,10,27,540,413,127,0.7648148148148148,1.0,0.14891767035297093,0.16077241056426333,0.14449309728216458,0.020866651007992343
high_vol_destructive_warning:destructive_high_vol_upper_shadow,gap_fade_break_prior_close_5d,bootstrap_empirical_delay_distribution,exact_real_reject_count,True,False,20260505,20,False,24,20000,10,12,240,173,67,0.7208333333333333,1.0,0.14444972035185644,0.15693291441616355,0.1420166277767719,0.035622147239010686
high_vol_destructive_warning:destructive_high_vol_upper_shadow,industry_breadth_evaporation_10d,bootstrap_empirical_delay_distribution,exact_real_reject_count,True,False,20260505,20,False,24,20000,10,415,8300,6319,1981,0.7613253012048193,1.0,0.1513232932765294,0.16334536564147356,0.1523793248786972,0.005804846153952244
high_vol_destructive_warning:destructive_high_vol_upper_shadow,industry_breadth_evaporation_5d,bootstrap_empirical_delay_distribution,exact_real_reject_count,True,False,20260505,20,False,24,20000,10,301,6020,4629,1391,0.768936877076412,1.0,0.15118679365989512,0.16411774333209997,0.15111839243137068,0.006530318128432141
