filter_family,filter_variant,rejected_nonwinner_count,median_drawdown_avoided_on_rejected_nonwinners,filter_before_12pct_drawdown_rate,filter_before_20pct_drawdown_rate
break_launch_low_filter,break_launch_low_3d,11673,0.10048515123172685,0.503273384001806,0.21596809391225827
break_launch_low_filter,break_launch_low_5d,15166,0.09939143776467241,0.5081277043620629,0.21927259969594198
break_median20_or_ema20_filter,break_ema20_after_launch_5d,13894,0.09617267738881152,0.4960619670637245,0.2079021024539478
break_median20_or_ema20_filter,break_median20_after_launch_5d,12828,0.09100525651165303,0.4782457844701964,0.20074942752064395
destructive_high_vol_filter,destructive_high_vol_3d,1926,0.12238306639294627,0.6429192006950478,0.3318853171155517
destructive_high_vol_filter,destructive_high_vol_5d,2821,0.11807979207408748,0.6327565632458234,0.33591885441527447
gap_fade_filter,gap_fade_after_launch_5d,1193,0.12568310363878477,0.5083916083916084,0.23706293706293707
gap_fade_filter,gap_fade_break_prior_close_5d,470,0.14506537601984182,0.5509838998211091,0.26833631484794274
industry_breadth_evaporation_filter,industry_breadth_evaporation_10d,24661,0.09736456358438561,0.4533208807787636,0.18520780200438233
industry_breadth_evaporation_filter,industry_breadth_evaporation_5d,18066,0.09740255853073054,0.4611176240719031,0.18933177022274325
money_distribution_filter,money_distribution_10d,13331,0.1034318457407668,0.3742054411390796,0.14219425375031783
money_distribution_filter,money_distribution_5d,15765,0.10422532127575568,0.4525393657130184,0.17986249722776668
no_followthrough_filter,no_followthrough_10d,18302,0.08607858438649652,0.37233241275420537,0.18116997238262617
no_followthrough_filter,no_followthrough_5d,21102,0.09366755214950395,0.4387488768131445,0.18227718112190322
rank_evaporation_filter,rank_evaporation_10d,8610,0.10029070432312481,0.5033521893987011,0.27006075843285143
rank_evaporation_filter,rank_evaporation_5d,4433,0.10001785030291,0.5305220883534136,0.25983935742971886
upper_shadow_volume_failure_filter,upper_shadow_money_distribution_10d,15207,0.10536783055691834,0.3625486922648859,0.13828603227601557
upper_shadow_volume_failure_filter,upper_shadow_volume_failure_5d,7212,0.10538642849971958,0.38208045033423244,0.13943942770024628
wide_stop_or_unexecutable_filter,wide_stop_risk_no_add_5d,2937,0.14988206671659438,0.32833163784333674,0.12639877924720244
wide_stop_or_unexecutable_filter,wide_stop_risk_no_new_entry_10d,4908,0.14712539509055889,0.2829026442307692,0.10096153846153846
