fold_id,model_task,model_family,objective,feature_set_version,label_version,train_rows,inner_validation_rows,outer_validation_rows,hyperparameter_search_enabled
fold_2020,launch_winner_score_lgbm,lgbm,binary,p0_8_feature_set_v1,p0_8_label_v1,4877,3599,4052,False
fold_2021,launch_winner_score_lgbm,lgbm,binary,p0_8_feature_set_v1,p0_8_label_v1,8476,4052,4814,False
fold_2022,launch_winner_score_lgbm,lgbm,binary,p0_8_feature_set_v1,p0_8_label_v1,12528,4814,5358,False
fold_2023,launch_winner_score_lgbm,lgbm,binary,p0_8_feature_set_v1,p0_8_label_v1,17342,5358,5040,False
fold_2020,failure_reject_score_lgbm,lgbm,binary,p0_8_feature_set_v1,p0_8_label_v1,14520,10644,11973,False
fold_2021,failure_reject_score_lgbm,lgbm,binary,p0_8_feature_set_v1,p0_8_label_v1,25164,11973,14521,False
fold_2022,failure_reject_score_lgbm,lgbm,binary,p0_8_feature_set_v1,p0_8_label_v1,37137,14521,15829,False
fold_2023,failure_reject_score_lgbm,lgbm,binary,p0_8_feature_set_v1,p0_8_label_v1,51658,15829,14547,False
fold_2024,failure_reject_score_lgbm,lgbm,binary,p0_8_feature_set_v1,p0_8_label_v1,67487,14547,280,False
