field_name,field_role,definition
launch_event_id,launch_event_panel_field,P0.6 launch event field or derived observable feature
instrument,launch_event_panel_field,P0.6 launch event field or derived observable feature
datetime,launch_event_panel_field,P0.6 launch event field or derived observable feature
open,launch_event_panel_field,P0.6 launch event field or derived observable feature
high,launch_event_panel_field,P0.6 launch event field or derived observable feature
low,launch_event_panel_field,P0.6 launch event field or derived observable feature
close,launch_event_panel_field,P0.6 launch event field or derived observable feature
volume,launch_event_panel_field,P0.6 launch event field or derived observable feature
money,launch_event_panel_field,P0.6 launch event field or derived observable feature
factor,launch_event_panel_field,P0.6 launch event field or derived observable feature
prev_close,launch_event_panel_field,P0.6 launch event field or derived observable feature
ret1,launch_event_panel_field,P0.6 launch event field or derived observable feature
ret3,launch_event_panel_field,P0.6 launch event field or derived observable feature
ret5,launch_event_panel_field,P0.6 launch event field or derived observable feature
ret10,launch_event_panel_field,P0.6 launch event field or derived observable feature
ret20,launch_event_panel_field,P0.6 launch event field or derived observable feature
ret60,launch_event_panel_field,P0.6 launch event field or derived observable feature
ret120,launch_event_panel_field,P0.6 launch event field or derived observable feature
ema20,launch_event_panel_field,P0.6 launch event field or derived observable feature
ema30,launch_event_panel_field,P0.6 launch event field or derived observable feature
ema60,launch_event_panel_field,P0.6 launch event field or derived observable feature
ema120,launch_event_panel_field,P0.6 launch event field or derived observable feature
true_range,launch_event_panel_field,P0.6 launch event field or derived observable feature
volatility10,launch_event_panel_field,P0.6 launch event field or derived observable feature
volatility20,launch_event_panel_field,P0.6 launch event field or derived observable feature
volatility60,launch_event_panel_field,P0.6 launch event field or derived observable feature
atr20,launch_event_panel_field,P0.6 launch event field or derived observable feature
atr20_pct,launch_event_panel_field,P0.6 launch event field or derived observable feature
amplitude,launch_event_panel_field,P0.6 launch event field or derived observable feature
amplitude20,launch_event_panel_field,P0.6 launch event field or derived observable feature
high20,launch_event_panel_field,P0.6 launch event field or derived observable feature
low20,launch_event_panel_field,P0.6 launch event field or derived observable feature
dist_high20,launch_event_panel_field,P0.6 launch event field or derived observable feature
dist_low20,launch_event_panel_field,P0.6 launch event field or derived observable feature
high60,launch_event_panel_field,P0.6 launch event field or derived observable feature
low60,launch_event_panel_field,P0.6 launch event field or derived observable feature
dist_high60,launch_event_panel_field,P0.6 launch event field or derived observable feature
dist_low60,launch_event_panel_field,P0.6 launch event field or derived observable feature
high120,launch_event_panel_field,P0.6 launch event field or derived observable feature
low120,launch_event_panel_field,P0.6 launch event field or derived observable feature
dist_high120,launch_event_panel_field,P0.6 launch event field or derived observable feature
dist_low120,launch_event_panel_field,P0.6 launch event field or derived observable feature
high240,launch_event_panel_field,P0.6 launch event field or derived observable feature
