created_by_later_lifecycle_state,declared_lifecycle_stage,stratum_event_count,episode_count
False,late_acceleration,97,97
False,post_20_30_continuation,361,361
False,pre_20_launch,2354,1589
False,risk_warning,126,125
False,sparse_strong_day_node,1583,1404
False,watchlist,10705,4690
True,late_acceleration,701,701
True,post_20_30_continuation,1685,1685
True,pre_20_launch,7869,3001
True,risk_warning,1217,929
True,sparse_strong_day_node,2379,1881
True,watchlist,9903,3355
