path,category,allowed_use,exists,is_file,row_count,sha256,used_for_calculation
Explore4/outputs/reports/signals.csv,forbidden_result_path,must not enter Explore9 calculation path,True,True,,1e60f6d62e0a059875993ce605411c519a501a9def042e0ef457b7e95069dc6b,False
Explore4/outputs/reports/trade_detail.csv,forbidden_result_path,must not enter Explore9 calculation path,True,True,,265c667edff40a8a4b415d76a5fb4792bc91a6089d6136d60437fff912b1ecdd,False
Explore5/outputs/cache/stock_signals.pkl,forbidden_result_path,must not enter Explore9 calculation path,True,True,,5e6f4c0032be589dc81e192783e45b719ab13889f1ca7210bef04686495fb7c3,False
Explore5/outputs/reports/daily_candidates.csv,forbidden_result_path,must not enter Explore9 calculation path,True,True,,9a142456d996aaadc68429a125f5c2e66f9f32ec197a98bdfd2a2b4277713b30,False
Explore5/outputs/reports/fold_portfolio_daily.csv,forbidden_result_path,must not enter Explore9 calculation path,True,True,,7bc508f8d133bceb8c7b230be2e20f6d8b6e1bfc699ec1c6ce7f102ac8b80317,False
Explore5/outputs/reports/fold_trade_detail.csv,forbidden_result_path,must not enter Explore9 calculation path,True,True,,874d738963296fed3a2d0cae6ac9babce5754c86548c99d2e9d1924f6c97ad86,False
Explore5/outputs/reports/signals.csv,forbidden_result_path,must not enter Explore9 calculation path,True,True,,1e60f6d62e0a059875993ce605411c519a501a9def042e0ef457b7e95069dc6b,False
Explore5/outputs/reports/year_metrics.csv,forbidden_result_path,must not enter Explore9 calculation path,True,True,,5ae4fc73b9c045e8b496f9b6ecdd412c18b32097915d5ccfe040b0c0111e7d1f,False
Explore6/outputs/cache/stock_signals.pkl,forbidden_result_path,must not enter Explore9 calculation path,True,True,,f7251e95fb5da1fc2bfab978fc7f53e027109741796279333476724cde781898,False
Explore6/outputs/reports/fold_model_metrics.csv,forbidden_result_path,must not enter Explore9 calculation path,True,True,,bae3f4f63f96d4c54e0523531b849375e50ad539f9a1dbfaa4a029cf918764b8,False
