stratum_family,stratum_variant,declared_stratum_role,stratum_event_count,launch_episode_count,future_50pct_high_120d_rate,failure_primary_rate,label_horizon_truncated_rate,observed_reference_overlap_rate
high_vol_destructive_warning,destructive_high_vol_upper_shadow,risk_warning_context,841,841,0.18906064209274673,0.4684898929845422,0.11890606420927467,0.17360285374554102
high_vol_destructive_warning,high_vol_break_median_warning,risk_warning_context,502,502,0.199203187250996,0.37250996015936255,0.19322709163346613,0.1593625498007968
high_vol_quality_permit,expansion_high_vol_upper_close,launch_observation_context,628,628,0.19745222929936307,0.4745222929936306,0.160828025477707,0.17038216560509553
high_vol_quality_permit,high_vol_controlled_drawdown,launch_observation_context,950,950,0.18526315789473685,0.48210526315789476,0.13263157894736843,0.17473684210526316
industry_breadth_coherence,industry_breadth_confirmed_launch,launch_observation_context,3007,3007,0.12637179913535085,0.3578317259727303,0.07781842367808448,0.16627868307283006
money_price_keep_context,money_expansion_no_distribution,watchlist_observation_context,4305,4305,0.11777003484320557,0.3272938443670151,0.0775842044134727,0.16306620209059233
money_price_keep_context,money_price_upper_keep,watchlist_observation_context,4176,4176,0.11446360153256704,0.33620689655172414,0.07447318007662836,0.16475095785440613
post_20_30_or_late_continuation_context,late_acceleration_context,addon_context_deferred,798,798,0.15789473684210525,0.5288220551378446,0.06766917293233082,0.17794486215538846
post_20_30_or_late_continuation_context,post_20_relative_strength_context,hold_continuation_context,2046,2046,0.1412512218963832,0.4335288367546432,0.09042033235581623,0.19110459433040078
prelaunch_path_quality,controlled_repair_from_deep_drawdown,watchlist_observation_context,496,496,0.10887096774193548,0.38306451612903225,0.06653225806451613,0.11491935483870967
prelaunch_path_quality,range_tightening_then_expand,watchlist_observation_context,1793,1793,0.10373675404350251,0.3775794757389849,0.053541550474065815,0.18627997769102064
rank_jump_persistence_watchlist,industry_rank_jump_leader,watchlist_observation_context,2699,2699,0.12708410522415708,0.369025565024083,0.08002964060763246,0.16895146350500184
rank_jump_persistence_watchlist,rank_jump_5d_persist_3d,watchlist_observation_context,2470,2470,0.1311740890688259,0.39959514170040483,0.08137651821862348,0.17813765182186234
relative_strength_persistence,industry_relative_strength_persistence,launch_observation_context,2784,2784,0.12823275862068967,0.35955459770114945,0.08548850574712644,0.17025862068965517
relative_strength_persistence,relative_strength_10d_persistence,launch_observation_context,2854,2854,0.12543798177995796,0.3759635599159075,0.07498248072880168,0.17379117028731605
repair_quality_watchlist,repair_higher_low_reclaim,watchlist_observation_context,3724,3724,0.09613319011815252,0.2935016111707841,0.04108485499462943,0.16783029001074115
repair_quality_watchlist,repair_reclaim_ema20_quality,watchlist_observation_context,945,945,0.1365079365079365,0.4444444444444444,0.11216931216931217,0.13227513227513227
sparse_strong_day_lifecycle_node,first_near_limit_upper_close,diagnostic_context,1002,1002,0.16067864271457086,0.4560878243512974,0.10878243512974052,0.17265469061876249
sparse_strong_day_lifecycle_node,strong_body_day_node,addon_context_deferred,2960,2960,0.13648648648648648,0.3841216216216216,0.09358108108108108,0.17297297297297298
