target_industry,model_task,fold_id,stable_candidate_id,failure_event_dedup_candidate_id,launch_stratum_event_id,raw_window_hit_count,kept_failure_decision_window,kept_failure_decision_effective_date,duplicate_window_hit_count,dedup_policy,dedup_pass
交通运输,industry_failure_reject_score_lgbm,fold_2020,,4d725adbb8d7e691e701,P07LSE_00001081,3,3,2020-06-08,2,merge_3d_5d_10d_for_main_p1_metrics,True
交通运输,industry_failure_reject_score_lgbm,fold_2020,,4d725adbb8d7e691e701,P07LSE_00001082,3,3,2020-06-08,2,merge_3d_5d_10d_for_main_p1_metrics,True
交通运输,industry_failure_reject_score_lgbm,fold_2020,,4d725adbb8d7e691e701,P07LSE_00001083,3,3,2020-06-08,2,merge_3d_5d_10d_for_main_p1_metrics,True
交通运输,industry_failure_reject_score_lgbm,fold_2020,,4d725adbb8d7e691e701,P07LSE_00001084,3,3,2020-06-08,2,merge_3d_5d_10d_for_main_p1_metrics,True
交通运输,industry_failure_reject_score_lgbm,fold_2020,,4d725adbb8d7e691e701,P07LSE_00001085,3,3,2020-09-24,2,merge_3d_5d_10d_for_main_p1_metrics,True
交通运输,industry_failure_reject_score_lgbm,fold_2020,,4d725adbb8d7e691e701,P07LSE_00001086,3,3,2020-09-24,2,merge_3d_5d_10d_for_main_p1_metrics,True
交通运输,industry_failure_reject_score_lgbm,fold_2020,,4d725adbb8d7e691e701,P07LSE_00001087,3,3,2020-09-24,2,merge_3d_5d_10d_for_main_p1_metrics,True
交通运输,industry_failure_reject_score_lgbm,fold_2020,,4d725adbb8d7e691e701,P07LSE_00001088,3,3,2020-10-23,2,merge_3d_5d_10d_for_main_p1_metrics,True
交通运输,industry_failure_reject_score_lgbm,fold_2020,,4d725adbb8d7e691e701,P07LSE_00001089,3,3,2020-11-12,2,merge_3d_5d_10d_for_main_p1_metrics,True
交通运输,industry_failure_reject_score_lgbm,fold_2020,,4d725adbb8d7e691e701,P07LSE_00001090,3,3,2020-11-12,2,merge_3d_5d_10d_for_main_p1_metrics,True
交通运输,industry_failure_reject_score_lgbm,fold_2020,,4d725adbb8d7e691e701,P07LSE_00001091,3,3,2020-11-12,2,merge_3d_5d_10d_for_main_p1_metrics,True
交通运输,industry_failure_reject_score_lgbm,fold_2020,,4d725adbb8d7e691e701,P07LSE_00001092,3,3,2020-11-13,2,merge_3d_5d_10d_for_main_p1_metrics,True
交通运输,industry_failure_reject_score_lgbm,fold_2020,,4d725adbb8d7e691e701,P07LSE_00001093,3,3,2020-11-13,2,merge_3d_5d_10d_for_main_p1_metrics,True
