feature_name,feature_family,source_column,value_type,min_history_trading_days,lookback_window,requires_benchmark_history,requires_industry_history,feature_eligible_rule,warmup_partial_year_handling,p0_5_enabled,p0_5_new,direction_hint,lifecycle_bucket,primary_combo_family,sparse_diagnostic,generalizable_entry_lead,path_explanation_only,category_id,human_readable_definition,formula_or_bin,required_columns,feature_eligible_rule_detail,close_location_rule,trend_or_drawdown_context,evaluation_only_false_positive_definition,diagnostic_only_not_p1_ready
ret3,price_state,ret3,continuous,3,3d,False,False,available_history_trading_days >= 3 and provider_required_fields_ok and value_not_missing,mark_warmup_partial_year_and_exclude_from_p0_5_lift_denominator,True,False,high,early_entry_discovery,price_state,False,True,False,,P0 inherited primitive: ret3,ret3,ret3,ret3 not missing and PIT member on T date,,,,False
ret5,price_state,ret5,continuous,5,5d,False,False,available_history_trading_days >= 5 and provider_required_fields_ok and value_not_missing,mark_warmup_partial_year_and_exclude_from_p0_5_lift_denominator,True,False,high,early_entry_discovery,price_state,False,True,False,,P0 inherited primitive: ret5,ret5,ret5,ret5 not missing and PIT member on T date,,,,False
ret10,price_state,ret10,continuous,10,10d,False,False,available_history_trading_days >= 10 and provider_required_fields_ok and value_not_missing,mark_warmup_partial_year_and_exclude_from_p0_5_lift_denominator,True,False,high,early_entry_discovery,price_state,False,True,False,,P0 inherited primitive: ret10,ret10,ret10,ret10 not missing and PIT member on T date,,,,False
ret20,price_state,ret20,continuous,20,20d,False,False,available_history_trading_days >= 20 and provider_required_fields_ok and value_not_missing,mark_warmup_partial_year_and_exclude_from_p0_5_lift_denominator,True,False,high,early_entry_discovery,price_state,False,True,False,,P0 inherited primitive: ret20,ret20,ret20,ret20 not missing and PIT member on T date,,,,False
ret60,price_state,ret60,continuous,60,60d,False,False,available_history_trading_days >= 60 and provider_required_fields_ok and value_not_missing,mark_warmup_partial_year_and_exclude_from_p0_5_lift_denominator,True,False,high,early_entry_discovery,price_state,False,True,False,,P0 inherited primitive: ret60,ret60,ret60,ret60 not missing and PIT member on T date,,,,False
ret120,price_state,ret120,continuous,120,120d,False,False,available_history_trading_days >= 120 and provider_required_fields_ok and value_not_missing,mark_warmup_partial_year_and_exclude_from_p0_5_lift_denominator,True,False,high,early_entry_discovery,price_state,False,True,False,,P0 inherited primitive: ret120,ret120,ret120,ret120 not missing and PIT member on T date,,,,False
dist_high20,price_state,dist_high20,continuous,20,20d,False,False,available_history_trading_days >= 20 and provider_required_fields_ok and value_not_missing,mark_warmup_partial_year_and_exclude_from_p0_5_lift_denominator,True,False,low,early_entry_discovery,price_state,False,True,False,,P0 inherited primitive: dist_high20,dist_high20,dist_high20,dist_high20 not missing and PIT member on T date,,,,False
dist_high60,price_state,dist_high60,continuous,60,60d,False,False,available_history_trading_days >= 60 and provider_required_fields_ok and value_not_missing,mark_warmup_partial_year_and_exclude_from_p0_5_lift_denominator,True,False,low,early_entry_discovery,price_state,False,True,False,,P0 inherited primitive: dist_high60,dist_high60,dist_high60,dist_high60 not missing and PIT member on T date,,,,False
dist_high120,price_state,dist_high120,continuous,120,120d,False,False,available_history_trading_days >= 120 and provider_required_fields_ok and value_not_missing,mark_warmup_partial_year_and_exclude_from_p0_5_lift_denominator,True,False,low,early_entry_discovery,price_state,False,True,False,,P0 inherited primitive: dist_high120,dist_high120,dist_high120,dist_high120 not missing and PIT member on T date,,,,False
dist_low20,price_state,dist_low20,continuous,20,20d,False,False,available_history_trading_days >= 20 and provider_required_fields_ok and value_not_missing,mark_warmup_partial_year_and_exclude_from_p0_5_lift_denominator,True,False,high,early_entry_discovery,price_state,False,True,False,,P0 inherited primitive: dist_low20,dist_low20,dist_low20,dist_low20 not missing and PIT member on T date,,,,False
dist_low60,price_state,dist_low60,continuous,60,60d,False,False,available_history_trading_days >= 60 and provider_required_fields_ok and value_not_missing,mark_warmup_partial_year_and_exclude_from_p0_5_lift_denominator,True,False,high,early_entry_discovery,price_state,False,True,False,,P0 inherited primitive: dist_low60,dist_low60,dist_low60,dist_low60 not missing and PIT member on T date,,,,False
dist_low120,price_state,dist_low120,continuous,120,120d,False,False,available_history_trading_days >= 120 and provider_required_fields_ok and value_not_missing,mark_warmup_partial_year_and_exclude_from_p0_5_lift_denominator,True,False,high,early_entry_discovery,price_state,False,True,False,,P0 inherited primitive: dist_low120,dist_low120,dist_low120,dist_low120 not missing and PIT member on T date,,,,False
gap_pct,price_state,gap_pct,continuous,1,1d,False,False,available_history_trading_days >= 1 and provider_required_fields_ok and value_not_missing,mark_warmup_partial_year_and_exclude_from_p0_5_lift_denominator,True,False,high,early_entry_discovery,price_state,False,True,False,,P0 inherited primitive: gap_pct,gap_pct,gap_pct,gap_pct not missing and PIT member on T date,,,,False
limit_up_like,price_state,limit_up_like,boolean,1,1d,False,False,available_history_trading_days >= 1 and provider_required_fields_ok and value_not_missing,mark_warmup_partial_year_and_exclude_from_p0_5_lift_denominator,True,False,high,early_entry_discovery,price_state,False,True,False,,P0 inherited primitive: limit_up_like,limit_up_like,limit_up_like,limit_up_like not missing and PIT member on T date,,,,False
relative_ret20_vs_benchmark,relative_strength,relative_ret20_vs_benchmark,continuous,20,20d,True,False,available_history_trading_days >= 20 and provider_required_fields_ok and value_not_missing,mark_warmup_partial_year_and_exclude_from_p0_5_lift_denominator,True,False,high,early_entry_discovery,relative_strength,False,True,False,,P0 inherited primitive: relative_ret20_vs_benchmark,relative_ret20_vs_benchmark,relative_ret20_vs_benchmark,relative_ret20_vs_benchmark not missing and PIT member on T date,,,,False
relative_ret60_vs_benchmark,relative_strength,relative_ret60_vs_benchmark,continuous,60,60d,True,False,available_history_trading_days >= 60 and provider_required_fields_ok and value_not_missing,mark_warmup_partial_year_and_exclude_from_p0_5_lift_denominator,True,False,high,early_entry_discovery,relative_strength,False,True,False,,P0 inherited primitive: relative_ret60_vs_benchmark,relative_ret60_vs_benchmark,relative_ret60_vs_benchmark,relative_ret60_vs_benchmark not missing and PIT member on T date,,,,False
relative_ret120_vs_benchmark,relative_strength,relative_ret120_vs_benchmark,continuous,120,120d,True,False,available_history_trading_days >= 120 and provider_required_fields_ok and value_not_missing,mark_warmup_partial_year_and_exclude_from_p0_5_lift_denominator,True,False,high,early_entry_discovery,relative_strength,False,True,False,,P0 inherited primitive: relative_ret120_vs_benchmark,relative_ret120_vs_benchmark,relative_ret120_vs_benchmark,relative_ret120_vs_benchmark not missing and PIT member on T date,,,,False
relative_ret20_vs_industry,relative_strength,relative_ret20_vs_industry,continuous,20,20d,False,True,available_history_trading_days >= 20 and provider_required_fields_ok and value_not_missing,mark_warmup_partial_year_and_exclude_from_p0_5_lift_denominator,True,False,high,early_entry_discovery,relative_strength,False,True,False,,P0 inherited primitive: relative_ret20_vs_industry,relative_ret20_vs_industry,relative_ret20_vs_industry,relative_ret20_vs_industry not missing and PIT member on T date,,,,False
relative_ret60_vs_industry,relative_strength,relative_ret60_vs_industry,continuous,60,60d,False,True,available_history_trading_days >= 60 and provider_required_fields_ok and value_not_missing,mark_warmup_partial_year_and_exclude_from_p0_5_lift_denominator,True,False,high,early_entry_discovery,relative_strength,False,True,False,,P0 inherited primitive: relative_ret60_vs_industry,relative_ret60_vs_industry,relative_ret60_vs_industry,relative_ret60_vs_industry not missing and PIT member on T date,,,,False
ret20_universe_pctile,relative_strength,ret20_universe_pctile,continuous,20,20d,False,False,available_history_trading_days >= 20 and provider_required_fields_ok and value_not_missing,mark_warmup_partial_year_and_exclude_from_p0_5_lift_denominator,True,False,high,early_entry_discovery,relative_strength,False,True,False,,P0 inherited primitive: ret20_universe_pctile,ret20_universe_pctile,ret20_universe_pctile,ret20_universe_pctile not missing and PIT member on T date,,,,False
ret20_industry_pctile,relative_strength,ret20_industry_pctile,continuous,20,20d,False,True,available_history_trading_days >= 20 and provider_required_fields_ok and value_not_missing,mark_warmup_partial_year_and_exclude_from_p0_5_lift_denominator,True,False,high,early_entry_discovery,relative_strength,False,True,False,,P0 inherited primitive: ret20_industry_pctile,ret20_industry_pctile,ret20_industry_pctile,ret20_industry_pctile not missing and PIT member on T date,,,,False
money_ratio5,money_liquidity,money_ratio5,continuous,5,5d,False,False,available_history_trading_days >= 5 and provider_required_fields_ok and value_not_missing,mark_warmup_partial_year_and_exclude_from_p0_5_lift_denominator,True,False,high,early_entry_discovery,money_liquidity,False,True,False,,P0 inherited primitive: money_ratio5,money_ratio5,money_ratio5,money_ratio5 not missing and PIT member on T date,,,,False
money_ratio20,money_liquidity,money_ratio20,continuous,20,20d,False,False,available_history_trading_days >= 20 and provider_required_fields_ok and value_not_missing,mark_warmup_partial_year_and_exclude_from_p0_5_lift_denominator,True,False,high,early_entry_discovery,money_liquidity,False,True,False,,P0 inherited primitive: money_ratio20,money_ratio20,money_ratio20,money_ratio20 not missing and PIT member on T date,,,,False
money_ratio60,money_liquidity,money_ratio60,continuous,60,60d,False,False,available_history_trading_days >= 60 and provider_required_fields_ok and value_not_missing,mark_warmup_partial_year_and_exclude_from_p0_5_lift_denominator,True,False,high,early_entry_discovery,money_liquidity,False,True,False,,P0 inherited primitive: money_ratio60,money_ratio60,money_ratio60,money_ratio60 not missing and PIT member on T date,,,,False
money_universe_pctile,money_liquidity,money_universe_pctile,continuous,1,daily_cross_section,False,False,available_history_trading_days >= 1 and provider_required_fields_ok and value_not_missing,mark_warmup_partial_year_and_exclude_from_p0_5_lift_denominator,True,False,high,early_entry_discovery,money_liquidity,False,True,False,,P0 inherited primitive: money_universe_pctile,money_universe_pctile,money_universe_pctile,money_universe_pctile not missing and PIT member on T date,,,,False
money_industry_pctile,money_liquidity,money_industry_pctile,continuous,1,daily_industry_cross_section,False,True,available_history_trading_days >= 1 and provider_required_fields_ok and value_not_missing,mark_warmup_partial_year_and_exclude_from_p0_5_lift_denominator,True,False,high,early_entry_discovery,money_liquidity,False,True,False,,P0 inherited primitive: money_industry_pctile,money_industry_pctile,money_industry_pctile,money_industry_pctile not missing and PIT member on T date,,,,False
money_regime_shift60,money_liquidity,money_regime_shift60,continuous,60,60d,False,False,available_history_trading_days >= 60 and provider_required_fields_ok and value_not_missing,mark_warmup_partial_year_and_exclude_from_p0_5_lift_denominator,True,False,high,early_entry_discovery,money_liquidity,False,True,False,,P0 inherited primitive: money_regime_shift60,money_regime_shift60,money_regime_shift60,money_regime_shift60 not missing and PIT member on T date,,,,False
