check_name,actual_value,required_value,passed,failure_reason
launch_stratum_family_count,10,10,True,
launch_stratum_variant_count,20,20,True,
failure_filter_family_count,10,10,True,
failure_filter_variant_count,20,20,True,
formula_token_unmapped_count,0,0,True,
launch_stratum_event_panel_non_empty,38980,>0,True,
failure_filter_opportunity_panel_non_empty,779600,>0,True,
failure_filter_event_panel_non_empty,244784,>0,True,
event_rows_do_not_store_recommendation,0,0,True,
non_signal_rows_have_denominator_reference_date,0,0,True,
post_target_filter_not_counted_as_false_reject,0,0,True,
matched_delay_exact_real_reject_count_used,1,1,True,
launch_leaderboard_generated,1,1,True,
failure_filter_leaderboard_generated,1,1,True,
hold_addon_gate_deferred,1,1,True,
full_row_csv_reports_disabled_by_default,1,1,True,
