fold_id,model_task,split,instrument_year,event_effective_year,raw_group_weight_sum,raw_group_weight_share,final_group_weight_sum,final_group_weight_share,top_instrument_year_weight_share,instrument_year_weight_hhi,group_cap_applied,max_instrument_year_weight_share,row_count,positive_count
fold_2020,launch_winner_score,train,SH600000_2017,2017,2.0,0.0017331022530329288,14.689774696707108,0.0017331022530329288,0.006932409012131715,0.002984629033608618,False,0.08,9,0
fold_2020,launch_winner_score,train,SH600000_2018,2018,4.0,0.0034662045060658577,29.379549393414216,0.0034662045060658577,0.006932409012131715,0.002984629033608618,False,0.08,18,0
fold_2020,launch_winner_score,train,SH600000_2019,2019,5.0,0.004332755632582322,36.72443674176777,0.004332755632582322,0.006932409012131715,0.002984629033608618,False,0.08,26,0
fold_2020,launch_winner_score,train,SH600009_2017,2017,2.0,0.0017331022530329288,14.689774696707108,0.0017331022530329288,0.006932409012131715,0.002984629033608618,False,0.08,11,0
fold_2020,launch_winner_score,train,SH600009_2018,2018,2.7333333333333334,0.0023685730791450027,20.076025418833048,0.0023685730791450027,0.006932409012131715,0.002984629033608618,False,0.08,35,2
fold_2020,launch_winner_score,train,SH600009_2019,2019,2.2666666666666666,0.0019641825534373195,16.64841132293472,0.001964182553437319,0.006932409012131715,0.002984629033608618,False,0.08,9,3
fold_2020,launch_winner_score,train,SH600010_2017,2017,2.0,0.0017331022530329288,14.689774696707108,0.0017331022530329288,0.006932409012131715,0.002984629033608618,False,0.08,15,0
fold_2020,launch_winner_score,train,SH600010_2018,2018,2.142857142857143,0.0018568952711067095,15.739044317900472,0.0018568952711067095,0.006932409012131715,0.002984629033608618,False,0.08,6,0
fold_2020,launch_winner_score,train,SH600010_2019,2019,2.857142857142857,0.0024758603614756128,20.985392423867296,0.0024758603614756123,0.006932409012131715,0.002984629033608618,False,0.08,19,0
fold_2020,launch_winner_score,train,SH600011_2017,2017,3.0,0.0025996533795493936,22.034662045060664,0.0025996533795493936,0.006932409012131715,0.002984629033608618,False,0.08,16,0
fold_2020,launch_winner_score,train,SH600011_2018,2018,4.0,0.0034662045060658577,29.379549393414216,0.0034662045060658577,0.006932409012131715,0.002984629033608618,False,0.08,40,0
fold_2020,launch_winner_score,train,SH600011_2019,2019,3.0,0.0025996533795493936,22.034662045060664,0.0025996533795493936,0.006932409012131715,0.002984629033608618,False,0.08,21,0
fold_2020,launch_winner_score,train,SH600015_2017,2017,2.0,0.0017331022530329288,14.689774696707108,0.0017331022530329288,0.006932409012131715,0.002984629033608618,False,0.08,7,0
fold_2020,launch_winner_score,train,SH600015_2018,2018,5.0,0.004332755632582322,36.72443674176777,0.004332755632582322,0.006932409012131715,0.002984629033608618,False,0.08,15,0
fold_2020,launch_winner_score,train,SH600015_2019,2019,5.0,0.004332755632582322,36.72443674176777,0.004332755632582322,0.006932409012131715,0.002984629033608618,False,0.08,14,0
fold_2020,launch_winner_score,train,SH600016_2017,2017,2.0,0.0017331022530329288,14.689774696707108,0.0017331022530329288,0.006932409012131715,0.002984629033608618,False,0.08,12,0
fold_2020,launch_winner_score,train,SH600016_2018,2018,6.0,0.005199306759098787,44.06932409012133,0.005199306759098787,0.006932409012131715,0.002984629033608618,False,0.08,14,0
fold_2020,launch_winner_score,train,SH600016_2019,2019,7.0,0.006065857885615251,51.41421143847488,0.006065857885615251,0.006932409012131715,0.002984629033608618,False,0.08,20,0
fold_2020,launch_winner_score,train,SH600018_2018,2018,5.0,0.004332755632582322,36.724436741767775,0.004332755632582323,0.006932409012131715,0.002984629033608618,False,0.08,30,9
fold_2020,launch_winner_score,train,SH600018_2019,2019,4.0,0.0034662045060658577,29.379549393414216,0.0034662045060658577,0.006932409012131715,0.002984629033608618,False,0.08,26,3
fold_2020,launch_winner_score,train,SH600019_2017,2017,1.6,0.0013864818024263432,11.751819757365688,0.0013864818024263432,0.006932409012131715,0.002984629033608618,False,0.08,14,1
fold_2020,launch_winner_score,train,SH600019_2018,2018,4.4,0.0038128249566724438,32.31750433275564,0.0038128249566724438,0.006932409012131715,0.002984629033608618,False,0.08,38,0
fold_2020,launch_winner_score,train,SH600019_2019,2019,6.0,0.005199306759098787,44.06932409012133,0.005199306759098787,0.006932409012131715,0.002984629033608618,False,0.08,29,0
fold_2020,launch_winner_score,train,SH600023_2017,2017,1.8333333333333333,0.0015886770652801848,13.465626805314848,0.0015886770652801846,0.006932409012131715,0.002984629033608618,False,0.08,6,0
fold_2020,launch_winner_score,train,SH600023_2018,2018,4.166666666666667,0.003610629693818602,30.60369728480648,0.003610629693818602,0.006932409012131715,0.002984629033608618,False,0.08,29,0
fold_2020,launch_winner_score,train,SH600023_2019,2019,4.0,0.0034662045060658577,29.379549393414216,0.0034662045060658577,0.006932409012131715,0.002984629033608618,False,0.08,12,0
fold_2020,launch_winner_score,train,SH600025_2018,2018,2.0,0.0017331022530329288,14.689774696707108,0.0017331022530329288,0.006932409012131715,0.002984629033608618,False,0.08,13,10
fold_2020,launch_winner_score,train,SH600025_2019,2019,4.0,0.0034662045060658577,29.379549393414216,0.0034662045060658577,0.006932409012131715,0.002984629033608618,False,0.08,31,0
fold_2020,launch_winner_score,train,SH600028_2017,2017,0.5,0.0004332755632582322,3.6724436741767774,0.00043327556325823227,0.006932409012131715,0.002984629033608618,False,0.08,5,0
fold_2020,launch_winner_score,train,SH600028_2018,2018,4.5,0.00389948006932409,33.05199306759099,0.0038994800693240897,0.006932409012131715,0.002984629033608618,False,0.08,35,0
fold_2020,launch_winner_score,train,SH600028_2019,2019,6.0,0.005199306759098787,44.06932409012133,0.005199306759098787,0.006932409012131715,0.002984629033608618,False,0.08,25,0
fold_2020,launch_winner_score,train,SH600029_2017,2017,0.6470588235294118,0.00056070955245183,4.752574166581711,0.0005607095524518299,0.006932409012131715,0.002984629033608618,False,0.08,11,3
fold_2020,launch_winner_score,train,SH600029_2018,2018,2.152941176470588,0.0018656336017942705,15.813110408808239,0.0018656336017942702,0.006932409012131715,0.002984629033608618,False,0.08,25,2
fold_2020,launch_winner_score,train,SH600029_2019,2019,3.2,0.0027729636048526864,23.503639514731375,0.0027729636048526864,0.006932409012131715,0.002984629033608618,False,0.08,15,0
fold_2020,launch_winner_score,train,SH600030_2017,2017,2.0,0.0017331022530329288,14.689774696707108,0.0017331022530329288,0.006932409012131715,0.002984629033608618,False,0.08,17,0
fold_2020,launch_winner_score,train,SH600030_2018,2018,4.0,0.0034662045060658577,29.379549393414216,0.0034662045060658577,0.006932409012131715,0.002984629033608618,False,0.08,39,12
fold_2020,launch_winner_score,train,SH600030_2019,2019,1.0,0.0008665511265164644,7.344887348353553,0.0008665511265164643,0.006932409012131715,0.002984629033608618,False,0.08,7,0
fold_2020,launch_winner_score,train,SH600031_2017,2017,2.909090909090909,0.0025208760044115332,21.366945013392158,0.002520876004411533,0.006932409012131715,0.002984629033608618,False,0.08,19,0
fold_2020,launch_winner_score,train,SH600031_2018,2018,3.090909090909091,0.0026784307546872535,22.702379076729166,0.0026784307546872535,0.006932409012131715,0.002984629033608618,False,0.08,14,1
fold_2020,launch_winner_score,train,SH600031_2019,2019,2.0,0.0017331022530329288,14.689774696707108,0.0017331022530329288,0.006932409012131715,0.002984629033608618,False,0.08,22,10
fold_2020,launch_winner_score,train,SH600036_2017,2017,1.9090909090909092,0.0016543248778950687,14.022057665038604,0.0016543248778950685,0.006932409012131715,0.002984629033608618,False,0.08,18,0
fold_2020,launch_winner_score,train,SH600036_2018,2018,3.090909090909091,0.0026784307546872535,22.702379076729166,0.0026784307546872535,0.006932409012131715,0.002984629033608618,False,0.08,21,0
fold_2020,launch_winner_score,train,SH600036_2019,2019,4.0,0.0034662045060658577,29.379549393414216,0.0034662045060658577,0.006932409012131715,0.002984629033608618,False,0.08,35,0
fold_2020,launch_winner_score,train,SH600048_2017,2017,1.8235294117647058,0.0015801814660006117,13.393618105821187,0.0015801814660006115,0.006932409012131715,0.002984629033608618,False,0.08,22,18
fold_2020,launch_winner_score,train,SH600048_2018,2018,0.1764705882352941,0.00015292078703231724,1.2961565908859214,0.00015292078703231727,0.006932409012131715,0.002984629033608618,False,0.08,3,0
fold_2020,launch_winner_score,train,SH600048_2019,2019,5.0,0.004332755632582322,36.724436741767775,0.004332755632582323,0.006932409012131715,0.002984629033608618,False,0.08,29,0
fold_2020,launch_winner_score,train,SH600050_2018,2018,3.0,0.0025996533795493936,22.034662045060664,0.0025996533795493936,0.006932409012131715,0.002984629033608618,False,0.08,16,0
fold_2020,launch_winner_score,train,SH600050_2019,2019,5.0,0.004332755632582322,36.72443674176777,0.004332755632582322,0.006932409012131715,0.002984629033608618,False,0.08,37,0
fold_2020,launch_winner_score,train,SH600061_2017,2017,3.0,0.0025996533795493936,22.034662045060664,0.0025996533795493936,0.006932409012131715,0.002984629033608618,False,0.08,10,0
fold_2020,launch_winner_score,train,SH600061_2018,2018,1.5,0.0012998266897746968,11.017331022530332,0.0012998266897746968,0.006932409012131715,0.002984629033608618,False,0.08,9,0
