entry_variant_id,entry_family,launch_winner_without_entry_trigger_count,launch_winner_without_entry_trigger_rate,missed_winner_due_to_no_trigger_rate,direct_entry_winner_missed_by_waiting_rate,missed_50pct_winner_episode_coverage,missed_100pct_winner_episode_coverage,winner_episode_coverage_after_entry,winner_episode_coverage_loss_vs_all_launch_direct
hold_3d_close_ge_launch_close,price_hold_after_launch,2455,0.9939271255060729,0.9939271255060729,0.06666666666666667,1.452316076294278,1.452316076294278,0.01907356948228883,1.452316076294278
hold_5d_close_ge_launch_close,price_hold_after_launch,2468,0.9991902834008097,0.9991902834008097,0.5,1.4700272479564032,1.4700272479564032,0.0013623978201634877,1.4700272479564032
hold_10d_close_ge_launch_close,price_hold_after_launch,2452,0.9927125506072875,0.9927125506072875,0.2222222222222222,1.4509536784741144,1.4509536784741144,0.020435967302452316,1.4509536784741144
hold_20d_close_ge_launch_close,price_hold_after_launch,2464,0.9975708502024292,0.9975708502024292,0.6666666666666666,1.4686648501362398,1.4686648501362398,0.0027247956403269754,1.4686648501362398
hold_3d_low_ge_launch_low,price_hold_after_launch,2470,1.0,1.0,,1.4713896457765667,1.4713896457765667,,1.4713896457765667
hold_5d_low_ge_launch_low,price_hold_after_launch,2470,1.0,1.0,,1.4713896457765667,1.4713896457765667,,1.4713896457765667
hold_10d_low_ge_launch_low,price_hold_after_launch,2470,1.0,1.0,,1.4713896457765667,1.4713896457765667,,1.4713896457765667
hold_3d_close_above_ema20,price_hold_after_launch,2270,0.9190283400809717,0.9190283400809717,0.135,1.2425068119891007,1.2425068119891007,0.22888283378746593,1.2425068119891007
hold_5d_close_above_median20,price_hold_after_launch,2431,0.9842105263157894,0.9842105263157894,0.1282051282051282,1.4237057220708447,1.4237057220708447,0.047683923705722074,1.4237057220708447
pullback_3_8_reclaim_ema20,pullback_hold_entry,2453,0.9931174089068826,0.9931174089068826,0.4117647058823529,1.4577656675749318,1.4577656675749318,0.013623978201634877,1.4577656675749318
pullback_5_12_reclaim_median20,pullback_hold_entry,2470,1.0,1.0,,1.4713896457765667,1.4713896457765667,,1.4713896457765667
pullback_3_8_contraction_upper_close,pullback_hold_entry,2440,0.9878542510121457,0.9878542510121457,0.3,1.4427792915531334,1.4427792915531334,0.02861035422343324,1.4427792915531334
pullback_5_12_low_above_launch_low,pullback_hold_entry,2467,0.9987854251012146,0.9987854251012146,0.6666666666666666,1.4700272479564032,1.4700272479564032,0.0013623978201634877,1.4700272479564032
higher_low_reclaim_ema20,higher_low_reacceleration_entry,2422,0.9805668016194332,0.9805668016194332,0.3125,1.4250681198910082,1.4250681198910082,0.04632152588555858,1.4250681198910082
higher_low_reaccel_rank,higher_low_reacceleration_entry,2359,0.9550607287449393,0.9550607287449393,0.4594594594594595,1.3841961852861036,1.3841961852861036,0.08719346049046321,1.3841961852861036
higher_low_money_quality,higher_low_reacceleration_entry,2442,0.988663967611336,0.988663967611336,0.42857142857142855,1.4482288828337875,1.4482288828337875,0.02316076294277929,1.4482288828337875
volume_hold_3d,volume_confirmation_entry,2340,0.9473684210526315,0.9473684210526315,0.16923076923076924,1.32425068119891,1.32425068119891,0.14713896457765668,1.32425068119891
volume_hold_5d,volume_confirmation_entry,2436,0.9862348178137652,0.9862348178137652,0.14705882352941177,1.430517711171662,1.430517711171662,0.04087193460490463,1.430517711171662
volume_second_money_rank_jump,volume_confirmation_entry,2456,0.994331983805668,0.994331983805668,0.14285714285714285,1.452316076294278,1.452316076294278,0.01907356948228883,1.452316076294278
volume_rank_money_jump_followthrough,volume_confirmation_entry,2468,0.9991902834008097,0.9991902834008097,0.5,1.4700272479564032,1.4700272479564032,0.0013623978201634877,1.4700272479564032
sparse_limit_followthrough_3d,sparse_strong_day_followthrough_entry,1908,1.0,1.0,,1.598092643051771,1.598092643051771,,1.598092643051771
sparse_limit_followthrough_5d,sparse_strong_day_followthrough_entry,1908,1.0,1.0,,1.598092643051771,1.598092643051771,,1.598092643051771
gap_up_hold_3d,sparse_strong_day_followthrough_entry,1908,1.0,1.0,,1.598092643051771,1.598092643051771,,1.598092643051771
strong_body_pullback_hold,sparse_strong_day_followthrough_entry,1908,1.0,1.0,,1.598092643051771,1.598092643051771,,1.598092643051771
second_strong_day,sparse_strong_day_followthrough_entry,1908,1.0,1.0,,1.598092643051771,1.598092643051771,,1.598092643051771
