year,pit_membership_rows,readable_pit_membership_rows,rows_with_all_required_fields,missing_required_rows,readable_coverage_ratio,required_field_coverage_ratio,missing_instrument_count,missing_top_industries,benchmark_readable,coverage_status,conclusion_permission,provider_uri,fallback_used
2017,18497,18497,18497,0,1.0,1.0,0,{},True,coverage_ok,full_p0_discovery,Explore7/data/qlib/cn_data_pit,False
2018,33698,33698,33698,0,1.0,1.0,0,{},True,coverage_ok,full_p0_discovery,Explore7/data/qlib/cn_data_pit,False
2019,36651,36651,36651,0,1.0,1.0,0,{},True,coverage_ok,full_p0_discovery,Explore7/data/qlib/cn_data_pit,False
2020,48165,48165,48165,0,1.0,1.0,0,{},True,coverage_ok,full_p0_discovery,Explore7/data/qlib/cn_data_pit,False
2021,59241,59241,59241,0,1.0,1.0,0,{},True,coverage_ok,full_p0_discovery,Explore7/data/qlib/cn_data_pit,False
2022,55241,55241,55241,0,1.0,1.0,0,{},True,coverage_ok,full_p0_discovery,Explore7/data/qlib/cn_data_pit,False
2023,54481,54481,54481,0,1.0,1.0,0,{},True,coverage_ok,full_p0_discovery,Explore7/data/qlib/cn_data_pit,False
2024,51916,51916,51916,0,1.0,1.0,0,{},True,coverage_ok,full_p0_discovery,Explore7/data/qlib/cn_data_pit,False
2025,58503,58503,58503,0,1.0,1.0,0,{},True,coverage_ok,full_p0_discovery,Explore7/data/qlib/cn_data_pit,False
2026,22747,22747,22747,0,1.0,1.0,0,{},True,coverage_ok,full_p0_discovery,Explore7/data/qlib/cn_data_pit,False
