check_name,actual_value,required_value,passed,failure_reason
launch_family_count,10,5,True,
entry_trigger_variant_count,25,20,True,
launch_pool_quality_audit_exists,1,1,True,
three_baseline_families_exist,3,3,True,
primary_leaderboard_excludes_non_primary_pools,0,0,True,
primary_entry_signal_after_launch,0,0,True,
primary_uses_next_open,4082,4082,True,
primary_first_valid_only,4082,4082,True,
drawdown_negative_threshold_logic,67668,67668,True,
leaderboard_generated,1,1,True,
p1_candidate_gate_explicit,1,1,True,
