filter_family,filter_variant,filter_action,launch_stratum_scope,stratum_family,stratum_variant,filter_event_count,filter_eligible_launch_count,filtered_launch_count,distinct_launch_episode_count,distinct_instrument_count,distinct_year_count,filter_conversion_rate,median_filter_delay_days,eligible_nonwinner_count,eligible_failure_count,eligible_pending_winner_count,eligible_pending_big_winner_count,filtered_nonwinner_count,filtered_failure_count,filtered_pending_winner_count,filtered_pending_big_winner_count,nonwinner_reject_recall,failure_reject_recall,reject_precision_nonwinner,reject_precision_failure,same_launch_stratum_nonwinner_prevalence,same_launch_stratum_failure_prevalence,reject_precision_nonwinner_lift_vs_scope_prevalence,reject_precision_failure_lift_vs_scope_prevalence,winner_false_reject_rate_among_pending_winners,big_winner_false_reject_rate_among_pending_winners,winner_coverage_loss_pending,winner_coverage_loss_total,median_drawdown_avoided_on_rejected_nonwinners,mean_drawdown_avoided_on_rejected_nonwinners,median_drawdown_avoided_vs_matched_delay,mean_drawdown_avoided_vs_matched_delay,filter_before_12pct_drawdown_rate,filter_before_20pct_drawdown_rate,matched_delay_reject_precision_nonwinner,matched_delay_winner_false_reject_rate,matched_delay_drawdown_avoided,instrument_year_filter_effect_lift,positive_unique_instrument_year_count,top1_instrument_contribution,top5_instrument_contribution,filter_observable_delay_days,filter_after_target_achieved_count,observability_leak_check_passed,rejection_reason,p1_failure_filter_candidate
destructive_high_vol_filter,destructive_high_vol_5d,remove_from_watchlist,repair_quality_watchlist:repair_higher_low_reclaim,repair_quality_watchlist,repair_higher_low_reclaim,60,2946,60,60,52,7,0.020366598778004074,2.0,2665,847,280,293,51,40,9,8,0.019136960600375234,0.047225501770956316,0.85,0.6666666666666666,0.9046164290563475,0.28750848608282414,0.939624765478424,2.3187721369539553,0.03214285714285714,0.027303754266211604,0.03214285714285714,0.03202846975088968,0.16131827404630295,0.17296106202106332,0.07740830870741605,0.07464877430295677,0.9574468085106383,1.0,0.9116666666666667,1.0,0.0839099653388869,1.318731355000785,37,0.05,0.18333333333333332,1.0,0,True,insufficient_failure_filter_event_count;nonwinner_reject_recall_too_low;failure_reject_recall_too_low;nonwinner_precision_lift_too_low,False
destructive_high_vol_filter,destructive_high_vol_3d,remove_from_watchlist,repair_quality_watchlist:repair_higher_low_reclaim,repair_quality_watchlist,repair_higher_low_reclaim,44,2946,44,44,39,7,0.01493550577053632,2.0,2665,847,281,294,38,29,6,5,0.01425891181988743,0.03423848878394333,0.8636363636363636,0.6590909090909091,0.9046164290563475,0.28750848608282414,0.9546989595770085,2.2924224535794786,0.021352313167259787,0.017006802721088437,0.021352313167259787,0.021352313167259787,0.15619021768921681,0.17066659563323044,0.0765913746617726,0.07087580428558062,1.0,1.0,0.9147727272727273,1.0,0.07959884302744422,1.2431020683263827,26,0.06818181818181818,0.22727272727272727,1.0,0,True,insufficient_failure_filter_event_count;insufficient_distinct_instrument_count;nonwinner_reject_recall_too_low;failure_reject_recall_too_low;nonwinner_precision_lift_too_low,False
destructive_high_vol_filter,destructive_high_vol_3d,remove_from_watchlist,money_price_keep_context:money_price_upper_keep,money_price_keep_context,money_price_upper_keep,63,3180,63,63,54,7,0.01981132075471698,2.0,2802,1041,378,400,54,45,9,11,0.019271948608137045,0.043227665706051875,0.8571428571428571,0.7142857142857143,0.8811320754716981,0.3273584905660377,0.9727745487916793,2.1819678880197615,0.023809523809523808,0.0275,0.023809523809523808,0.023809523809523808,0.16337700842833996,0.18259877101416333,0.06436307977027095,0.06915669415349301,0.9622641509433962,1.0,0.8706349206349208,1.0,0.09901392865806902,1.3395549666453441,45,0.031746031746031744,0.15873015873015872,1.0,0,True,insufficient_failure_filter_event_count;nonwinner_reject_recall_too_low;failure_reject_recall_too_low;nonwinner_precision_lift_too_low,False
destructive_high_vol_filter,destructive_high_vol_3d,remove_from_watchlist,money_price_keep_context:money_expansion_no_distribution,money_price_keep_context,money_expansion_no_distribution,90,3271,90,90,67,7,0.027514521553041883,2.0,2869,1051,402,424,74,56,16,17,0.025792959219240155,0.0532825880114177,0.8222222222222222,0.6222222222222222,0.8771018037297462,0.32130846835830024,0.9374307734014949,1.936526059837192,0.03980099502487562,0.04009433962264151,0.03980099502487562,0.03980099502487562,0.1668968170969683,0.17249654943416637,0.0832461005730249,0.06841371421987627,0.9705882352941176,1.0,0.8822222222222221,1.0,0.0836507165239434,1.1984693877551023,54,0.03333333333333333,0.15555555555555556,1.0,0,True,insufficient_failure_filter_event_count;nonwinner_reject_recall_too_low;failure_reject_recall_too_low;nonwinner_precision_lift_too_low,False
gap_fade_filter,gap_fade_break_prior_close_5d,reduce_risk,relative_strength_persistence:industry_relative_strength_persistence,relative_strength_persistence,industry_relative_strength_persistence,19,2073,19,19,18,6,0.009165460684997588,2.0,1789,737,283,299,16,13,3,3,0.008943543879262158,0.017639077340569877,0.8421052631578947,0.6842105263157895,0.8630004823926676,0.3555233960443801,0.9757877085110764,1.9245161751053348,0.01060070671378092,0.010033444816053512,0.01060070671378092,0.01056338028169014,0.15891589761904595,0.17944727884044742,0.04749892734257849,0.05093109886856825,1.0,1.0,0.8921052631578947,1.0,0.11141697027646746,1.4509145203434117,13,0.10526315789473684,0.3157894736842105,1.0,0,True,insufficient_failure_filter_event_count;insufficient_distinct_instrument_count;nonwinner_reject_recall_too_low;failure_reject_recall_too_low;nonwinner_precision_lift_too_low;positive_unique_instrument_year_count_too_low,False
destructive_high_vol_filter,destructive_high_vol_5d,remove_from_watchlist,money_price_keep_context:money_price_upper_keep,money_price_keep_context,money_price_upper_keep,102,3180,102,102,85,8,0.03207547169811321,3.0,2802,1041,378,400,84,63,18,21,0.029978586723768737,0.06051873198847262,0.8235294117647058,0.6176470588235294,0.8811320754716981,0.3273584905660377,0.934626527270437,1.8867604678759113,0.047619047619047616,0.0525,0.047619047619047616,0.047619047619047616,0.143005356884485,0.16160261047567043,0.04414063480476216,0.04820260889612725,0.9102564102564102,1.0,0.871078431372549,1.0,0.09886472207972286,1.1442776203966005,62,0.0196078431372549,0.09803921568627451,1.0,0,True,insufficient_failure_filter_event_count;nonwinner_reject_recall_too_low;failure_reject_recall_too_low;nonwinner_precision_lift_too_low,False
destructive_high_vol_filter,destructive_high_vol_5d,remove_from_watchlist,prelaunch_path_quality:controlled_repair_from_deep_drawdown,prelaunch_path_quality,controlled_repair_from_deep_drawdown,16,406,16,16,15,3,0.03940886699507389,1.5,361,149,45,49,13,11,3,4,0.036011080332409975,0.0738255033557047,0.8125,0.6875,0.8891625615763546,0.3669950738916256,0.9137811634349031,1.8733221476510067,0.06666666666666667,0.08163265306122448,0.06666666666666667,0.06666666666666667,0.23176111580739,0.2084131017477995,0.1300983440287951,0.08119734443302815,1.0,1.0,0.878125,1.0,0.1016627717785949,1.882222222222222,11,0.125,0.375,1.0,0,True,insufficient_failure_filter_event_count;insufficient_distinct_year_count;insufficient_distinct_instrument_count;top5_instrument_contribution_too_high;nonwinner_reject_recall_too_low;failure_reject_recall_too_low;nonwinner_precision_lift_too_low;positive_unique_instrument_year_count_too_low,False
rank_evaporation_filter,rank_evaporation_5d,no_new_entry,sparse_strong_day_lifecycle_node:first_near_limit_upper_close,sparse_strong_day_lifecycle_node,first_near_limit_upper_close,58,720,58,58,55,7,0.08055555555555556,3.0,584,316,133,132,54,47,4,3,0.09246575342465753,0.14873417721518986,0.9310344827586207,0.8103448275862069,0.8111111111111111,0.4388888888888889,1.1478507321681624,1.8463553033609776,0.03007518796992481,0.022727272727272728,0.03007518796992481,0.029411764705882353,0.11843201069052156,0.14775656657013025,-0.015022723808961108,0.004487370922093503,0.8627450980392157,1.0,0.828448275862069,1.0,0.13345473449948267,1.6923528031902415,47,0.034482758620689655,0.13793103448275862,1.0,0,True,insufficient_failure_filter_event_count;nonwinner_reject_recall_too_low;failure_reject_recall_too_low;drawdown_avoided_vs_matched_delay_too_low,False
destructive_high_vol_filter,destructive_high_vol_3d,remove_from_watchlist,prelaunch_path_quality:controlled_repair_from_deep_drawdown,prelaunch_path_quality,controlled_repair_from_deep_drawdown,14,406,14,14,13,3,0.034482758620689655,1.0,361,149,45,49,11,9,3,4,0.030470914127423823,0.06040268456375839,0.7857142857142857,0.6428571428571429,0.8891625615763546,0.3669950738916256,0.8836565096952909,1.7516778523489935,0.06666666666666667,0.08163265306122448,0.06666666666666667,0.06666666666666667,0.23176111580739,0.20202150233522803,0.1198725698782371,0.08161611532151405,1.0,1.0,0.8464285714285713,1.0,0.1118885459291529,1.7769230769230768,9,0.14285714285714285,0.42857142857142855,1.0,0,True,insufficient_failure_filter_event_count;insufficient_distinct_year_count;insufficient_distinct_instrument_count;top5_instrument_contribution_too_high;nonwinner_reject_recall_too_low;failure_reject_recall_too_low;nonwinner_precision_lift_too_low;positive_unique_instrument_year_count_too_low,False
destructive_high_vol_filter,destructive_high_vol_5d,remove_from_watchlist,money_price_keep_context:money_expansion_no_distribution,money_price_keep_context,money_expansion_no_distribution,128,3271,128,128,92,7,0.039131763986548454,3.0,2869,1051,402,424,101,71,27,28,0.03520390379923318,0.0675547098001903,0.7890625,0.5546875,0.8771018037297462,0.32130846835830024,0.8996247603694667,1.7263394980970503,0.06716417910447761,0.0660377358490566,0.06716417910447761,0.06716417910447761,0.14437418949738112,0.16162962231843758,0.05140152741035889,0.05305023565911389,0.9340659340659341,1.0,0.880078125,1.0,0.09297266208702223,1.0767857142857142,67,0.0234375,0.1171875,1.0,0,True,insufficient_failure_filter_event_count;nonwinner_reject_recall_too_low;failure_reject_recall_too_low;nonwinner_precision_lift_too_low,False
