check_name,actual_value,required_value,passed,failure_reason
registry_feature_family_count,11,10,True,
p0_univariate_primitive_count,55,30,True,
p0_pairwise_combo_count,10,10,True,
preliminary_discovery_lead_count,8,5,True,
non_ema_breakout_pullback_lead_count,8,3,True,
relative_strength_or_industry_lead_count,2,2,True,
money_or_volatility_lead_count,3,2,True,
continuation_or_hold_lead_count,1,1,True,
broad_discovery_p0_minimum_coverage_met,1,1,True,
