lead_id,lead_name,feature_family,observable_state_stage,formula_or_bin,direction,horizon,positive_label,baseline_scope,baseline_sample_count,baseline_positive_rate,lead_positive_rate,lift_vs_baseline,global_lift,industry_relative_lift,stock_day_count,unique_instrument_count,unique_instrument_year_count,unique_episode_count,positive_stock_day_count,positive_unique_instrument_count,positive_unique_instrument_year_count,positive_unique_episode_count,lead_future_50pct_precision,lead_future_100pct_precision,episode_dedup_lift,instrument_year_dedup_lift,year_positive_lift_count,distinct_year_count,distinct_industry_count,industry_concentration_top1,avg_lead_time_to_50pct,median_lead_time_to_50pct,avg_future_max_gain,avg_future_drawdown_before_gain,turnover_proxy,market_regime_dependency,industry_regime_dependency,label_horizon_truncated_rate,observed_reference_overlap_rate,duplicate_positive_risk,sparse_bin,failure_reason,recommended_next_phase,first_feature,second_feature,lead_type
pair_rank_industry,全市场强排名 + 行业强宽度,rank_industry_sync,observable_relative_strength_leading,"ret20_universe_pctile in ['p80_90', 'p90_100'] and industry_width_state in ['industry_width_strong']",high_regime,120d,future_50pct_high_120d,same_year_same_horizon_horizon_valid_pit_stock_days,312347,0.12440650942701546,0.1922636815920398,1.5454471191062036,1.539636058476125,,40200,323,1575,1575,7729,219,447,2173,0.1922636815920398,0.1077363184079602,0.5013662716427884,0.5992668722165125,7,8,28,0.0927363184079602,64.9403545089921,64.0,0.30903056594860934,-0.07718449742747573,981085248.0,market_trend_on,industry_sync_on,0.13590935993912234,0.07295172063921536,False,False,,p1_hypothesis_refine,ret20_universe_pctile,industry_width_state,pairwise_primitive
pair_rank_industry,全市场强排名 + 行业强宽度,rank_industry_sync,observable_relative_strength_leading,"ret20_universe_pctile in ['p80_90', 'p90_100'] and industry_width_state in ['industry_width_strong']",high_regime,240d,future_100pct_high_240d,same_year_same_horizon_horizon_valid_pit_stock_days,275656,0.07158559944278375,0.12290164407268532,1.7168487102062608,1.7060879918546141,,34670,285,1317,1317,4261,116,198,1132,0.21104701471012402,0.12290164407268532,0.6563529719403767,0.7366285631201057,6,8,27,0.09457744447649265,82.57803332551045,76.0,0.4773299236677397,-0.07694268361752661,1016574208.0,market_trend_on,industry_sync_on,0.24633465798596432,0.13521603111524477,False,False,,p1_hypothesis_refine,ret20_universe_pctile,industry_width_state,pairwise_primitive
pair_money_near_high,成交 regime shift + 接近新高,money_near_high,observable_trend_extension,"money_regime_shift60 in ['p80_90', 'p90_100'] and dist_high60 in ['p80_90', 'p90_100']",high_high,120d,future_50pct_high_120d,same_year_same_horizon_horizon_valid_pit_stock_days,306686,0.12411065389355888,0.11776291919348987,0.9488542320829844,0.9430384107926806,,19293,314,1421,1421,2272,172,281,896,0.11776291919348987,0.054786710205774115,0.23220038701443496,0.42042437037510927,5,8,28,0.15663712227232676,67.36487676056338,72.0,0.24383271583031899,-0.0825549404375257,771735424.0,market_trend_on,industry_sync_on,0.1060245661922402,0.02784168453889647,False,False,lift_not_above_baseline,drop,money_regime_shift60,dist_high60,pairwise_primitive
pair_money_near_high,成交 regime shift + 接近新高,money_near_high,observable_trend_extension,"money_regime_shift60 in ['p80_90', 'p90_100'] and dist_high60 in ['p80_90', 'p90_100']",high_high,240d,future_100pct_high_240d,same_year_same_horizon_horizon_valid_pit_stock_days,270129,0.07135849908747302,0.06151224957405558,0.8620171438675067,0.8538967166964387,,17021,277,1208,1208,1047,93,130,464,0.1279008283884613,0.06151224957405558,0.2970024902192732,0.5285355529902586,2,8,28,0.1549262675518477,83.57784145176696,81.0,0.35687150304639526,-0.09232767177226714,788533184.0,market_trend_on,industry_sync_on,0.22674985377266524,0.09058295964125561,False,False,lift_not_above_baseline,drop,money_regime_shift60,dist_high60,pairwise_primitive
pair_narrow_expand,窄幅整理 + 振幅扩张,compression_expansion,observable_base_building,"narrow_range10 in ['true'] and range_expansion20 in ['p80_90', 'p90_100']",true_high,120d,future_50pct_high_120d,same_year_same_horizon_horizon_valid_pit_stock_days,308761,0.12442633622769715,0.058068773370481705,0.46669198122347083,0.4650112627218796,,13639,240,1007,1007,792,122,169,269,0.058068773370481705,0.0244152797125889,0.09788270428170688,0.3556923010578544,1,8,28,0.34210719260942885,73.67676767676768,81.0,0.17993174870226125,-0.053230889606610016,315748832.0,market_drawdown,industry_lagging,0.08819375425014385,0.03985981063974473,False,False,lift_not_above_baseline,drop,narrow_range10,range_expansion20,pairwise_primitive
pair_narrow_expand,窄幅整理 + 振幅扩张,compression_expansion,observable_base_building,"narrow_range10 in ['true'] and range_expansion20 in ['p80_90', 'p90_100']",true_high,240d,future_100pct_high_240d,same_year_same_horizon_horizon_valid_pit_stock_days,272132,0.0715388120470948,0.025655326268823202,0.3586210832231044,0.35614042761271225,,12551,219,873,873,322,57,73,129,0.053621225400366505,0.025655326268823202,0.11386782267514582,0.4089486346560266,0,8,28,0.3522428491753645,108.83229813664596,96.5,0.28442702048478385,-0.06284057680960117,308227488.0,market_drawdown,industry_lagging,0.20207145472615995,0.0889783961918711,False,False,lift_not_above_baseline,drop,narrow_range10,range_expansion20,pairwise_primitive
pair_stage_market,可观察修复阶段 + 市场非强,lifecycle_regime,observable_repairing,"observable_state_stage in ['observable_repairing', 'observable_relative_strength_leading'] and market_regime_state in ['market_choppy', 'market_drawdown']",stage_regime,120d,future_50pct_high_120d,same_year_same_horizon_horizon_valid_pit_stock_days,312545,0.12491641203666672,0.10991022915190173,0.8798702056831393,0.8801545387896488,,33864,284,1317,1317,3722,189,372,824,0.10991022915190173,0.053951098511693836,0.22706913553022465,0.5967563079377045,7,8,28,0.09470233876683204,70.59564750134336,70.0,0.2414721609682,-0.06472926976004695,546534784.0,market_drawdown,industry_lagging,0.06737430429983797,0.06000046967099547,False,False,lift_not_above_baseline,drop,observable_state_stage,market_regime_state,pairwise_primitive
pair_stage_market,可观察修复阶段 + 市场非强,lifecycle_regime,observable_repairing,"observable_state_stage in ['observable_repairing', 'observable_relative_strength_leading'] and market_regime_state in ['market_choppy', 'market_drawdown']",stage_regime,240d,future_100pct_high_240d,same_year_same_horizon_horizon_valid_pit_stock_days,275854,0.07206348285687357,0.057604297937255425,0.7993548972877739,0.7996475696602102,,30154,262,1129,1129,1737,95,153,399,0.11338462558864495,0.057604297937255425,0.26876496329881,0.66239632820678,5,8,28,0.09753266564966505,90.98906160046056,78.0,0.37348840862459787,-0.06679140646412049,544255552.0,market_drawdown,industry_lagging,0.11896766315196206,0.11626705492802292,False,False,lift_not_above_baseline,drop,observable_state_stage,market_regime_state,pairwise_primitive
pair_hold_rs,已涨20% + 仍然相对强,continuation_hold,observable_20pct_from_recent_low,"post_20pct_from_recent_low in ['true'] and relative_ret20_vs_benchmark in ['p80_90', 'p90_100']",true_high,120d,future_50pct_high_120d,same_year_same_horizon_horizon_valid_pit_stock_days,312545,0.12491641203666672,0.19254816894219726,1.5414161021986335,1.5419142161544543,,47022,318,1454,1454,9054,214,428,2312,0.19254816894219726,0.10390880864276296,0.5770854080578879,0.6218980798854725,7,8,28,0.10184594445153332,63.52319416832339,63.0,0.3129353659206859,-0.07819369988559119,993743232.0,market_trend_on,industry_sync_on,0.15052907372291302,0.06715110808737317,False,False,,p1_hold_exit_refine,post_20pct_from_recent_low,relative_ret20_vs_benchmark,pairwise_primitive
pair_hold_rs,已涨20% + 仍然相对强,continuation_hold,observable_20pct_from_recent_low,"post_20pct_from_recent_low in ['true'] and relative_ret20_vs_benchmark in ['p80_90', 'p90_100']",true_high,240d,future_100pct_high_240d,same_year_same_horizon_horizon_valid_pit_stock_days,275854,0.07206348285687357,0.11770041676881589,1.633287930345839,1.6338859353809843,,40790,282,1209,1209,4801,115,202,1194,0.21044373620985535,0.11770041676881589,0.7510549707930737,0.8166679198937262,6,8,28,0.10012257906349596,81.47698396167465,75.0,0.4744239799055853,-0.07866650312239867,1026843264.0,market_trend_on,industry_sync_on,0.25628591694049185,0.12267851714604172,False,False,,p1_hold_exit_refine,post_20pct_from_recent_low,relative_ret20_vs_benchmark,pairwise_primitive
