panel_name,row_count,decision_overlap_rows,feature_overlap_rows,label_measurement_overlap_rows,eligible_rows_with_decision_or_feature_overlap,leakage_audit_pass
launch,194900,90,0,33035,0,True
failure,584700,2955,2315,116135,0,True
