horizon,research_stock_day_rows,horizon_valid_rows,label_horizon_truncated_rows,observed_reference_overlap_rows,provider_required_fields_ok_rows,future_50pct_high_positive_rows,future_100pct_high_positive_rows,future_50pct_close_positive_rows,future_100pct_close_positive_rows,provider_coverage_limited_research
20d,357890,354928,2962,5631,357890,2476,132,1715,99,False
60d,357890,349684,8206,16065,357890,18855,2044,15444,1650,False
120d,357890,342821,15069,30175,357890,43675,8212,37996,6990,False
240d,357890,330964,26926,55009,357890,83439,23749,75147,21450,False
