lead_rank,lead_id,lead_name,feature_family,observable_state_stage,formula_or_bin,direction,horizon,baseline_scope,stock_day_count,unique_instrument_count,unique_instrument_year_count,unique_episode_count,positive_stock_day_count,positive_unique_instrument_year_count,positive_unique_episode_count,baseline_positive_rate,lead_future_50pct_precision,lead_future_100pct_precision,lift_vs_baseline,episode_dedup_lift,instrument_year_dedup_lift,year_positive_lift_count,distinct_year_count,distinct_industry_count,industry_concentration_top1,avg_lead_time_to_50pct,median_lead_time_to_50pct,avg_future_max_gain,avg_future_drawdown_before_gain,label_horizon_truncated_rate,observed_reference_overlap_rate,duplicate_positive_risk,sparse_bin,failure_reason,recommended_next_phase
1,uni_observable_state_stage_observable_late_acceleration_risk,observable_state_stage,lifecycle_observable_stage,mixed_observable_state,observable_state_stage == observable_late_acceleration_risk,high,120d,same_year_same_horizon_horizon_valid_pit_stock_days,5967,144,229,229,2140,87,450,0.12487605790574643,0.3586391821685939,0.21920563097033685,2.8719611123477846,0.7131710432228963,0.8026452200684867,4,8,24,0.18250377073906485,64.34345794392523,63.0,0.4468465081222826,-0.10104550874024933,0.2959984112799126,0.029292026611061464,False,False,,p1_hypothesis_refine
2,uni_volatility60_p90_100,volatility60,volatility_compression_expansion,mixed_observable_state,volatility60 == p90_100,low,120d,same_year_same_horizon_horizon_valid_pit_stock_days,27979,224,542,542,6991,234,1308,0.12488444622151139,0.2498659709067515,0.1388541406054541,2.0007773463122582,0.8758407089735162,0.9121293371207093,8,8,29,0.1596554558776225,60.63495923329996,58.0,0.36884758564902054,-0.09844799436999994,0.18985381847989435,0.09488136982558404,True,False,,p1_hypothesis_refine
3,uni_trend_speed_bucket_speed_fast,trend_speed_bucket,industry_style_layer,mixed_observable_state,trend_speed_bucket == speed_fast,high,120d,same_year_same_horizon_horizon_valid_pit_stock_days,10466,295,836,836,2833,259,1079,0.12487605790574643,0.2706860309573858,0.1446588954710491,2.167637539949358,0.46841612504250046,0.6545357015822748,7,8,29,0.11503917446971144,59.9011648429227,56.0,0.38701180399999685,-0.0953945453383678,0.21357654121450012,0.09911105980143153,False,False,,p1_hypothesis_refine
4,uni_ret20_universe_pctile_p90_100,ret20_universe_pctile,relative_strength,mixed_observable_state,ret20_universe_pctile == p90_100,high,120d,same_year_same_horizon_horizon_valid_pit_stock_days,29969,320,1425,1425,6327,411,1878,0.12487605790574643,0.21111815542727486,0.11261637024925757,1.6906215568289478,0.47829670984877226,0.6093499936892591,7,8,29,0.10247255497347259,62.88825667773036,62.0,0.32740730341291924,-0.08012658332321854,0.14557005259922126,0.07099756358585514,False,False,,p1_hypothesis_refine
5,uni_relative_ret60_vs_benchmark_p90_100,relative_ret60_vs_benchmark,relative_strength,mixed_observable_state,relative_ret60_vs_benchmark == p90_100,high,120d,same_year_same_horizon_horizon_valid_pit_stock_days,29600,308,1020,1020,6119,296,1492,0.12488444622151139,0.20672297297297298,0.11236486486486487,1.6553140060876923,0.5308665010803497,0.6131001081487751,7,8,28,0.10270270270270271,62.83199869259683,64.0,0.3265287607046968,-0.08911280354955967,0.16334987932055195,0.07227105059428936,False,False,,p1_hypothesis_refine
6,uni_amplitude20_p90_100,amplitude20,volatility_compression_expansion,mixed_observable_state,amplitude20 == p90_100,low,120d,same_year_same_horizon_horizon_valid_pit_stock_days,27792,275,810,810,6441,308,1490,0.12462425736519932,0.2317573402417962,0.13036125503742085,1.8596487164024076,0.6701221287485251,0.8057940009805233,8,8,29,0.13914075993091538,62.89861822698339,63.0,0.3517952227770555,-0.10242035905566643,0.18464639985338252,0.09115484181347507,False,False,,p1_hypothesis_refine
7,uni_post_30pct_from_recent_low_true,post_30pct_from_recent_low,lifecycle_observable_stage,mixed_observable_state,post_30pct_from_recent_low == true,high,120d,same_year_same_horizon_horizon_valid_pit_stock_days,86575,315,1292,1292,17332,426,2719,0.12491641203666672,0.20019636153624026,0.10877274039849841,1.6026425853271917,0.7637713505912962,0.6966055638461366,7,8,28,0.1064741553566272,64.10645049619201,63.0,0.3242779218375839,-0.07867041240835043,0.15600071599231086,0.07794198905776968,True,False,,p1_hold_exit_refine
8,uni_atr20_pct_p90_100,atr20_pct,volatility_compression_expansion,mixed_observable_state,atr20_pct == p90_100,low,120d,same_year_same_horizon_horizon_valid_pit_stock_days,27953,280,879,879,6466,352,1583,0.12463282252901225,0.23131685328945015,0.12914535112510286,1.855986638155481,0.6556548956740597,0.8486177679755876,8,8,29,0.13794583765606555,64.65852149706156,65.0,0.35804003788860533,-0.10391894292738071,0.17875137412971784,0.09440271161597655,False,False,,p1_hypothesis_refine
