fold_id,validation_year,validation_fold_role,p1_promotion_eligible_fold,included_in_p1_promotion_oof,allowed_to_use_observed_reference_for_label_measurement
fold_2020,2020,p1_promotion_eligible,True,True,False
fold_2021,2021,p1_promotion_eligible,True,True,False
fold_2022,2022,p1_promotion_eligible,True,True,False
fold_2023,2023,p1_promotion_eligible,True,True,False
fold_2024,2024,robustness_audit_only,False,False,True
