configured_industry_name,matched_pit_industry_name,industry_code_if_available,match_status,industry_enabled_for_p0_9,sample_event_count,sample_instrument_count,sample_instrument_year_count,missing_or_unknown_industry_count,mapping_exclusion_reason
国防军工,国防军工,801740.SI,exact_match,True,1035,14,62,0,
基础化工,基础化工,801030.SI,exact_match,True,1454,34,92,0,
汽车,汽车,801880.SI,exact_match,True,1878,20,97,0,
交通运输,交通运输,801170.SI,exact_match,True,2303,20,123,0,
机械设备,机械设备,801890.SI,exact_match,True,842,11,45,0,
建筑材料,建筑材料,801710.SI,exact_match,True,553,11,36,0,
传媒,传媒,801760.SI,exact_match,True,463,7,29,0,
电力设备,电力设备,801730.SI,exact_match,True,1947,27,105,0,
电子,电子,801080.SI,exact_match,True,2973,35,155,0,
