lead_id,lead_name,primary_combo_family,lifecycle_bucket,false_positive_stock_day_count,false_positive_rate,false_positive_avg_future_drawdown_120d,stock_day_precision,dedup_trigger_event_precision,dedup_trigger_event_lift,failure_reason,evaluation_only_false_positive_definition
hv_expansion_rs,扩张性高波 + 相对强度,high_volatility_decomposition,early_entry_discovery,560,0.7547169811320755,-0.23156908175924054,0.24528301886792453,0.18376068376068377,1.8332488767271378,instrument_year_lift_not_positive,"forward-label miss and future drawdown audit only; not used as feature, lead formula, candidate selection, or ranking input"
hv_expansion_money,扩张性高波 + 成交质量,high_volatility_decomposition,early_entry_discovery,455,0.7724957555178268,-0.24289437901275032,0.22750424448217318,0.18181818181818182,1.8324780058651027,instrument_year_lift_not_positive,"forward-label miss and future drawdown audit only; not used as feature, lead formula, candidate selection, or ranking input"
hv_upper_close_industry_improve,高波上半区 + 行业宽度改善,high_volatility_decomposition,early_entry_discovery,821,0.7994157740993184,-0.2238411922942629,0.2005842259006816,0.17595307917888564,1.761627551421574,instrument_year_lift_not_positive,"forward-label miss and future drawdown audit only; not used as feature, lead formula, candidate selection, or ranking input"
hv_drawdown_control_rs,高波 + 回撤受控 + 排名强,high_volatility_decomposition,early_entry_discovery,619,0.7660891089108911,-0.21091842109605743,0.23391089108910892,0.2,1.9950592885375493,instrument_year_lift_not_positive,"forward-label miss and future drawdown audit only; not used as feature, lead formula, candidate selection, or ranking input"
hv_atr_above_median,高ATR但守住中位价,high_volatility_decomposition,early_entry_discovery,1018,0.8323793949304987,-0.22417870825157704,0.16762060506950122,0.17151162790697674,1.7110488096332384,instrument_year_lift_not_positive,"forward-label miss and future drawdown audit only; not used as feature, lead formula, candidate selection, or ranking input"
hv_reversal_lower_shadow,高波反转下影,high_volatility_decomposition,early_entry_discovery,785,0.859802847754655,-0.18497354482601713,0.140197152245345,0.1274787535410765,1.2848110664351642,instrument_year_lift_not_positive,"forward-label miss and future drawdown audit only; not used as feature, lead formula, candidate selection, or ranking input"
hv_failed_destructive,破坏性高波对照,high_volatility_decomposition,early_entry_discovery,2389,0.8112054329371816,-0.20548623036859165,0.18879456706281833,0.15964912280701754,1.592705082865266,instrument_year_lift_not_positive,"forward-label miss and future drawdown audit only; not used as feature, lead formula, candidate selection, or ranking input"
hv_break_structure,高ATR跌破结构对照,high_volatility_decomposition,early_entry_discovery,0,,,,,0.0,insufficient_stock_day_count,"forward-label miss and future drawdown audit only; not used as feature, lead formula, candidate selection, or ranking input"
hv_late_acceleration,后段加速高波,high_volatility_decomposition,hold_exit_tolerance,327,0.5628227194492255,-0.30444627741383934,0.43717728055077454,0.44594594594594594,2.338572882505937,diagnostic_only_not_p1_ready,"forward-label miss and future drawdown audit only; not used as feature, lead formula, candidate selection, or ranking input"
hv_high_money_control,高波 + 放量 + 上半区,high_volatility_decomposition,confirmation_continuation,3874,0.7645549634892441,-0.2459068380173188,0.23544503651075588,0.24305003971405878,1.6653538828877614,instrument_year_lift_not_positive,"forward-label miss and future drawdown audit only; not used as feature, lead formula, candidate selection, or ranking input"
