feature_name,feature_family,feature_role,lookback_days,min_history_trading_days,observable_date,uses_future_data,required_fields,raw_required_field_exempt,feature_eligible_rule,formula_text,formula_text_resolved,thresholds,used_in_launch_stratification,used_in_failure_filter,used_in_hold_gate,used_in_add_on_gate,phase
open,raw_provider,raw_input,0,0,same_day,False,open,True,provider_required_fields_ok,,,,True,True,False,False,p0_8_reused_from_p0_7
high,raw_provider,raw_input,0,0,same_day,False,high,True,provider_required_fields_ok,,,,True,True,False,False,p0_8_reused_from_p0_7
low,raw_provider,raw_input,0,0,same_day,False,low,True,provider_required_fields_ok,,,,True,True,False,False,p0_8_reused_from_p0_7
close,raw_provider,raw_input,0,0,same_day,False,close,True,provider_required_fields_ok,,,,True,True,False,False,p0_8_reused_from_p0_7
volume,raw_provider,raw_input,0,0,same_day,False,volume,True,provider_required_fields_ok,,,,False,False,False,False,p0_8_reused_from_p0_7
money,raw_provider,raw_input,0,0,same_day,False,money,True,provider_required_fields_ok,,,,True,True,False,False,p0_8_reused_from_p0_7
factor,raw_provider,raw_input,0,0,same_day,False,factor,True,provider_required_fields_ok,,,,False,False,False,False,p0_8_reused_from_p0_7
instrument,raw_provider,raw_input,0,0,same_day,False,instrument,True,provider_required_fields_ok,,,,False,False,False,False,p0_8_reused_from_p0_7
date,raw_provider,raw_input,0,0,same_day,False,date,True,provider_required_fields_ok,,,,False,False,False,False,p0_8_reused_from_p0_7
ret_1d,p0_7_derived,derived_feature,1,1,same_day_or_prior,False,open;high;low;close;money;industry;benchmark,False,p0_7_available_for_stratum,,,,True,False,False,False,p0_8_reused_from_p0_7
ret_3d,p0_7_derived,derived_feature,3,3,same_day_or_prior,False,open;high;low;close;money;industry;benchmark,False,p0_7_available_for_stratum,,,,False,False,False,False,p0_8_reused_from_p0_7
ret_5d,p0_7_derived,derived_feature,5,5,same_day_or_prior,False,open;high;low;close;money;industry;benchmark,False,p0_7_available_for_stratum,,,,False,False,False,False,p0_8_reused_from_p0_7
ret_20d,p0_7_derived,derived_feature,20,20,same_day_or_prior,False,open;high;low;close;money;industry;benchmark,False,p0_7_available_for_stratum,,,,False,False,False,False,p0_8_reused_from_p0_7
body_ret,p0_7_derived,derived_feature,0,1,same_day_or_prior,False,open;high;low;close;money;industry;benchmark,False,p0_7_available_for_stratum,,,,True,False,False,False,p0_8_reused_from_p0_7
day_range,p0_7_derived,derived_feature,0,1,same_day_or_prior,False,open;high;low;close;money;industry;benchmark,False,p0_7_available_for_stratum,,,,True,False,False,False,p0_8_reused_from_p0_7
volatility20,p0_7_derived,derived_feature,20,20,same_day_or_prior,False,open;high;low;close;money;industry;benchmark,False,p0_7_available_for_stratum,,,,False,False,False,False,p0_8_reused_from_p0_7
volatility60,p0_7_derived,derived_feature,60,60,same_day_or_prior,False,open;high;low;close;money;industry;benchmark,False,p0_7_available_for_stratum,,,,False,False,False,False,p0_8_reused_from_p0_7
money_ratio_60,p0_7_derived,derived_feature,60,60,same_day_or_prior,False,open;high;low;close;money;industry;benchmark,False,p0_7_available_for_stratum,,,,False,False,False,False,p0_8_reused_from_p0_7
ret_rank_20d_market_5d_ago,p0_7_derived,derived_feature,20,20,same_day_or_prior,False,open;high;low;close;money;industry;benchmark,False,p0_7_available_for_stratum,,,,True,False,False,False,p0_8_reused_from_p0_7
ret_rank_20d_market_5d_median,p0_7_derived,derived_feature,20,20,same_day_or_prior,False,open;high;low;close;money;industry;benchmark,False,p0_7_available_for_stratum,,,,True,False,False,False,p0_8_reused_from_p0_7
ret_rank_20d_market_at_stratum,p0_7_derived,derived_feature,20,20,same_day_or_prior,False,open;high;low;close;money;industry;benchmark,False,p0_7_available_for_stratum,,,,False,True,False,False,p0_8_reused_from_p0_7
ret_rank_20d_industry_5d_median,p0_7_derived,derived_feature,20,20,same_day_or_prior,False,open;high;low;close;money;industry;benchmark,False,p0_7_available_for_stratum,,,,False,False,False,False,p0_8_reused_from_p0_7
