token_name,threshold_source,train_optimized_threshold_used,resolved_threshold_bucket_count,threshold_dispersion,threshold_dispersion_pass
destructive_high_vol_3d,fixed_config,False,1,0.0,True
destructive_high_vol_5d,fixed_config,False,1,0.0,True
first_near_limit_upper_close,fixed_config,False,1,0.0,True
gap_fade_break_prior_close_5d,fixed_config,False,1,0.0,True
high_vol_destructive_warning,fixed_config,False,1,0.0,True
high_vol_quality_permit,fixed_config,False,1,0.0,True
industry_breadth_coherence,fixed_config,False,1,0.0,True
market_regime_risk_off,fixed_config,False,1,0.0,True
market_regime_risk_on,fixed_config,False,1,0.0,True
money_distribution_5d,fixed_config,False,1,0.0,True
money_expansion_no_distribution,fixed_config,False,1,0.0,True
money_price_upper_keep,fixed_config,False,1,0.0,True
rank_evaporation_2d,fixed_config,False,1,0.0,True
rank_evaporation_3d,fixed_config,False,1,0.0,True
rank_evaporation_5d,fixed_config,False,1,0.0,True
repair_higher_low_reclaim,fixed_config,False,1,0.0,True
