launch_episode_id,stratum_family,stratum_variant,raw_stratum_rows,kept_stratum_rows,first_stratum_date
P07LPE_SH600000_2017-08-25_0001,money_price_keep_context,money_expansion_no_distribution,1,1,2017-08-25
P07LPE_SH600000_2017-08-25_0001,money_price_keep_context,money_price_upper_keep,1,1,2017-08-25
P07LPE_SH600000_2017-08-25_0001,rank_jump_persistence_watchlist,industry_rank_jump_leader,1,1,2017-10-09
P07LPE_SH600000_2017-08-25_0001,relative_strength_persistence,industry_relative_strength_persistence,2,1,2017-09-22
P07LPE_SH600000_2017-08-25_0001,repair_quality_watchlist,repair_higher_low_reclaim,3,1,2017-08-25
P07LPE_SH600000_2017-11-13_0002,money_price_keep_context,money_expansion_no_distribution,2,1,2017-11-13
P07LPE_SH600000_2017-11-13_0002,money_price_keep_context,money_price_upper_keep,2,1,2017-11-13
P07LPE_SH600000_2017-11-13_0002,repair_quality_watchlist,repair_higher_low_reclaim,2,1,2017-11-13
P07LPE_SH600000_2017-11-13_0002,sparse_strong_day_lifecycle_node,strong_body_day_node,1,1,2017-11-17
P07LPE_SH600000_2018-01-02_0003,money_price_keep_context,money_expansion_no_distribution,1,1,2018-01-02
P07LPE_SH600000_2018-01-02_0003,money_price_keep_context,money_price_upper_keep,1,1,2018-01-02
P07LPE_SH600000_2018-01-02_0003,rank_jump_persistence_watchlist,rank_jump_5d_persist_3d,1,1,2018-02-09
P07LPE_SH600000_2018-01-02_0003,repair_quality_watchlist,repair_higher_low_reclaim,2,1,2018-01-02
P07LPE_SH600000_2018-04-11_0004,rank_jump_persistence_watchlist,industry_rank_jump_leader,1,1,2018-04-24
P07LPE_SH600000_2018-04-11_0004,repair_quality_watchlist,repair_higher_low_reclaim,2,1,2018-04-11
P07LPE_SH600000_2018-07-19_0005,prelaunch_path_quality,controlled_repair_from_deep_drawdown,1,1,2018-07-19
P07LPE_SH600000_2018-07-19_0005,repair_quality_watchlist,repair_higher_low_reclaim,1,1,2018-07-19
P07LPE_SH600000_2018-09-13_0006,industry_breadth_coherence,industry_breadth_confirmed_launch,4,1,2018-10-26
P07LPE_SH600000_2018-09-13_0006,money_price_keep_context,money_expansion_no_distribution,3,1,2018-09-13
P07LPE_SH600000_2018-09-13_0006,money_price_keep_context,money_price_upper_keep,2,1,2018-09-13
P07LPE_SH600000_2018-09-13_0006,post_20_30_or_late_continuation_context,post_20_relative_strength_context,2,1,2018-10-26
P07LPE_SH600000_2018-09-13_0006,rank_jump_persistence_watchlist,industry_rank_jump_leader,4,1,2018-10-26
P07LPE_SH600000_2018-09-13_0006,rank_jump_persistence_watchlist,rank_jump_5d_persist_3d,3,1,2018-10-26
P07LPE_SH600000_2018-09-13_0006,relative_strength_persistence,industry_relative_strength_persistence,2,1,2018-10-26
P07LPE_SH600000_2018-09-13_0006,relative_strength_persistence,relative_strength_10d_persistence,3,1,2018-10-26
P07LPE_SH600000_2018-09-13_0006,repair_quality_watchlist,repair_higher_low_reclaim,4,1,2018-09-13
P07LPE_SH600000_2018-09-13_0006,sparse_strong_day_lifecycle_node,strong_body_day_node,1,1,2018-09-13
P07LPE_SH600000_2019-01-15_0007,repair_quality_watchlist,repair_higher_low_reclaim,1,1,2019-01-15
P07LPE_SH600000_2019-02-25_0008,industry_breadth_coherence,industry_breadth_confirmed_launch,1,1,2019-02-25
P07LPE_SH600000_2019-02-25_0008,money_price_keep_context,money_expansion_no_distribution,1,1,2019-02-25
P07LPE_SH600000_2019-02-25_0008,money_price_keep_context,money_price_upper_keep,1,1,2019-02-25
P07LPE_SH600000_2019-02-25_0008,prelaunch_path_quality,range_tightening_then_expand,1,1,2019-02-25
P07LPE_SH600000_2019-02-25_0008,rank_jump_persistence_watchlist,industry_rank_jump_leader,1,1,2019-02-25
P07LPE_SH600000_2019-02-25_0008,sparse_strong_day_lifecycle_node,strong_body_day_node,1,1,2019-02-25
P07LPE_SH600000_2019-04-30_0009,industry_breadth_coherence,industry_breadth_confirmed_launch,6,1,2019-04-30
P07LPE_SH600000_2019-04-30_0009,money_price_keep_context,money_expansion_no_distribution,4,1,2019-04-30
P07LPE_SH600000_2019-04-30_0009,money_price_keep_context,money_price_upper_keep,4,1,2019-04-30
P07LPE_SH600000_2019-04-30_0009,post_20_30_or_late_continuation_context,post_20_relative_strength_context,3,1,2019-04-30
P07LPE_SH600000_2019-04-30_0009,rank_jump_persistence_watchlist,industry_rank_jump_leader,5,1,2019-04-30
P07LPE_SH600000_2019-04-30_0009,rank_jump_persistence_watchlist,rank_jump_5d_persist_3d,4,1,2019-05-06
P07LPE_SH600000_2019-04-30_0009,relative_strength_persistence,industry_relative_strength_persistence,4,1,2019-05-06
P07LPE_SH600000_2019-04-30_0009,relative_strength_persistence,relative_strength_10d_persistence,3,1,2019-05-06
P07LPE_SH600000_2019-04-30_0009,repair_quality_watchlist,repair_higher_low_reclaim,6,1,2019-04-30
P07LPE_SH600000_2019-07-19_0010,industry_breadth_coherence,industry_breadth_confirmed_launch,2,1,2019-09-30
P07LPE_SH600000_2019-07-19_0010,post_20_30_or_late_continuation_context,post_20_relative_strength_context,1,1,2019-10-17
P07LPE_SH600000_2019-07-19_0010,rank_jump_persistence_watchlist,industry_rank_jump_leader,1,1,2019-10-17
P07LPE_SH600000_2019-07-19_0010,rank_jump_persistence_watchlist,rank_jump_5d_persist_3d,1,1,2019-09-30
P07LPE_SH600000_2019-07-19_0010,relative_strength_persistence,industry_relative_strength_persistence,2,1,2019-08-21
P07LPE_SH600000_2019-07-19_0010,relative_strength_persistence,relative_strength_10d_persistence,2,1,2019-09-30
P07LPE_SH600000_2019-07-19_0010,repair_quality_watchlist,repair_higher_low_reclaim,5,1,2019-07-19
P07LPE_SH600000_2019-12-13_0011,money_price_keep_context,money_expansion_no_distribution,1,1,2019-12-13
P07LPE_SH600000_2019-12-13_0011,money_price_keep_context,money_price_upper_keep,1,1,2019-12-13
P07LPE_SH600000_2019-12-13_0011,repair_quality_watchlist,repair_higher_low_reclaim,1,1,2019-12-13
P07LPE_SH600000_2020-03-05_0012,money_price_keep_context,money_expansion_no_distribution,1,1,2020-03-05
P07LPE_SH600000_2020-03-05_0012,money_price_keep_context,money_price_upper_keep,1,1,2020-03-05
P07LPE_SH600000_2020-03-05_0012,repair_quality_watchlist,repair_higher_low_reclaim,1,1,2020-03-05
