entry_family,entry_variant_id,year,entry_event_count,entry_success_primary_precision,entry_future_50pct_high_120d_rate,median_missed_gain
higher_low_reacceleration_entry,higher_low_money_quality,2017,7,0.5714285714285714,0.14285714285714285,0.06846368
higher_low_reacceleration_entry,higher_low_money_quality,2018,13,0.07692307692307693,0.0,0.09706354
higher_low_reacceleration_entry,higher_low_money_quality,2019,26,0.15384615384615385,0.11538461538461539,0.10603768
higher_low_reacceleration_entry,higher_low_money_quality,2020,16,0.1875,0.3125,0.11070514
higher_low_reacceleration_entry,higher_low_money_quality,2021,14,0.2857142857142857,0.14285714285714285,0.110619485
higher_low_reacceleration_entry,higher_low_money_quality,2022,36,0.1111111111111111,0.0,0.105458796
higher_low_reacceleration_entry,higher_low_money_quality,2023,35,0.08571428571428572,0.02857142857142857,0.074104905
higher_low_reacceleration_entry,higher_low_reaccel_rank,2017,21,0.47619047619047616,0.2857142857142857,0.08220661
higher_low_reacceleration_entry,higher_low_reaccel_rank,2018,57,0.10526315789473684,0.14035087719298245,0.08228886
higher_low_reacceleration_entry,higher_low_reaccel_rank,2019,46,0.17391304347826086,0.17391304347826086,0.10587984
higher_low_reacceleration_entry,higher_low_reaccel_rank,2020,30,0.23333333333333334,0.3333333333333333,0.1473661
higher_low_reacceleration_entry,higher_low_reaccel_rank,2021,57,0.12280701754385964,0.22807017543859648,0.13654888
higher_low_reacceleration_entry,higher_low_reaccel_rank,2022,76,0.15789473684210525,0.10526315789473684,0.11192995
higher_low_reacceleration_entry,higher_low_reaccel_rank,2023,60,0.13333333333333333,0.06666666666666667,0.086043894
higher_low_reacceleration_entry,higher_low_reaccel_rank,2024,1,0.0,0.0,0.12729931
higher_low_reacceleration_entry,higher_low_reclaim_ema20,2017,20,0.45,0.15,0.0460127
higher_low_reacceleration_entry,higher_low_reclaim_ema20,2018,20,0.05,0.05,0.0526461
higher_low_reacceleration_entry,higher_low_reclaim_ema20,2019,47,0.1702127659574468,0.0425531914893617,0.040697694
higher_low_reacceleration_entry,higher_low_reclaim_ema20,2020,64,0.265625,0.21875,0.06297374
higher_low_reacceleration_entry,higher_low_reclaim_ema20,2021,51,0.21568627450980393,0.058823529411764705,0.052160025
higher_low_reacceleration_entry,higher_low_reclaim_ema20,2022,67,0.208955223880597,0.05970149253731343,0.05405414
higher_low_reacceleration_entry,higher_low_reclaim_ema20,2023,48,0.16666666666666666,0.020833333333333332,0.03385967
price_hold_after_launch,hold_10d_close_ge_launch_close,2017,11,0.5454545454545454,0.2727272727272727,0.01739788
price_hold_after_launch,hold_10d_close_ge_launch_close,2018,10,0.0,0.0,0.034080386
price_hold_after_launch,hold_10d_close_ge_launch_close,2019,26,0.19230769230769232,0.0,0.022246122
price_hold_after_launch,hold_10d_close_ge_launch_close,2020,17,0.47058823529411764,0.23529411764705882,0.04285717
price_hold_after_launch,hold_10d_close_ge_launch_close,2021,26,0.07692307692307693,0.11538461538461539,0.032816827
price_hold_after_launch,hold_10d_close_ge_launch_close,2022,30,0.2,0.06666666666666667,0.01758188
price_hold_after_launch,hold_10d_close_ge_launch_close,2023,17,0.11764705882352941,0.0,0.023550749
price_hold_after_launch,hold_20d_close_ge_launch_close,2017,2,0.5,0.5,0.045567214
price_hold_after_launch,hold_20d_close_ge_launch_close,2018,2,0.0,0.0,0.08176863
price_hold_after_launch,hold_20d_close_ge_launch_close,2019,6,0.16666666666666666,0.0,0.035382926
price_hold_after_launch,hold_20d_close_ge_launch_close,2020,6,0.0,0.0,0.02671498
price_hold_after_launch,hold_20d_close_ge_launch_close,2021,7,0.42857142857142855,0.14285714285714285,0.08134329
price_hold_after_launch,hold_20d_close_ge_launch_close,2022,5,0.0,0.0,0.050259948
price_hold_after_launch,hold_20d_close_ge_launch_close,2023,4,0.75,0.0,0.037031174
price_hold_after_launch,hold_3d_close_above_ema20,2017,91,0.42857142857142855,0.17582417582417584,0.017160654
price_hold_after_launch,hold_3d_close_above_ema20,2018,186,0.08064516129032258,0.07526881720430108,0.020125806
