model_task,feature_set_version,feature_count,feature_names,forbidden_industry_identity_features_excluded,raw_score_cross_industry_ranking_allowed
industry_launch_winner_score_lgbm,p0_9_industry_feature_set_v1,19,ret_rank_20d_market;ret_rank_20d_industry;relative_ret20_vs_benchmark;relative_ret20_vs_industry;money_ratio_20;atr20_pct;prelaunch_drawdown_120d;launch_gain_from_recent_low_60d;launch_gain_from_recent_low_120d;close_location;upper_shadow_pct;lower_shadow_pct;rolling_range_20d;higher_low_count_20d;industry_breadth_20d;market_regime;lifecycle_pool;launch_family;launch_variant,True,False
industry_failure_reject_score_lgbm,p0_9_industry_feature_set_v1,20,ret_rank_20d_market;ret_rank_20d_industry;relative_ret20_vs_benchmark;relative_ret20_vs_industry;money_ratio_20;atr20_pct;prelaunch_drawdown_120d;launch_gain_from_recent_low_60d;launch_gain_from_recent_low_120d;close_location;upper_shadow_pct;lower_shadow_pct;rolling_range_20d;higher_low_count_20d;industry_breadth_20d;failure_decision_window;market_regime;lifecycle_pool;launch_family;launch_variant,True,False
