feature_name,bin_value,horizon,positive_label,year,stock_day_count,positive_rate,year_baseline_positive_rate,lift_vs_year_baseline
amplitude20,p90_100,120d,future_50pct_high_120d,2017,1689,0.15334517465956188,0.12575097184591824,1.2194353046229705
amplitude20,p90_100,120d,future_50pct_high_120d,2018,3048,0.18274278215223097,0.0938094495555902,1.948021047111465
amplitude20,p90_100,120d,future_50pct_high_120d,2019,3376,0.2988744075829384,0.12136871508379889,2.462532518174728
amplitude20,p90_100,120d,future_50pct_high_120d,2020,4241,0.47182268332940347,0.2933663495373387,1.608305397239677
amplitude20,p90_100,120d,future_50pct_high_120d,2021,4955,0.2619576185671039,0.12946803938788093,2.0233381134496806
amplitude20,p90_100,120d,future_50pct_high_120d,2022,4502,0.1679253665037761,0.08018986242692033,2.094097201585949
amplitude20,p90_100,120d,future_50pct_high_120d,2023,4690,0.0929637526652452,0.046426257827683004,2.0023959934546536
amplitude20,p90_100,120d,future_50pct_high_120d,2024,1291,0.09682416731216112,0.0967728237791932,1.0005305573503267
atr20_pct,p90_100,120d,future_50pct_high_120d,2017,1694,0.16942148760330578,0.12571327725160303,1.3476817350344386
atr20_pct,p90_100,120d,future_50pct_high_120d,2018,3105,0.19194847020933978,0.09387271707286667,2.0447737766058687
atr20_pct,p90_100,120d,future_50pct_high_120d,2019,3393,0.26790450928381965,0.12136356022111787,2.207454270422786
atr20_pct,p90_100,120d,future_50pct_high_120d,2020,4290,0.4375291375291375,0.293370393693948,1.4913881800410298
atr20_pct,p90_100,120d,future_50pct_high_120d,2021,5033,0.2735942777667395,0.12946670402540394,2.1132404646143987
atr20_pct,p90_100,120d,future_50pct_high_120d,2022,4591,0.18296667392724897,0.08019677823864184,2.281471624493373
atr20_pct,p90_100,120d,future_50pct_high_120d,2023,4664,0.09798456260720412,0.04642443515301415,2.1106247665534035
atr20_pct,p90_100,120d,future_50pct_high_120d,2024,1183,0.10397295012679628,0.0967728237791932,1.0744023587038405
cross_section_money_anomaly,p90_100,120d,future_50pct_high_120d,2017,1740,0.1781609195402299,0.1256767653496141,1.417612229632205
cross_section_money_anomaly,p90_100,120d,future_50pct_high_120d,2018,3291,0.1440291704649043,0.09457669920852453,1.5228821863125717
cross_section_money_anomaly,p90_100,120d,future_50pct_high_120d,2019,3568,0.20571748878923768,0.12138312586445367,1.6947783089632957
cross_section_money_anomaly,p90_100,120d,future_50pct_high_120d,2020,4647,0.3563589412524209,0.2938826628662737,1.2125891938531128
cross_section_money_anomaly,p90_100,120d,future_50pct_high_120d,2021,5717,0.1311876858492216,0.12956428067308048,1.0125297278517476
cross_section_money_anomaly,p90_100,120d,future_50pct_high_120d,2022,5283,0.06738595494983911,0.08015773780898336,0.8406668749861738
cross_section_money_anomaly,p90_100,120d,future_50pct_high_120d,2023,5246,0.0758673274876096,0.0463989327264523,1.635109323201247
cross_section_money_anomaly,p90_100,120d,future_50pct_high_120d,2024,2486,0.12349155269509252,0.09692621210834677,1.274077981682089
cross_section_return_anomaly,p90_100,120d,future_50pct_high_120d,2017,1748,0.16247139588100687,0.1256767653496141,1.2927719410110179
cross_section_return_anomaly,p90_100,120d,future_50pct_high_120d,2018,3157,0.14602470700031675,0.09457669920852453,1.5439818498884028
cross_section_return_anomaly,p90_100,120d,future_50pct_high_120d,2019,3556,0.27249718785151855,0.12138312586445367,2.244934672021968
cross_section_return_anomaly,p90_100,120d,future_50pct_high_120d,2020,4536,0.5070546737213404,0.2938826628662737,1.7253643640491545
cross_section_return_anomaly,p90_100,120d,future_50pct_high_120d,2021,5097,0.2338630567000196,0.12956428067308048,1.8049963731138843
