fold_id,model_task,event_instrument_year,row_count,positive_rate,avg_prediction_score,auc
fold_2020,launch_winner_score_lgbm,SH600000_2020,17,0.0,0.018032974179784094,
fold_2020,launch_winner_score_lgbm,SH600009_2020,30,0.0,0.05053276470234616,
fold_2020,launch_winner_score_lgbm,SH600010_2020,17,0.6470588235294118,0.025605158131445385,0.45454545454545453
fold_2020,launch_winner_score_lgbm,SH600011_2020,28,0.0,0.03737072963221155,
fold_2020,launch_winner_score_lgbm,SH600015_2020,12,0.0,0.016752798600010676,
fold_2020,launch_winner_score_lgbm,SH600016_2020,19,0.0,0.024855045063917267,
fold_2020,launch_winner_score_lgbm,SH600018_2020,22,0.0,0.05804915675598263,
fold_2020,launch_winner_score_lgbm,SH600019_2020,13,0.46153846153846156,0.01954298861925153,0.4523809523809524
fold_2020,launch_winner_score_lgbm,SH600023_2020,1,0.0,0.0292550265547711,
fold_2020,launch_winner_score_lgbm,SH600025_2020,29,0.0,0.02028412742285892,
fold_2020,launch_winner_score_lgbm,SH600028_2020,14,0.0,0.049988284172767954,
fold_2020,launch_winner_score_lgbm,SH600029_2020,30,0.0,0.06877493824452136,
fold_2020,launch_winner_score_lgbm,SH600030_2020,16,0.0,0.05414148488179882,
fold_2020,launch_winner_score_lgbm,SH600031_2020,3,0.0,0.04078595301484524,
fold_2020,launch_winner_score_lgbm,SH600036_2020,27,0.037037037037037035,0.024005403685823618,0.5384615384615384
fold_2020,launch_winner_score_lgbm,SH600048_2020,21,0.0,0.08720805098485558,
fold_2020,launch_winner_score_lgbm,SH600050_2020,22,0.0,0.025773272779709214,
fold_2020,launch_winner_score_lgbm,SH600061_2020,20,0.0,0.07999739815545678,
fold_2020,launch_winner_score_lgbm,SH600104_2020,31,0.1935483870967742,0.05667485916956133,0.8133333333333334
fold_2020,launch_winner_score_lgbm,SH600111_2020,5,1.0,0.1919131449580132,
fold_2020,launch_winner_score_lgbm,SH600115_2020,21,0.0,0.06764181531496138,
fold_2020,launch_winner_score_lgbm,SH600132_2020,14,1.0,0.15742470506082135,
