fold_id,model_task,leaf_rule_stable_candidate_id,canonical_train_extracted_leaf_rule,train_leaf_event_count,train_leaf_positive_rate,validation_leaf_event_count,validation_leaf_positive_rate,single_fold_diagnostic_only
fold_2020,launch_winner_score_lgbm,1f0f639dd0d177263410,tree_16_leaf_4,137,0.6788321167883211,16,1.0,True
fold_2020,launch_winner_score_lgbm,4c246712f2be398faaa5,tree_4_leaf_4,267,0.550561797752809,38,0.9210526315789473,True
fold_2020,launch_winner_score_lgbm,c4355c65851bbcf7f95a,tree_13_leaf_6,224,0.5491071428571429,118,0.4152542372881356,True
fold_2020,launch_winner_score_lgbm,3e9f68545323879d5626,tree_3_leaf_6,344,0.4738372093023256,100,0.67,True
fold_2020,launch_winner_score_lgbm,40212668f31eada18201,tree_12_leaf_10,168,0.47023809523809523,95,0.4631578947368421,True
fold_2021,launch_winner_score_lgbm,d494a4698d77bda2d063,tree_10_leaf_14,147,0.7142857142857143,28,0.07142857142857142,True
fold_2021,launch_winner_score_lgbm,1443bc08acb0f3b5b4b3,tree_0_leaf_7,217,0.6912442396313364,13,0.0,True
fold_2021,launch_winner_score_lgbm,a4e402b2f24ac6424b25,tree_14_leaf_12,245,0.6408163265306123,29,0.13793103448275862,True
fold_2021,launch_winner_score_lgbm,784bd4b8943564495caa,tree_8_leaf_9,181,0.6353591160220995,87,0.3793103448275862,True
fold_2021,launch_winner_score_lgbm,045c70876e2bbfd55c51,tree_18_leaf_19,329,0.6352583586626139,45,0.2,True
fold_2022,launch_winner_score_lgbm,c610e0be679c9c3b8241,tree_0_leaf_14,108,0.5462962962962963,22,0.13636363636363635,True
fold_2022,launch_winner_score_lgbm,27a6ff74010c8ca8967c,tree_0_leaf_8,191,0.518324607329843,52,0.0,True
fold_2022,launch_winner_score_lgbm,4511a5e68f286d278ab6,tree_0_leaf_24,476,0.39915966386554624,358,0.20949720670391062,True
fold_2022,launch_winner_score_lgbm,f93beb85619b45031f15,tree_0_leaf_11,181,0.3314917127071823,8,0.0,True
fold_2022,launch_winner_score_lgbm,7dd17eddf4c5fabe9e74,tree_0_leaf_19,664,0.3313253012048193,64,0.15625,True
fold_2023,launch_winner_score_lgbm,e01c2f9079fcfe047203,tree_3_leaf_15,102,0.8627450980392157,0,,True
fold_2023,launch_winner_score_lgbm,32a855fce7b8868092e9,tree_7_leaf_11,124,0.6693548387096774,8,1.0,True
fold_2023,launch_winner_score_lgbm,18357f19a31cf87891fb,tree_0_leaf_2,203,0.5714285714285714,5,0.2,True
fold_2023,launch_winner_score_lgbm,fed8f05f30edf9181ab3,tree_3_leaf_12,122,0.5,2,0.0,True
fold_2023,launch_winner_score_lgbm,be4174bf5e31609810e3,tree_8_leaf_11,179,0.44692737430167595,8,0.25,True
fold_2020,failure_reject_score_lgbm,3e825deee261bc4c890f,tree_3_leaf_29,517,0.7794970986460348,552,0.6213768115942029,True
fold_2020,failure_reject_score_lgbm,38959819684c6c6152cc,tree_4_leaf_22,236,0.7711864406779662,88,0.4431818181818182,True
fold_2020,failure_reject_score_lgbm,cd06fc15506db6101286,tree_14_leaf_22,349,0.7621776504297995,592,0.5844594594594594,True
fold_2020,failure_reject_score_lgbm,5b2821b5d357ee098da8,tree_11_leaf_23,1400,0.7521428571428571,1445,0.5259515570934256,True
fold_2020,failure_reject_score_lgbm,53f7262a1cc48d9bfb55,tree_15_leaf_25,424,0.7429245283018868,263,0.09505703422053231,True
fold_2021,failure_reject_score_lgbm,5b9e0112c28fe3464efa,tree_7_leaf_27,185,0.827027027027027,36,0.3333333333333333,True
fold_2021,failure_reject_score_lgbm,11a51e28f8e6cb8b97eb,tree_18_leaf_22,835,0.7712574850299401,222,0.5,True
fold_2021,failure_reject_score_lgbm,c21b1a42a1b5a44efb16,tree_11_leaf_21,364,0.760989010989011,349,0.501432664756447,True
fold_2021,failure_reject_score_lgbm,ed1f075abbc0c94fa3cf,tree_11_leaf_15,1004,0.7460159362549801,73,0.6575342465753424,True
fold_2021,failure_reject_score_lgbm,b971c4efe53fe6afdbf0,tree_1_leaf_24,606,0.7392739273927392,287,0.6341463414634146,True
fold_2022,failure_reject_score_lgbm,bfbf7bbdb35fa636f6ad,tree_14_leaf_11,172,0.8372093023255814,52,0.4807692307692308,True
fold_2022,failure_reject_score_lgbm,5b9e0112c28fe3464efa,tree_7_leaf_27,596,0.8355704697986577,57,0.8947368421052632,True
fold_2022,failure_reject_score_lgbm,7919bb628106d72a5800,tree_4_leaf_29,612,0.826797385620915,110,0.5818181818181818,True
fold_2022,failure_reject_score_lgbm,7a842797888f1e0d22e0,tree_19_leaf_20,128,0.7890625,0,,True
