panel_name,target_industry,model_task,fold_id,raw_rows,decision_overlap_rows,feature_overlap_rows,label_measurement_overlap_rows,rows_entered_train,rows_entered_outer_validation,rows_entered_p1_promotion,eligible_overlap_rows,pass
failure,交通运输,industry_failure_reject_score_lgbm,fold_2023,6909,66,54,1395,3128,939,903,0,True
failure,交通运输,industry_failure_reject_score_lgbm,fold_2024,6909,66,54,1395,4044,1317,0,0,True
failure,机械设备,industry_failure_reject_score_lgbm,fold_2020,2522,12,8,588,291,156,156,0,True
failure,机械设备,industry_failure_reject_score_lgbm,fold_2021,2522,12,8,588,405,440,398,0,True
failure,机械设备,industry_failure_reject_score_lgbm,fold_2022,2522,12,8,588,644,378,378,0,True
failure,机械设备,industry_failure_reject_score_lgbm,fold_2023,2522,12,8,588,987,331,331,0,True
failure,机械设备,industry_failure_reject_score_lgbm,fold_2024,2522,12,8,588,1413,441,0,0,True
failure,建筑材料,industry_failure_reject_score_lgbm,fold_2020,1654,13,13,438,60,163,163,0,True
failure,建筑材料,industry_failure_reject_score_lgbm,fold_2021,1654,13,13,438,146,318,293,0,True
failure,建筑材料,industry_failure_reject_score_lgbm,fold_2022,1654,13,13,438,317,335,297,0,True
failure,建筑材料,industry_failure_reject_score_lgbm,fold_2023,1654,13,13,438,548,162,114,0,True
failure,建筑材料,industry_failure_reject_score_lgbm,fold_2024,1654,13,13,438,880,96,0,0,True
failure,传媒,industry_failure_reject_score_lgbm,fold_2020,1377,11,6,280,116,189,189,0,True
failure,传媒,industry_failure_reject_score_lgbm,fold_2021,1377,11,6,280,322,171,169,0,True
failure,传媒,industry_failure_reject_score_lgbm,fold_2022,1377,11,6,280,477,121,87,0,True
failure,传媒,industry_failure_reject_score_lgbm,fold_2023,1377,11,6,280,598,6,6,0,True
failure,传媒,industry_failure_reject_score_lgbm,fold_2024,1377,11,6,280,764,103,0,0,True
failure,电力设备,industry_failure_reject_score_lgbm,fold_2020,5834,34,27,1705,234,627,627,0,True
failure,电力设备,industry_failure_reject_score_lgbm,fold_2021,5834,34,27,1705,608,716,705,0,True
failure,电力设备,industry_failure_reject_score_lgbm,fold_2022,5834,34,27,1705,1233,1190,1005,0,True
failure,电力设备,industry_failure_reject_score_lgbm,fold_2023,5834,34,27,1705,1898,924,699,0,True
failure,电力设备,industry_failure_reject_score_lgbm,fold_2024,5834,34,27,1705,2915,637,0,0,True
failure,电子,industry_failure_reject_score_lgbm,fold_2020,8884,71,46,2152,453,1027,1027,0,True
failure,电子,industry_failure_reject_score_lgbm,fold_2021,8884,71,46,2152,1488,1455,1200,0,True
failure,电子,industry_failure_reject_score_lgbm,fold_2022,8884,71,46,2152,2492,1091,1039,0,True
failure,电子,industry_failure_reject_score_lgbm,fold_2023,8884,71,46,2152,3535,1211,1043,0,True
failure,电子,industry_failure_reject_score_lgbm,fold_2024,8884,71,46,2152,4642,1362,0,0,True
