target_industry,model_task,fold_id,failure_decision_window,reject_delay_bucket,failure_opportunity_family,failure_opportunity_variant,lifecycle_pool,regime_bucket,eligible_failure_opportunity_count,failure_positive_count,industry_local_failure_baseline_precision,nonwinner_precision,winner_false_reject_from_launch_rate,big_winner_false_reject_from_launch_rate,pending_winner_coverage_loss_from_launch,median_failure_drawdown_from_decision_60d
机械设备,industry_failure_reject_score_lgbm,fold_2022,ALL,ALL,ALL,ALL,ALL,ALL,378,166,0.43915343915343913,0.9603174603174603,0.03968253968253968,0.0,,-0.10506565680964619
机械设备,industry_failure_reject_score_lgbm,fold_2023,ALL,ALL,ALL,ALL,ALL,ALL,331,125,0.3776435045317221,0.9848942598187311,0.015105740181268883,0.0,,-0.10773350089401146
机械设备,industry_failure_reject_score_lgbm,fold_2024,ALL,ALL,ALL,ALL,ALL,ALL,441,111,0.25170068027210885,0.8616780045351474,0.1383219954648526,0.08163265306122448,,-0.06042973913379046
汽车,industry_failure_reject_score_lgbm,fold_2020,ALL,ALL,ALL,ALL,ALL,ALL,605,161,0.26611570247933886,0.45454545454545453,0.5454545454545454,0.4214876033057851,,-0.09555188679838156
汽车,industry_failure_reject_score_lgbm,fold_2021,ALL,ALL,ALL,ALL,ALL,ALL,652,320,0.49079754601226994,0.7714723926380368,0.2285276073619632,0.049079754601226995,,-0.12138342095036148
汽车,industry_failure_reject_score_lgbm,fold_2022,ALL,ALL,ALL,ALL,ALL,ALL,642,231,0.3598130841121495,0.8130841121495327,0.18691588785046728,0.07009345794392523,,-0.10355822866461228
汽车,industry_failure_reject_score_lgbm,fold_2023,ALL,ALL,ALL,ALL,ALL,ALL,763,304,0.3984272608125819,0.8820445609436435,0.11795543905635648,0.07470511140235911,,-0.100917408449817
汽车,industry_failure_reject_score_lgbm,fold_2024,ALL,ALL,ALL,ALL,ALL,ALL,935,304,0.3251336898395722,0.8620320855614974,0.13796791443850268,0.07058823529411765,,-0.07845883821287236
电力设备,industry_failure_reject_score_lgbm,fold_2020,ALL,ALL,ALL,ALL,ALL,ALL,627,142,0.22647527910685805,0.7113237639553429,0.2886762360446571,0.4609250398724083,,-0.09402308551801752
电力设备,industry_failure_reject_score_lgbm,fold_2021,ALL,ALL,ALL,ALL,ALL,ALL,716,238,0.3324022346368715,0.5,0.5,0.22346368715083798,,-0.10077695275234178
电力设备,industry_failure_reject_score_lgbm,fold_2022,ALL,ALL,ALL,ALL,ALL,ALL,1190,754,0.6336134453781512,0.9243697478991597,0.07563025210084033,0.030252100840336135,,-0.16222222646077478
电力设备,industry_failure_reject_score_lgbm,fold_2023,ALL,ALL,ALL,ALL,ALL,ALL,924,535,0.579004329004329,1.0,0.0,0.0,,-0.1346423594303474
电力设备,industry_failure_reject_score_lgbm,fold_2024,ALL,ALL,ALL,ALL,ALL,ALL,637,242,0.37990580847723704,0.8241758241758241,0.17582417582417584,0.1130298273155416,,-0.10263717803210148
电子,industry_failure_reject_score_lgbm,fold_2020,ALL,ALL,ALL,ALL,ALL,ALL,1027,366,0.3563777994157741,0.7312560856864654,0.26874391431353456,0.1528724440116845,,-0.09485579639431152
电子,industry_failure_reject_score_lgbm,fold_2021,ALL,ALL,ALL,ALL,ALL,ALL,1455,772,0.5305841924398625,0.8838487972508591,0.1161512027491409,0.05979381443298969,,-0.12917982704453423
电子,industry_failure_reject_score_lgbm,fold_2022,ALL,ALL,ALL,ALL,ALL,ALL,1091,652,0.5976168652612283,0.9706691109074244,0.02933088909257562,0.04307974335472044,,-0.14972330389879152
电子,industry_failure_reject_score_lgbm,fold_2023,ALL,ALL,ALL,ALL,ALL,ALL,1211,675,0.5573905862923204,0.9199009083402147,0.08009909165978531,0.04789430222956235,,-0.1408450964352731
电子,industry_failure_reject_score_lgbm,fold_2024,ALL,ALL,ALL,ALL,ALL,ALL,1362,399,0.29295154185022027,0.6681350954478708,0.33186490455212925,0.2488986784140969,,-0.09043925451744694
