feature_name,feature_family,p0_5_enabled,p0_5_new,primary_combo_family,lifecycle_bucket,eligible_rows,ineligible_rows,missing_value_rows,insufficient_history_rows,warmup_partial_year,warmup_partial_year_rows,first_feature_eligible_date,coverage_note
ret3,price_state,True,False,price_state,early_entry_discovery,439140,0,0,0,False,0,2017-07-04,
ret5,price_state,True,False,price_state,early_entry_discovery,439140,0,0,0,False,0,2017-07-04,
ret10,price_state,True,False,price_state,early_entry_discovery,439140,0,0,0,False,0,2017-07-04,
ret20,price_state,True,False,price_state,early_entry_discovery,439140,0,0,0,False,0,2017-07-04,
ret60,price_state,True,False,price_state,early_entry_discovery,439119,21,21,21,True,21,2017-07-04,
ret120,price_state,True,False,price_state,early_entry_discovery,439039,101,101,101,True,101,2017-07-04,
dist_high20,price_state,True,False,price_state,early_entry_discovery,436598,2542,2542,0,False,0,2017-07-04,
dist_high60,price_state,True,False,price_state,early_entry_discovery,431269,7871,7871,21,True,21,2017-07-04,
dist_high120,price_state,True,False,price_state,early_entry_discovery,423093,16047,16046,101,True,101,2017-07-04,
dist_low20,price_state,True,False,price_state,early_entry_discovery,436598,2542,2542,0,False,0,2017-07-04,
dist_low60,price_state,True,False,price_state,early_entry_discovery,431269,7871,7871,21,True,21,2017-07-04,
dist_low120,price_state,True,False,price_state,early_entry_discovery,423093,16047,16046,101,True,101,2017-07-04,
gap_pct,price_state,True,False,price_state,early_entry_discovery,439004,136,136,0,False,0,2017-07-04,
limit_up_like,price_state,True,False,price_state,early_entry_discovery,439140,0,0,0,False,0,2017-07-04,
relative_ret20_vs_benchmark,relative_strength,True,False,relative_strength,early_entry_discovery,439140,0,0,0,False,0,2017-07-04,
relative_ret60_vs_benchmark,relative_strength,True,False,relative_strength,early_entry_discovery,439119,21,21,21,True,21,2017-07-04,
relative_ret120_vs_benchmark,relative_strength,True,False,relative_strength,early_entry_discovery,439039,101,101,101,True,101,2017-07-04,
relative_ret20_vs_industry,relative_strength,True,False,relative_strength,early_entry_discovery,438841,299,299,0,False,0,2017-07-04,
relative_ret60_vs_industry,relative_strength,True,False,relative_strength,early_entry_discovery,438820,320,320,21,True,21,2017-07-04,
ret20_universe_pctile,relative_strength,True,False,relative_strength,early_entry_discovery,439140,0,0,0,False,0,2017-07-04,
ret20_industry_pctile,relative_strength,True,False,relative_strength,early_entry_discovery,438841,299,0,0,False,0,2017-07-04,
money_ratio5,money_liquidity,True,False,money_liquidity,early_entry_discovery,438477,663,663,0,False,0,2017-07-04,
money_ratio20,money_liquidity,True,False,money_liquidity,early_entry_discovery,436459,2681,2681,0,False,0,2017-07-04,
money_ratio60,money_liquidity,True,False,money_liquidity,early_entry_discovery,431129,8011,8011,21,True,21,2017-07-04,
money_universe_pctile,money_liquidity,True,False,money_liquidity,early_entry_discovery,439140,0,0,0,False,0,2017-07-04,
money_industry_pctile,money_liquidity,True,False,money_liquidity,early_entry_discovery,438841,299,0,0,False,0,2017-07-04,
money_regime_shift60,money_liquidity,True,False,money_liquidity,early_entry_discovery,431129,8011,8011,21,True,21,2017-07-04,
volatility10,volatility_compression_expansion,True,False,volatility_compression_expansion,early_entry_discovery,439140,0,0,0,False,0,2017-07-04,
volatility20,volatility_compression_expansion,True,False,volatility_compression_expansion,early_entry_discovery,439140,0,0,0,False,0,2017-07-04,
volatility60,volatility_compression_expansion,True,False,volatility_compression_expansion,early_entry_discovery,439119,21,21,21,True,21,2017-07-04,
atr20_pct,volatility_compression_expansion,True,False,volatility_compression_expansion,early_entry_discovery,436598,2542,2542,0,False,0,2017-07-04,
amplitude20,volatility_compression_expansion,True,False,volatility_compression_expansion,early_entry_discovery,436459,2681,2681,0,False,0,2017-07-04,
narrow_range10,volatility_compression_expansion,True,False,volatility_compression_expansion,early_entry_discovery,439140,0,0,0,False,0,2017-07-04,
range_expansion20,volatility_compression_expansion,True,False,volatility_compression_expansion,early_entry_discovery,433813,5327,5327,1,True,1,2017-07-04,
drawdown_from_high60,drawdown_repair_base,True,False,drawdown_repair_base,early_entry_discovery,431269,7871,7871,21,True,21,2017-07-04,
drawdown_from_high120,drawdown_repair_base,True,False,drawdown_repair_base,early_entry_discovery,423093,16047,16046,101,True,101,2017-07-04,
drawdown_from_high240,drawdown_repair_base,True,False,drawdown_repair_base,early_entry_discovery,389992,49148,49000,22408,True,17908,2017-12-26,
repair_from_low60,drawdown_repair_base,True,False,drawdown_repair_base,early_entry_discovery,431269,7871,7871,21,True,21,2017-07-04,
repair_from_low120,drawdown_repair_base,True,False,drawdown_repair_base,early_entry_discovery,423093,16047,16046,101,True,101,2017-07-04,
repair_from_low240,drawdown_repair_base,True,False,drawdown_repair_base,early_entry_discovery,389992,49148,49000,22408,True,17908,2017-12-26,
ema60_reclaim_flag,drawdown_repair_base,True,False,drawdown_repair_base,early_entry_discovery,439119,21,0,21,True,21,2017-07-04,
trend_age_close_above_ema60,trend_age_stage,True,False,trend_age_stage,early_entry_discovery,439119,21,0,21,True,21,2017-07-04,
trend_speed20,trend_age_stage,True,False,trend_age_stage,early_entry_discovery,439140,0,0,0,False,0,2017-07-04,
market_width_state,market_industry_regime,True,False,market_industry_regime,early_entry_discovery,439119,21,0,21,True,21,2017-07-04,
industry_width_state,market_industry_regime,True,False,market_industry_regime,early_entry_discovery,438820,320,0,21,True,21,2017-07-04,
market_regime_state,market_industry_regime,True,False,market_industry_regime,early_entry_discovery,439039,101,0,101,True,101,2017-07-04,
industry_regime_state,market_industry_regime,True,False,market_industry_regime,early_entry_discovery,438820,320,0,21,True,21,2017-07-04,
market_cap_bucket,industry_style_layer,True,False,industry_style_layer,early_entry_discovery,439140,0,0,0,False,0,2017-07-04,
