fold_id,model_task,feature_name,importance_gain_proxy,feature_set_version
fold_2020,failure_reject_score_lgbm,launch_gain_from_recent_low_120d,4871.346124649048,p0_8_feature_set_v1
fold_2020,failure_reject_score_lgbm,close_location,122.50211238861084,p0_8_feature_set_v1
fold_2020,failure_reject_score_lgbm,upper_shadow_pct,68.47259998321533,p0_8_feature_set_v1
fold_2020,failure_reject_score_lgbm,lower_shadow_pct,125.68578147888184,p0_8_feature_set_v1
fold_2020,failure_reject_score_lgbm,rolling_range_20d,1674.7845095545053,p0_8_feature_set_v1
fold_2020,failure_reject_score_lgbm,higher_low_count_20d,1079.3723611831665,p0_8_feature_set_v1
fold_2020,failure_reject_score_lgbm,industry_breadth_20d,279.51080226898193,p0_8_feature_set_v1
fold_2020,failure_reject_score_lgbm,failure_decision_window,23.312700271606445,p0_8_feature_set_v1
fold_2020,failure_reject_score_lgbm,industry,7489.765074729919,p0_8_feature_set_v1
fold_2020,failure_reject_score_lgbm,market_regime,442.54149436950684,p0_8_feature_set_v1
fold_2020,failure_reject_score_lgbm,lifecycle_pool,0.0,p0_8_feature_set_v1
fold_2020,failure_reject_score_lgbm,launch_family,0.0,p0_8_feature_set_v1
fold_2020,failure_reject_score_lgbm,launch_variant,0.0,p0_8_feature_set_v1
fold_2021,failure_reject_score_lgbm,ret_rank_20d_market,1486.1798005104065,p0_8_feature_set_v1
fold_2021,failure_reject_score_lgbm,ret_rank_20d_industry,1317.0777506828308,p0_8_feature_set_v1
fold_2021,failure_reject_score_lgbm,relative_ret20_vs_benchmark,700.4676065444946,p0_8_feature_set_v1
fold_2021,failure_reject_score_lgbm,relative_ret20_vs_industry,1234.3371243476868,p0_8_feature_set_v1
fold_2021,failure_reject_score_lgbm,money_ratio_20,1196.3739504814148,p0_8_feature_set_v1
fold_2021,failure_reject_score_lgbm,atr20_pct,8065.797355413437,p0_8_feature_set_v1
fold_2021,failure_reject_score_lgbm,prelaunch_drawdown_120d,5532.24376642704,p0_8_feature_set_v1
fold_2021,failure_reject_score_lgbm,launch_gain_from_recent_low_60d,1310.1492115855217,p0_8_feature_set_v1
fold_2021,failure_reject_score_lgbm,launch_gain_from_recent_low_120d,6193.15502615273,p0_8_feature_set_v1
fold_2021,failure_reject_score_lgbm,close_location,266.2209529876709,p0_8_feature_set_v1
fold_2021,failure_reject_score_lgbm,upper_shadow_pct,713.0564440488815,p0_8_feature_set_v1
fold_2021,failure_reject_score_lgbm,lower_shadow_pct,269.6532897949219,p0_8_feature_set_v1
fold_2021,failure_reject_score_lgbm,rolling_range_20d,3425.337075471878,p0_8_feature_set_v1
fold_2021,failure_reject_score_lgbm,higher_low_count_20d,2573.1757266521454,p0_8_feature_set_v1
fold_2021,failure_reject_score_lgbm,industry_breadth_20d,3041.5350465774536,p0_8_feature_set_v1
fold_2021,failure_reject_score_lgbm,failure_decision_window,20.961080074310303,p0_8_feature_set_v1
fold_2021,failure_reject_score_lgbm,industry,16394.25361919403,p0_8_feature_set_v1
fold_2021,failure_reject_score_lgbm,market_regime,2439.6863436698914,p0_8_feature_set_v1
fold_2021,failure_reject_score_lgbm,lifecycle_pool,0.0,p0_8_feature_set_v1
fold_2021,failure_reject_score_lgbm,launch_family,0.0,p0_8_feature_set_v1
fold_2021,failure_reject_score_lgbm,launch_variant,70.19049835205078,p0_8_feature_set_v1
fold_2022,failure_reject_score_lgbm,ret_rank_20d_market,2407.0977034568787,p0_8_feature_set_v1
fold_2022,failure_reject_score_lgbm,ret_rank_20d_industry,1558.399124801159,p0_8_feature_set_v1
fold_2022,failure_reject_score_lgbm,relative_ret20_vs_benchmark,2333.0251121520996,p0_8_feature_set_v1
fold_2022,failure_reject_score_lgbm,relative_ret20_vs_industry,2973.073957026005,p0_8_feature_set_v1
fold_2022,failure_reject_score_lgbm,money_ratio_20,1658.2526025772095,p0_8_feature_set_v1
fold_2022,failure_reject_score_lgbm,atr20_pct,11275.590648174286,p0_8_feature_set_v1
fold_2022,failure_reject_score_lgbm,prelaunch_drawdown_120d,6981.776201725006,p0_8_feature_set_v1
fold_2022,failure_reject_score_lgbm,launch_gain_from_recent_low_60d,4241.340209007263,p0_8_feature_set_v1
fold_2022,failure_reject_score_lgbm,launch_gain_from_recent_low_120d,10158.876599155366,p0_8_feature_set_v1
fold_2022,failure_reject_score_lgbm,close_location,484.2232608795166,p0_8_feature_set_v1
fold_2022,failure_reject_score_lgbm,upper_shadow_pct,925.0020008087158,p0_8_feature_set_v1
fold_2022,failure_reject_score_lgbm,lower_shadow_pct,662.092707157135,p0_8_feature_set_v1
fold_2022,failure_reject_score_lgbm,rolling_range_20d,4501.559237122536,p0_8_feature_set_v1
fold_2022,failure_reject_score_lgbm,higher_low_count_20d,4793.690706729889,p0_8_feature_set_v1
fold_2022,failure_reject_score_lgbm,industry_breadth_20d,6676.726408958435,p0_8_feature_set_v1
fold_2022,failure_reject_score_lgbm,failure_decision_window,77.10629940032959,p0_8_feature_set_v1
fold_2022,failure_reject_score_lgbm,industry,28755.952142715454,p0_8_feature_set_v1
fold_2022,failure_reject_score_lgbm,market_regime,6160.192387580872,p0_8_feature_set_v1
fold_2022,failure_reject_score_lgbm,lifecycle_pool,0.0,p0_8_feature_set_v1
fold_2022,failure_reject_score_lgbm,launch_family,48.23820114135742,p0_8_feature_set_v1
fold_2022,failure_reject_score_lgbm,launch_variant,276.81569480895996,p0_8_feature_set_v1
fold_2023,failure_reject_score_lgbm,ret_rank_20d_market,2046.708303451538,p0_8_feature_set_v1
fold_2023,failure_reject_score_lgbm,ret_rank_20d_industry,1153.476592540741,p0_8_feature_set_v1
fold_2023,failure_reject_score_lgbm,relative_ret20_vs_benchmark,1532.7114672660828,p0_8_feature_set_v1
fold_2023,failure_reject_score_lgbm,relative_ret20_vs_industry,1988.296895980835,p0_8_feature_set_v1
fold_2023,failure_reject_score_lgbm,money_ratio_20,966.6016919612885,p0_8_feature_set_v1
fold_2023,failure_reject_score_lgbm,atr20_pct,19702.03052330017,p0_8_feature_set_v1
fold_2023,failure_reject_score_lgbm,prelaunch_drawdown_120d,7978.448155403137,p0_8_feature_set_v1
fold_2023,failure_reject_score_lgbm,launch_gain_from_recent_low_60d,3283.3702898025513,p0_8_feature_set_v1
fold_2023,failure_reject_score_lgbm,launch_gain_from_recent_low_120d,12157.535008430481,p0_8_feature_set_v1
fold_2023,failure_reject_score_lgbm,close_location,476.18889904022217,p0_8_feature_set_v1
fold_2023,failure_reject_score_lgbm,upper_shadow_pct,443.9884834289551,p0_8_feature_set_v1
fold_2023,failure_reject_score_lgbm,lower_shadow_pct,203.03178000450134,p0_8_feature_set_v1
fold_2023,failure_reject_score_lgbm,rolling_range_20d,2497.7819598913193,p0_8_feature_set_v1
fold_2023,failure_reject_score_lgbm,higher_low_count_20d,3024.957056045532,p0_8_feature_set_v1
fold_2023,failure_reject_score_lgbm,industry_breadth_20d,3388.4547817856073,p0_8_feature_set_v1
fold_2023,failure_reject_score_lgbm,failure_decision_window,0.0,p0_8_feature_set_v1
fold_2023,failure_reject_score_lgbm,industry,24315.175638198853,p0_8_feature_set_v1
fold_2023,failure_reject_score_lgbm,market_regime,1755.1682052612305,p0_8_feature_set_v1
fold_2023,failure_reject_score_lgbm,lifecycle_pool,0.0,p0_8_feature_set_v1
fold_2023,failure_reject_score_lgbm,launch_family,0.0,p0_8_feature_set_v1
fold_2023,failure_reject_score_lgbm,launch_variant,50.18739891052246,p0_8_feature_set_v1
fold_2024,failure_reject_score_lgbm,ret_rank_20d_market,4635.952706813812,p0_8_feature_set_v1
fold_2024,failure_reject_score_lgbm,ret_rank_20d_industry,2755.4783039093018,p0_8_feature_set_v1
fold_2024,failure_reject_score_lgbm,relative_ret20_vs_benchmark,4555.860617885366,p0_8_feature_set_v1
fold_2024,failure_reject_score_lgbm,relative_ret20_vs_industry,3377.573681116104,p0_8_feature_set_v1
fold_2024,failure_reject_score_lgbm,money_ratio_20,2070.8105096817017,p0_8_feature_set_v1
fold_2024,failure_reject_score_lgbm,atr20_pct,43944.47434043884,p0_8_feature_set_v1
fold_2024,failure_reject_score_lgbm,prelaunch_drawdown_120d,16098.3299908638,p0_8_feature_set_v1
fold_2024,failure_reject_score_lgbm,launch_gain_from_recent_low_60d,4048.4474771022797,p0_8_feature_set_v1
fold_2024,failure_reject_score_lgbm,launch_gain_from_recent_low_120d,18101.686583399773,p0_8_feature_set_v1
fold_2024,failure_reject_score_lgbm,close_location,983.8577823638916,p0_8_feature_set_v1
fold_2024,failure_reject_score_lgbm,upper_shadow_pct,769.6418046951294,p0_8_feature_set_v1
fold_2024,failure_reject_score_lgbm,lower_shadow_pct,924.1204347610474,p0_8_feature_set_v1
fold_2024,failure_reject_score_lgbm,rolling_range_20d,4655.36557328701,p0_8_feature_set_v1
fold_2024,failure_reject_score_lgbm,higher_low_count_20d,4741.611300945282,p0_8_feature_set_v1
fold_2024,failure_reject_score_lgbm,industry_breadth_20d,5462.77420425415,p0_8_feature_set_v1
fold_2024,failure_reject_score_lgbm,failure_decision_window,75.85169792175293,p0_8_feature_set_v1
fold_2024,failure_reject_score_lgbm,industry,40784.77976894379,p0_8_feature_set_v1
fold_2024,failure_reject_score_lgbm,market_regime,7785.003452301025,p0_8_feature_set_v1
fold_2024,failure_reject_score_lgbm,lifecycle_pool,0.0,p0_8_feature_set_v1
fold_2024,failure_reject_score_lgbm,launch_family,108.5872974395752,p0_8_feature_set_v1
fold_2024,failure_reject_score_lgbm,launch_variant,486.6198043823242,p0_8_feature_set_v1
