stratum_family,stratum_variant,declared_stratum_role,recommended_action_class_after_evaluation,eligible_launch_stratum_event_count,eligible_launch_episode_count,launch_episode_count,distinct_instrument_count,distinct_year_count,distinct_industry_count,future_20pct_high_60d_rate,future_50pct_high_120d_rate,future_50pct_close_120d_rate,future_100pct_high_240d_rate,future_100pct_close_240d_rate,launch_big_winner_primary_rate,launch_false_positive_primary_rate,median_future_max_high_gain_120d,median_future_max_drawdown_60d,median_drawdown_before_50pct_gain,median_time_to_20pct_high_days,median_time_to_50pct_high_days,winner_episode_coverage,winner_episode_covered_count,label_horizon_truncated_rate,observed_reference_overlap_rate,instrument_year_success_rate,positive_unique_instrument_year_count,unique_instrument_year_count,top1_instrument_contribution,top5_instrument_contribution,winner_episode_coverage_loss_vs_all_launch,lift_vs_all_launch_baseline,lift_vs_same_family_baseline,lift_vs_same_lifecycle_baseline,instrument_year_lift_vs_all_launch,instrument_year_lift_vs_same_family,year_by_year_min_precision,year_by_year_precision_std,same_family_baseline_false_positive_rate,same_family_baseline_median_drawdown_60d,observability_leak_check_passed,later_lifecycle_rewrite_count,baseline_insufficient_count,rejection_reason,p1_launch_stratification_candidate
high_vol_destructive_warning,destructive_high_vol_upper_shadow,risk_warning_context,failure_prone_no_trade,595,595,595,223,7,28,0.453781512605042,0.23697478991596638,0.21008403361344538,0.12605042016806722,0.11932773109243698,0.23697478991596638,0.4336134453781513,0.2236220626173555,-0.12953368227684559,-0.2316630666674423,37.0,71.0,0.027907924220818905,137,0.0,0.0,0.27835051546391754,135,485,0.015126050420168067,0.06554621848739496,0.22896720309635366,1.6841539245354824,1.0000770950582067,1.0000770950582067,0.8221595225176342,0.9239919477825901,0.07142857142857142,0.12949864036305508,0.41847826086956524,-0.12651957398964797,True,0,0,lift_vs_same_family_baseline_too_low;instrument_year_lift_too_low;winner_episode_coverage_too_low;false_positive_rate_worse_than_same_family,False
high_vol_destructive_warning,high_vol_break_median_warning,risk_warning_context,failure_prone_no_trade,325,325,325,167,7,26,0.4646153846153846,0.23692307692307693,0.2123076923076923,0.12923076923076923,0.12923076923076923,0.23692307692307693,0.39076923076923076,0.2687950202289937,-0.12167306377832698,-0.2326621414427088,33.0,84.5,0.015074353228763496,74,0.0,0.0,0.25357142857142856,71,280,0.021538461538461538,0.08615384615384615,0.24180077408840905,1.683786405948568,0.9998588567395907,0.9998588567395907,0.74896992481203,0.8417371090448013,0.0,0.14944693689401037,0.41847826086956524,-0.12651957398964797,True,0,0,lift_vs_same_family_baseline_too_low;instrument_year_lift_too_low;winner_episode_coverage_too_low,False
high_vol_quality_permit,expansion_high_vol_upper_close,launch_observation_context,rejected_or_uncertain,420,420,420,188,7,27,0.430952380952381,0.23333333333333334,0.21904761904761905,0.14523809523809525,0.13333333333333333,0.23333333333333334,0.46190476190476193,0.23138514690526735,-0.13114632043924346,-0.21896444568341672,35.0,76.5,0.01975962517824404,97,0.0,0.0,0.2714285714285714,95,350,0.01904761904761905,0.07857142857142857,0.2371155021389285,1.6582744907069231,1.0351165980795611,1.56548463356974,0.8017142857142856,0.9877938517179022,0.0989010989010989,0.13528500070684202,0.4619666048237477,-0.1365881213920167,True,0,0,lift_vs_same_family_baseline_too_low;instrument_year_lift_too_low;winner_episode_coverage_too_low,False
high_vol_quality_permit,high_vol_controlled_drawdown,launch_observation_context,rejected_or_uncertain,658,658,658,238,7,28,0.43617021276595747,0.22036474164133737,0.19908814589665655,0.12613981762917933,0.12158054711246201,0.22036474164133737,0.46200607902735563,0.22285278100020522,-0.13791339092908117,-0.22843977083741956,36.5,82.5,0.02872275412507639,141,0.0,0.0,0.25788497217068646,139,539,0.013677811550151976,0.05927051671732523,0.22815237319209616,1.5661081273502204,0.9775851501619823,1.4784755006574835,0.7617107704325748,0.9385054366971184,0.09259259259259259,0.1146468322560571,0.4619666048237477,-0.1365881213920167,True,0,0,lift_vs_same_family_baseline_too_low;instrument_year_lift_too_low;winner_episode_coverage_too_low;false_positive_rate_worse_than_same_family,False
post_20_30_or_late_continuation_context,late_acceleration_context,addon_context_deferred,add_on_context_only,602,602,602,230,7,28,0.41029900332225916,0.2026578073089701,0.1877076411960133,0.12292358803986711,0.11461794019933555,0.2026578073089701,0.49335548172757476,0.20945978035275936,-0.14593646906175917,-0.2542995927313075,33.0,94.0,0.024444897127724588,120,0.0,0.0,0.2222222222222222,112,504,0.011627906976744186,0.053156146179401995,0.23243023018944797,1.440266880870275,1.156768530975719,1.0,0.6563742690058478,0.9525089605734767,0.0,0.13277098062494652,0.45125482625482627,-0.12485103486304228,True,0,0,instrument_year_lift_too_low;winner_episode_coverage_too_low;false_positive_rate_worse_than_same_family;drawdown_worse_than_same_family,False
sparse_strong_day_lifecycle_node,first_near_limit_upper_close,diagnostic_context,diagnostic_only,720,720,720,239,7,28,0.39305555555555555,0.18888888888888888,0.16666666666666666,0.09722222222222222,0.09583333333333334,0.18888888888888888,0.4388888888888889,0.22036204193234354,-0.12414178755459393,-0.20122758596231932,38.0,92.0,0.027093094316561418,133,0.0,0.0,0.21009771986970685,129,614,0.0125,0.05138888888888889,0.22978203300061112,1.3424126829532235,1.1647476901208245,1.1647476901208245,0.6205623178467341,0.812781884239539,0.08,0.08780990114602634,0.3962655601659751,-0.10980559061386552,True,0,0,instrument_year_lift_too_low;winner_episode_coverage_too_low;false_positive_rate_worse_than_same_family,False
post_20_30_or_late_continuation_context,post_20_relative_strength_context,hold_continuation_context,hold_continuation_only,1470,1470,1470,274,8,28,0.3408163265306122,0.16394557823129252,0.14421768707482993,0.0891156462585034,0.08299319727891157,0.16394557823129252,0.4340136054421769,0.18391602032260768,-0.11610046804627838,-0.19125496833897176,47.0,92.0,0.0472601344469342,232,0.0,0.0,0.22266401590457258,224,1006,0.008843537414965987,0.04217687074829932,0.20961499287023835,1.165143301050637,0.9357995539813722,1.0,0.6576791880297165,0.9544026165587123,0.059782608695652176,0.14092662240475773,0.45125482625482627,-0.12485103486304228,True,0,0,lift_vs_same_family_baseline_too_low;instrument_year_lift_too_low;winner_episode_coverage_too_low,False
repair_quality_watchlist,repair_reclaim_ema20_quality,watchlist_observation_context,rejected_or_uncertain,714,714,714,220,8,28,0.36134453781512604,0.15826330532212884,0.15126050420168066,0.07983193277310924,0.07563025210084033,0.15826330532212884,0.42436974789915966,0.1884467138388961,-0.11610640729600241,-0.20842860919776807,47.0,90.5,0.022611529843145243,111,0.0,0.0,0.20610687022900764,108,524,0.014005602240896359,0.06442577030812324,0.2342635974740273,1.124760008702775,1.470161668728405,1.2910478862358836,0.6087746082764163,0.8825057055166444,0.0,0.12270702188874327,0.31420765027322406,-0.08283896797844248,True,0,0,instrument_year_lift_too_low;winner_episode_coverage_too_low;false_positive_rate_worse_than_same_family;drawdown_worse_than_same_family,False
sparse_strong_day_lifecycle_node,strong_body_day_node,addon_context_deferred,add_on_context_only,2172,2172,2172,277,8,28,0.3236648250460405,0.15331491712707182,0.1358195211786372,0.07458563535911603,0.06998158379373849,0.15331491712707182,0.3821362799263352,0.18403026900495612,-0.10460356758985417,-0.1803811287288195,55.0,103.0,0.0651863923405989,320,0.0,0.0,0.24681933842239187,291,1179,0.008287292817679558,0.03959484346224678,0.19168873497657363,1.089592354785725,0.9453875060372957,0.9453875060372957,0.72902638275077,0.9548427611404711,0.062162162162162166,0.070560640163972,0.3962655601659751,-0.10980559061386552,True,0,0,lift_vs_all_launch_baseline_too_low;lift_vs_same_family_baseline_too_low;instrument_year_lift_too_low,False
rank_jump_persistence_watchlist,rank_jump_5d_persist_3d,watchlist_observation_context,rejected_or_uncertain,1829,1829,1829,276,8,28,0.31492618917441223,0.1487151448879169,0.1323127392017496,0.07599781301257517,0.07107709130672499,0.1487151448879169,0.38545653362493165,0.17608572789180332,-0.10645159156711925,-0.1772823845826298,54.0,108.5,0.05377877368099409,264,0.0,0.0,0.22423146473779385,248,1106,0.008747949699289229,0.04155276107162384,0.20309635363617845,1.056902276354643,1.031376976057208,1.213157864155656,0.66230893689921,0.9153659465118492,0.06441717791411043,0.08977395379163451,0.37344398340248963,-0.10278998753991586,True,0,0,lift_vs_all_launch_baseline_too_low;lift_vs_same_family_baseline_too_low;instrument_year_lift_too_low;false_positive_rate_worse_than_same_family,False
