industry_name,stock_day_count,instrument_count,future_50pct_high_120d_rate,future_100pct_high_240d_rate
非银金融,38745,45,0.11779584462511292,0.025990450380694283
银行,37833,24,0.016625697142706102,0.0018238046150186346
电子,25112,39,0.18505097164702133,0.1147658489964957
交通运输,22436,22,0.0541986093777857,0.02865929755749688
医药生物,21643,37,0.11435568082058864,0.07055398974264196
食品饮料,21478,26,0.14060899525095447,0.09842629667566813
公用事业,17312,18,0.052911275415896485,0.0166358595194085
汽车,17201,21,0.18278007092610896,0.10685425265972909
电力设备,16512,29,0.1698764534883721,0.12136627906976744
有色金属,14759,25,0.21180296768073717,0.17264042279287214
基础化工,13397,38,0.1425692319175935,0.09845487795775174
计算机,13069,20,0.18624225265896396,0.08363302471497437
建筑装饰,12867,11,0.0572005906582731,0.029999222818061708
房地产,11652,16,0.11474424991417782,0.010298661174047374
国防军工,10070,17,0.16295928500496523,0.07070506454816286
煤炭,8017,10,0.1728826244231009,0.09155544468005489
机械设备,7969,14,0.14970510729075165,0.09449115321872255
家用电器,7870,11,0.1400254129606099,0.061499364675984755
石油石化,7328,10,0.10330240174672489,0.011599344978165938
通信,5462,8,0.16623947272061515,0.0871475649945075
钢铁,5251,12,0.1254999047800419,0.114644829556275
建筑材料,5143,11,0.09741396072331324,0.054442932140773864
传媒,4305,8,0.18397212543554006,0.10174216027874565
农林牧渔,4260,7,0.17676056338028168,0.16455399061032863
商贸零售,3139,11,0.05065307422746097,0.017840076457470534
轻工制造,2629,6,0.09471281856219095,0.02814758463294028
社会服务,1690,4,0.2556213017751479,0.21893491124260356
UNKNOWN,298,6,0.6174496644295302,0.4899328859060403
综合,260,3,0.0,0.0
纺织服饰,119,1,0.0,0.0
美容护理,42,1,0.0,0.0
环保,22,1,0.0,0.0
