panel_name,fold_id,validation_fold_role,row_count,label_measurement_uses_observed_reference_count,p1_promotion_eligible_count,observed_reference_rows_allowed_for_p1
launch,fold_2020,p1_promotion_eligible,38980,6607,27828,0
launch,fold_2021,p1_promotion_eligible,38980,6607,27828,0
launch,fold_2022,p1_promotion_eligible,38980,6607,27828,0
launch,fold_2023,p1_promotion_eligible,38980,6607,27828,0
launch,fold_2024,robustness_audit_only,38980,6607,0,0
failure,fold_2020,p1_promotion_eligible,116940,23227,82314,0
failure,fold_2021,p1_promotion_eligible,116940,23227,82314,0
failure,fold_2022,p1_promotion_eligible,116940,23227,82314,0
failure,fold_2023,p1_promotion_eligible,116940,23227,82314,0
failure,fold_2024,robustness_audit_only,116940,23227,0,0
