lead_id,lead_name,feature_family,observable_state_stage,formula_or_bin,direction,horizon,positive_label,baseline_scope,baseline_sample_count,baseline_positive_rate,lead_positive_rate,lift_vs_baseline,global_lift,industry_relative_lift,stock_day_count,unique_instrument_count,unique_instrument_year_count,unique_episode_count,positive_stock_day_count,positive_unique_instrument_count,positive_unique_instrument_year_count,positive_unique_episode_count,lead_future_50pct_precision,lead_future_100pct_precision,episode_dedup_lift,instrument_year_dedup_lift,year_positive_lift_count,distinct_year_count,distinct_industry_count,industry_concentration_top1,avg_lead_time_to_50pct,median_lead_time_to_50pct,avg_future_max_gain,avg_future_drawdown_before_gain,turnover_proxy,market_regime_dependency,industry_regime_dependency,label_horizon_truncated_rate,observed_reference_overlap_rate,duplicate_positive_risk,sparse_bin,failure_reason,recommended_next_phase,feature_name,bin_value,lead_type
uni_ret3_p80_90,ret3,price_state,mixed_observable_state,ret3 == p80_90,high,120d,future_50pct_high_120d,same_year_same_horizon_horizon_valid_pit_stock_days,312646,0.12487605790574643,0.13406319024296554,1.0735700060627582,1.0735700060627582,,31239,325,1705,1705,4188,232,610,2092,0.13406319024296554,0.07288965715932008,0.44530130379238386,0.7558668607635886,5,8,29,0.09795447997695189,67.60315186246419,67.0,0.262386697344218,-0.07044384540959685,717772160.0,market_trend_on,industry_lagging,0.11834225207787771,0.0666742570875555,False,False,,p1_hypothesis_refine,ret3,p80_90,univariate_primitive
uni_ret3_p80_90,ret3,price_state,mixed_observable_state,ret3 == p80_90,high,240d,future_100pct_high_240d,same_year_same_horizon_horizon_valid_pit_stock_days,275955,0.07203710749941114,0.08130646282140375,1.128674729507544,1.128674729507544,,27341,286,1442,1442,2223,131,257,1012,0.14311839362130135,0.08130646282140375,0.5337144374235324,0.8711406716261085,6,8,28,0.10156907208953586,88.35942420152946,79.0,0.4044524611183339,-0.07403886262713158,732619264.0,market_trend_on,industry_lagging,0.21375384265057498,0.12599339633382672,False,False,,p1_hypothesis_refine,ret3,p80_90,univariate_primitive
uni_ret3_p90_100,ret3,price_state,mixed_observable_state,ret3 == p90_100,high,120d,future_50pct_high_120d,same_year_same_horizon_horizon_valid_pit_stock_days,312646,0.12487605790574643,0.17019641902725816,1.3629227402078827,1.3629227402078827,,29936,327,1695,1695,5095,226,569,2377,0.17019641902725816,0.09176242650988777,0.508951207434479,0.709222356627972,7,8,29,0.10248530197755211,63.27183513248283,62.0,0.29355886666133646,-0.08108706183455723,1173487616.0,market_trend_on,industry_sync_on,0.13898945738552268,0.07762369925085957,False,False,,p1_hypothesis_refine,ret3,p90_100,univariate_primitive
uni_ret3_p90_100,ret3,price_state,mixed_observable_state,ret3 == p90_100,high,240d,future_100pct_high_240d,same_year_same_horizon_horizon_valid_pit_stock_days,275955,0.07203710749941114,0.10149446704947332,1.4089192441590326,1.4089192441590326,,26297,286,1411,1411,2669,126,241,1183,0.18298665246986348,0.10149446704947332,0.6376045825702344,0.8348538539183472,6,8,28,0.10103814123284025,81.30460846759085,74.0,0.4407364889500416,-0.08463301368132521,1204939520.0,market_trend_on,industry_sync_on,0.2471935696882756,0.12318692078238495,False,False,,p1_hypothesis_refine,ret3,p90_100,univariate_primitive
uni_ret5_p0_10,ret5,price_state,mixed_observable_state,ret5 == p0_10,high,120d,future_50pct_high_120d,same_year_same_horizon_horizon_valid_pit_stock_days,312646,0.12487605790574643,0.16078159095417577,1.2875293603160503,1.2875293603160503,,30246,321,1605,1605,4863,230,648,2213,0.16078159095417577,0.08897044237254513,0.5004066206595634,0.8529819135345929,8,8,29,0.10553461614758976,69.95167592021386,71.0,0.2968036511329018,-0.08212498333818792,746757440.0,market_drawdown,industry_lagging,0.1363242997039399,0.07841038487815988,False,False,,p1_hypothesis_refine,ret5,p0_10,univariate_primitive
uni_ret5_p0_10,ret5,price_state,mixed_observable_state,ret5 == p0_10,high,240d,future_100pct_high_240d,same_year_same_horizon_horizon_valid_pit_stock_days,275955,0.07203710749941114,0.09510304405369635,1.3201952070948124,1.3201952070948124,,26445,283,1350,1350,2515,138,265,1040,0.16899224806201552,0.09510304405369635,0.5858592208427192,0.9594725028058361,8,8,28,0.1044053696350917,87.55467196819086,77.0,0.44783012158206065,-0.08442316913802891,760782592.0,market_drawdown,industry_lagging,0.2221134138009565,0.12896834434069687,False,False,,p1_hypothesis_refine,ret5,p0_10,univariate_primitive
uni_ret5_p10_20,ret5,price_state,mixed_observable_state,ret5 == p10_20,high,120d,future_50pct_high_120d,same_year_same_horizon_horizon_valid_pit_stock_days,312646,0.12487605790574643,0.12894287463350196,1.0325668250260196,1.0325668250260196,,31037,321,1670,1670,4002,233,628,1919,0.12894287463350196,0.0670812256339208,0.41703756236240186,0.7944801045391232,4,8,29,0.11579727422109096,71.00374812593704,72.0,0.25699954776850725,-0.07288516182326804,511872000.0,market_drawdown,industry_lagging,0.12025229984515894,0.07304854722652336,False,False,,p1_hypothesis_refine,ret5,p10_20,univariate_primitive
uni_ret5_p10_20,ret5,price_state,mixed_observable_state,ret5 == p10_20,high,240d,future_100pct_high_240d,same_year_same_horizon_horizon_valid_pit_stock_days,275955,0.07203710749941114,0.07328960386969108,1.0173868220665325,1.0173868220665325,,27289,285,1384,1384,2000,133,249,872,0.13503609512990583,0.07328960386969108,0.47915286986997624,0.8793943772990015,4,8,28,0.11777639341859357,92.612,83.0,0.3918651487474609,-0.07690813654739359,523140160.0,market_drawdown,industry_lagging,0.20971855360233171,0.12885964113307222,False,False,,p1_hypothesis_refine,ret5,p10_20,univariate_primitive
uni_ret5_p20_40,ret5,price_state,mixed_observable_state,ret5 == p20_40,high,120d,future_50pct_high_120d,same_year_same_horizon_horizon_valid_pit_stock_days,312646,0.12487605790574643,0.10918275245047585,0.8743289488917441,0.8743289488917441,,63151,323,1707,1707,6895,241,686,2268,0.10918275245047585,0.056562841443524255,0.48219888180793086,0.8490444902426038,2,8,29,0.12835901252553403,70.1313995649021,70.0,0.23362172724076785,-0.06480441093156661,400754688.0,market_trend_on,industry_lagging,0.11090362543268355,0.06757833849517217,False,False,lift_not_above_baseline,drop,ret5,p20_40,univariate_primitive
uni_ret5_p20_40,ret5,price_state,mixed_observable_state,ret5 == p20_40,high,240d,future_100pct_high_240d,same_year_same_horizon_horizon_valid_pit_stock_days,275955,0.07203710749941114,0.06119419004006869,0.8494814986924469,0.8494814986924469,,55904,284,1430,1430,3421,141,271,1028,0.11263952489982827,0.06119419004006869,0.5467021427417467,0.9263043017588471,0,8,28,0.13467730394962793,96.40777550423853,88.0,0.3598368006559786,-0.06739898767599767,399954752.0,market_drawdown,industry_lagging,0.19855620331572235,0.12592229914374203,False,False,lift_not_above_baseline,drop,ret5,p20_40,univariate_primitive
