entry_variant_id,entry_family,baseline_type,convertible_direct_event_count,convertible_direct_entry_success_primary_precision,convertible_direct_primary_false_positive_rate,convertible_direct_entry_future_20pct_high_60d_rate,convertible_direct_entry_future_50pct_high_120d_rate,convertible_direct_entry_future_50pct_close_120d_rate,convertible_direct_entry_future_100pct_high_240d_rate,convertible_direct_median_future_60d_high_gain,convertible_direct_median_future_120d_high_gain,convertible_direct_median_future_drawdown_before_gain,convertible_direct_median_missed_gain,convertible_direct_median_entry_to_stop_risk_pct,convertible_direct_instrument_year_entry_success_rate,convertible_direct_positive_unique_instrument_year_count,convertible_direct_unique_instrument_year_count,convertible_direct_distinct_year_count,convertible_direct_distinct_industry_count,convertible_direct_top1_instrument_contribution,convertible_direct_top5_instrument_contribution,convertible_direct_winner_episode_coverage,convertible_direct_winner_episode_covered_count
hold_3d_close_ge_launch_close,price_hold_after_launch,trigger_convertible_launch_direct_baseline,64,0.40625,0.234375,0.484375,0.21875,0.21875,0.0625,0.19494402357703833,0.2583287161806015,-0.07518517021839854,0.0,,0.4166666666666667,25,60,7,19,0.046875,0.171875,0.01907356948228883,14
hold_5d_close_ge_launch_close,price_hold_after_launch,trigger_convertible_launch_direct_baseline,8,0.75,0.125,0.75,0.25,0.25,0.0,0.23477873212111144,0.3050449829498003,-0.03146612631736673,-0.014384478330612183,,0.75,6,8,5,5,0.125,0.625,0.0027247956403269754,2
hold_10d_close_ge_launch_close,price_hold_after_launch,trigger_convertible_launch_direct_baseline,137,0.32116788321167883,0.25547445255474455,0.3357664233576642,0.11678832116788321,0.10948905109489052,0.043795620437956206,0.1307484030040138,0.17612810164530335,-0.09273070766601488,0.0,,0.3282442748091603,43,131,7,25,0.029197080291970802,0.12408759124087591,0.021798365122615803,16
hold_20d_close_ge_launch_close,price_hold_after_launch,trigger_convertible_launch_direct_baseline,32,0.46875,0.09375,0.5,0.1875,0.15625,0.03125,0.19077236946994658,0.23100424723555468,-0.08176557953861957,-0.0005592405796051025,,0.46875,15,32,7,18,0.09375,0.21875,0.006811989100817439,5
hold_3d_low_ge_launch_low,price_hold_after_launch,trigger_convertible_launch_direct_baseline,0,,,,,,,,,,,,,0,0,0,0,,,,0
hold_5d_low_ge_launch_low,price_hold_after_launch,trigger_convertible_launch_direct_baseline,0,,,,,,,,,,,,,0,0,0,0,,,,0
hold_10d_low_ge_launch_low,price_hold_after_launch,trigger_convertible_launch_direct_baseline,0,,,,,,,,,,,,,0,0,0,0,,,,0
hold_3d_close_above_ema20,price_hold_after_launch,trigger_convertible_launch_direct_baseline,1352,0.28254437869822485,0.23520710059171598,0.2980769230769231,0.1294378698224852,0.10946745562130178,0.0628698224852071,0.12064637299456504,0.17978756802942542,-0.09037538042111481,0.0,,0.4053738317757009,347,856,7,27,0.01257396449704142,0.05621301775147929,0.22888283378746593,168
hold_5d_close_above_median20,price_hold_after_launch,trigger_convertible_launch_direct_baseline,317,0.31230283911671924,0.2113564668769716,0.3280757097791798,0.11987381703470032,0.1167192429022082,0.050473186119873815,0.13649217147387538,0.17501577130685564,-0.08837519357289514,0.0,,0.33451957295373663,94,281,7,27,0.01892744479495268,0.08201892744479496,0.051771117166212535,38
pullback_3_8_reclaim_ema20,pullback_hold_entry,trigger_convertible_launch_direct_baseline,73,0.5616438356164384,0.1095890410958904,0.5616438356164384,0.2328767123287671,0.1917808219178082,0.0958904109589041,0.23083854199451914,0.31531537981727253,-0.046674766207227214,-0.0035938620567321777,,0.5616438356164384,41,73,7,21,0.0273972602739726,0.136986301369863,0.02316076294277929,17
pullback_5_12_reclaim_median20,pullback_hold_entry,trigger_convertible_launch_direct_baseline,0,,,,,,,,,,,,,0,0,0,0,,,,0
pullback_3_8_contraction_upper_close,pullback_hold_entry,trigger_convertible_launch_direct_baseline,109,0.5321100917431193,0.11009174311926606,0.5412844036697247,0.24770642201834864,0.21100917431192662,0.13761467889908258,0.2191779980808939,0.3017890732808921,-0.05728310100550471,-0.0010361671447753906,,0.5471698113207547,58,106,7,24,0.027522935779816515,0.13761467889908258,0.03678474114441417,27
pullback_5_12_low_above_launch_low,pullback_hold_entry,trigger_convertible_launch_direct_baseline,6,0.8333333333333334,0.0,1.0,0.5,0.3333333333333333,0.0,0.26365538949777123,0.514516400416355,-0.0631076470522629,-0.012525767087936401,,0.8333333333333334,5,6,3,6,0.16666666666666666,0.8333333333333334,0.0027247956403269754,2
higher_low_reclaim_ema20,higher_low_reacceleration_entry,trigger_convertible_launch_direct_baseline,317,0.34069400630914826,0.12933753943217666,0.3438485804416404,0.138801261829653,0.10725552050473186,0.06624605678233439,0.15006938377477352,0.21168583591703882,-0.05397728927556655,0.0,,0.36879432624113473,104,282,7,26,0.01892744479495268,0.08201892744479496,0.055858310626702996,41
higher_low_reaccel_rank,higher_low_reacceleration_entry,trigger_convertible_launch_direct_baseline,348,0.6379310344827587,0.05459770114942529,0.646551724137931,0.3074712643678161,0.27873563218390807,0.1206896551724138,0.256791924230657,0.32950405874385247,-0.026110961004423394,0.0,,0.6572327044025157,209,318,7,27,0.014367816091954023,0.07183908045977011,0.1444141689373297,106
higher_low_money_quality,higher_low_reacceleration_entry,trigger_convertible_launch_direct_baseline,147,0.5374149659863946,0.04081632653061224,0.5374149659863946,0.16326530612244897,0.1564625850340136,0.10204081632653061,0.21108184664564567,0.2584669830224726,-0.02272725161582778,0.0,,0.5492957746478874,78,142,7,27,0.02040816326530612,0.10204081632653061,0.0326975476839237,24
volume_hold_3d,volume_confirmation_entry,trigger_convertible_launch_direct_baseline,834,0.29256594724220625,0.26618705035971224,0.31774580335731417,0.13788968824940048,0.11270983213429256,0.06354916067146282,0.13330467073623864,0.18826357253923542,-0.10388107738013863,0.0,,0.3611556982343499,225,623,7,28,0.01079136690647482,0.050359712230215826,0.15122615803814715,111
volume_hold_5d,volume_confirmation_entry,trigger_convertible_launch_direct_baseline,230,0.34347826086956523,0.23043478260869565,0.3565217391304348,0.14347826086956522,0.1391304347826087,0.05652173913043478,0.14879779857185438,0.17667414358965705,-0.08639497104370708,0.0,,0.3605769230769231,75,208,7,26,0.021739130434782608,0.09130434782608696,0.04495912806539509,33
volume_second_money_rank_jump,volume_confirmation_entry,trigger_convertible_launch_direct_baseline,97,0.38144329896907214,0.13402061855670103,0.38144329896907214,0.12371134020618557,0.1134020618556701,0.10309278350515463,0.1586402792455679,0.19830029840145413,-0.05921054901838996,0.0,,0.3854166666666667,37,96,7,26,0.030927835051546393,0.1134020618556701,0.01634877384196185,12
volume_rank_money_jump_followthrough,volume_confirmation_entry,trigger_convertible_launch_direct_baseline,11,0.45454545454545453,0.0,0.45454545454545453,0.18181818181818182,0.0,0.0,0.1711377757616228,0.3018432941755551,-0.04455151701387072,0.0,,0.45454545454545453,5,11,5,8,0.09090909090909091,0.45454545454545453,0.0013623978201634877,1
sparse_limit_followthrough_3d,sparse_strong_day_followthrough_entry,trigger_convertible_launch_direct_baseline,0,,,,,,,,,,,,,0,0,0,0,,,,0
sparse_limit_followthrough_5d,sparse_strong_day_followthrough_entry,trigger_convertible_launch_direct_baseline,0,,,,,,,,,,,,,0,0,0,0,,,,0
gap_up_hold_3d,sparse_strong_day_followthrough_entry,trigger_convertible_launch_direct_baseline,0,,,,,,,,,,,,,0,0,0,0,,,,0
strong_body_pullback_hold,sparse_strong_day_followthrough_entry,trigger_convertible_launch_direct_baseline,0,,,,,,,,,,,,,0,0,0,0,,,,0
second_strong_day,sparse_strong_day_followthrough_entry,trigger_convertible_launch_direct_baseline,0,,,,,,,,,,,,,0,0,0,0,,,,0
