entry_variant_id,entry_family,matched_delay_random_seed,matched_delay_n_repeats,matched_delay_sample_count,matched_delay_valid_count,matched_delay_entry_success_primary_precision,matched_delay_instrument_year_entry_success_rate,matched_delay_bootstrap_sensitivity,winner_episode_denominator_count
hold_3d_close_ge_launch_close,price_hold_after_launch,20263461,20,2000,1380,0.2811594202898551,0.2852941176470588,1.3877787807814457e-17,734.0
hold_5d_close_ge_launch_close,price_hold_after_launch,20263463,20,2000,1640,0.26646341463414636,0.2875,6.938893903907228e-18,734.0
hold_10d_close_ge_launch_close,price_hold_after_launch,20263507,20,2000,1460,0.2095890410958904,0.20869565217391306,0.0,734.0
hold_20d_close_ge_launch_close,price_hold_after_launch,20263508,20,2000,1460,0.25205479452054796,0.25555555555555554,2.7755575615628914e-17,734.0
hold_3d_low_ge_launch_low,price_hold_after_launch,20263069,20,2000,1440,0.13472222222222222,0.13661971830985917,1.3877787807814457e-17,734.0
hold_5d_low_ge_launch_low,price_hold_after_launch,20263071,20,2000,1500,0.2913333333333333,0.28243243243243243,6.938893903907228e-18,734.0
hold_10d_low_ge_launch_low,price_hold_after_launch,20263115,20,2000,1520,0.2723684210526316,0.2797297297297297,0.0,734.0
hold_3d_close_above_ema20,price_hold_after_launch,20262923,20,2000,1480,0.19662162162162164,0.2049295774647887,6.938893903907228e-18,734.0
hold_5d_close_above_median20,price_hold_after_launch,20263240,20,2000,1520,0.2875,0.2676056338028169,6.938893903907228e-18,734.0
pullback_3_8_reclaim_ema20,pullback_hold_entry,20262976,20,2000,1520,0.09473684210526316,0.1,2.7755575615628914e-17,734.0
pullback_5_12_reclaim_median20,pullback_hold_entry,20263336,20,0,0,,,,
pullback_3_8_contraction_upper_close,pullback_hold_entry,20264211,20,2000,1500,0.2026666666666667,0.19726027397260273,0.0,734.0
pullback_5_12_low_above_launch_low,pullback_hold_entry,20263909,20,2000,1480,0.1837837837837838,0.18823529411764706,2.7755575615628914e-17,734.0
higher_low_reclaim_ema20,higher_low_reacceleration_entry,20262897,20,2000,1420,0.13521126760563382,0.13521126760563382,0.0,734.0
higher_low_reaccel_rank,higher_low_reacceleration_entry,20262906,20,2000,1540,0.16623376623376626,0.1706666666666667,2.7755575615628914e-17,734.0
higher_low_money_quality,higher_low_reacceleration_entry,20263088,20,2000,1520,0.23157894736842108,0.23157894736842108,2.7755575615628914e-17,734.0
volume_hold_3d,volume_confirmation_entry,20261933,20,2000,1540,0.18896103896103897,0.19662162162162164,0.0,734.0
volume_hold_5d,volume_confirmation_entry,20261935,20,2000,1480,0.26959459459459456,0.2602739726027397,1.3877787807814457e-17,734.0
volume_second_money_rank_jump,volume_confirmation_entry,20263609,20,2000,1620,0.2765432098765432,0.28354430379746837,5.551115123125783e-17,734.0
volume_rank_money_jump_followthrough,volume_confirmation_entry,20264401,20,2000,1380,0.1855072463768116,0.191044776119403,5.551115123125783e-17,734.0
sparse_limit_followthrough_3d,sparse_strong_day_followthrough_entry,20263566,20,2000,1400,0.388,0.3821212121212121,1.0408340855860843e-17,734.0
sparse_limit_followthrough_5d,sparse_strong_day_followthrough_entry,20263568,20,2000,1420,0.3077464788732394,0.3121428571428571,6.938893903907228e-18,734.0
gap_up_hold_3d,sparse_strong_day_followthrough_entry,20261905,20,2000,1440,0.3098611111111111,0.3280882352941177,3.469446951953614e-18,734.0
strong_body_pullback_hold,sparse_strong_day_followthrough_entry,20263158,20,2000,1520,0.3263157894736842,0.34285714285714286,5.551115123125783e-17,734.0
second_strong_day,sparse_strong_day_followthrough_entry,20262318,20,2000,1540,0.21818181818181817,0.22400000000000003,2.7755575615628914e-17,734.0
